50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f3507201-f6c3-41af-a151-73466daf6c01,1301,,,"[53.7, 22.8]",69287,31,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,64,Hércules,1218,['123c4b0d-c0b0-4649-bb4a-0387298083c0'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:31:50.241,Block,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2ca727d4-e736-46ce-8e54-0229594aa44c,1347,,,"[32.8, 70.1]",69287,32,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Adriano Correia Claro,22102.0,Right Back,66,Hércules,1218,['1c0a6b8a-8897-4cab-99d3-ce97d0d9879f'],52,,,,,,,,,,,,,,,,,Barcelona,217,00:32:52.828,Block,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f937b48e-3426-4949-8fde-641fd4e1b8a7,1383,,,"[25.2, 43.1]",69287,33,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Matías Lionel Fritzler,26751.0,Left Center Midfield,68,Barcelona,217,['cb3f0d64-f8af-46f9-9291-bf61d0e9d5f2'],28,,,,,,,,,,,,,,,,,Hércules,1218,00:33:28.303,Block,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2bd03491-0b8b-4386-a1ec-5e1331f98851,1780,,,"[3.6, 60.5]",69287,45,,,True,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,David Cortés Caballero,25994.0,Right Back,101,Barcelona,217,['bfcfd87f-a277-43d0-8721-7f967a211f63'],54,,,,,,,,,,,,,,,,,Hércules,1218,00:45:54.006,Block,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,36daf873-0f02-4254-a1ed-3924456f8cd1,2009,,,"[3.6, 22.2]",69287,49,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Francisco Peña Romero,25900.0,Left Back,111,Barcelona,217,['33814248-5511-483e-9077-11792b8eb60a'],22,,,,,,,,,,,,,,,,,Hércules,1218,00:04:22.855,Block,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,28cd51e5-e042-4781-aced-b1c5e4a9d984,2021,,,"[44.7, 71.4]",69287,49,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,112,Hércules,1218,['c6df7d01-d140-4669-a058-29712f56c829'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:04:38.543,Block,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2c3e1f97-fc92-4f3f-ab76-7290abfc6fde,2123,,,"[7.5, 23.6]",69287,51,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Noé Elias Pamarot,26747.0,Left Center Back,114,Barcelona,217,['05b3afc2-76c1-4c3b-a1cc-f13f7f647723'],32,,,,,,,,,,,,,,,,,Hércules,1218,00:06:32.211,Block,,2010/2011
,,,,,,,,,,,True,,,,,0.0,,,,,,,,,,,,,c1778e00-564d-45f2-8d45-a58f28bb8639,2465,,,"[76.0, 23.0]",69287,60,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,David Sergio Trézéguet,19311.0,Center Forward,128,Hércules,1218,['6ad6747a-9c94-4a56-b315-e5278f51bd93'],12,,,,,,,,,,,,,,,,,Hércules,1218,00:15:12.109,Block,,2010/2011
,,,,,,,,,,,True,,,,,0.0,,,,,,,,,,,,,8b912411-23c7-4cb1-ab8b-93f0187a83d4,2540,,,"[93.5, 35.0]",69287,62,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Xavier Hernández Creus,20131.0,Center Defensive Midfield,130,Barcelona,217,['3cb7a56c-1086-4ab8-9ba6-f61d69f847ff'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:17:31.789,Block,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,40458303-cd8b-4a90-9a40-9defd10c23c6,2574,,,"[63.9, 75.3]",69287,63,,,True,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Daniel Alves da Silva,4324.0,Right Back,132,Hércules,1218,['ee84add4-c91a-4add-b71c-83da214fa6a0'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:18:27.320,Block,,2010/2011
