50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fee05285-2b6c-441f-8752-7992a8c96dee,1,,,68328,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 17797, 'name': 'Giovanni van Bronckhorst'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d0fc66ea-5ac3-4e27-b890-d646d3604831,2,,,68328,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 19579, 'name': 'José Santiago Cañizares Ruíz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20070, 'name': 'Luís Miguel Brito Garcia Monteiro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 26016, 'name': 'Roberto Fabián Ayala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 7476, 'name': 'Emiliano Moretti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 20128, 'name': 'David Albelda Aliqués'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 26014, 'name': 'Eduardo César Daude Gaspar'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3064, 'name': 'David Josué Jiménez Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 20124, 'name': 'Vicente Rodríguez Guillén'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Valencia,207,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ccebe016-06bb-4415-bd2d-14877d37ed66,3,,,68328,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['9bb96572-1bd4-4861-89f2-8b2c91c77b9b'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9bb96572-1bd4-4861-89f2-8b2c91c77b9b,4,,,68328,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['ccebe016-06bb-4415-bd2d-14877d37ed66'],0,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,de7b8bfc-d721-4351-9028-4b5eaeb205e3,1878,,,68328,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,114,Barcelona,217,['efff5e35-be3a-4a74-a8ba-a9ead571e0ec'],0,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,efff5e35-be3a-4a74-a8ba-a9ead571e0ec,1879,,,68328,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,114,Barcelona,217,['de7b8bfc-d721-4351-9028-4b5eaeb205e3'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.2784,,,,,,,,,,,,cc16665e-5459-4caa-9dbe-12cdc1ef42f7,5,,"[60.0, 40.0]",68328,0,,,,2.2455373,,Right Foot,,,"[59.2, 41.0]",,Ground Pass,,1.2806249,,,Ronaldo de Assis Moreira,25879.0,,,,,,Kick Off,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['1e0b73bb-9760-4001-9ace-d567569d4036'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.216,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.4661,,,,,,,,,,,,77a43b69-71cc-4200-9b2b-b9ff22e20168,8,,"[58.5, 41.0]",68328,0,,,,-3.036976,,Right Foot,,,"[38.5, 38.9]",,Ground Pass,,20.109947,,,Anderson Luís de Souza,19757.0,,,,,,,1,From Kick Off,Ronaldo de Assis Moreira,25879.0,Left Wing,2,Barcelona,217,['1ee2df1e-ce93-4eae-99f8-170301de65d1'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.745,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.002327,,,,,,,,,,,,0804c41f-f338-4884-b96e-95aba1d4bfcf,11,,"[38.5, 41.0]",68328,0,,,,1.3444401,,Right Foot,,,"[42.3, 57.5]",,Ground Pass,,16.931923,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,2,Barcelona,217,['81523c72-bba9-4848-93f7-e2c66e466320'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.614,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.389464,,,,,,,,,,,,6d277f23-25a5-43e6-a96a-0a71017565a2,14,,"[46.0, 57.8]",68328,0,,,,2.1556091,,Left Foot,,,"[36.4, 72.3]",,Ground Pass,,17.38994,,,Gianluca Zambrotta,15774.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['3e7480d2-1b88-4f9b-b34c-228698151a75'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.782,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.861768,,,,,,,,,,,,06a2adaa-7844-4083-8ef4-3366d8403aec,17,,"[37.7, 73.1]",68328,0,,,,-2.0792856,,Right Foot,,,"[27.5, 54.8]",,Ground Pass,,20.950657,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Kick Off,Gianluca Zambrotta,15774.0,Right Back,2,Barcelona,217,['5ea67a92-0c0b-43a0-b733-b45ae94b2c02'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.963,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.728341,,,,,,,,,,,,5b669f51-ed9f-44fc-a028-413ef5df0979,20,,"[27.5, 52.8]",68328,0,,,,-1.3247993,,Right Foot,,,"[33.3, 29.7]",,Ground Pass,,23.81701,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Left Center Back,2,Barcelona,217,['ad340ed3-4074-4b64-8a59-4b98df9ad524'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.654,Pass,,2006/2007
,,,,,,,,,,,,,,,,2.130567,,,,,,,,,,,,5b747450-a423-4a94-b4f0-acee89453f65,23,,"[34.6, 29.9]",68328,0,,,,2.1565766,,Left Foot,,,"[27.7, 40.3]",,Ground Pass,,12.480785,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['a15d880c-681a-4acb-813c-48f2d625eef6'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.484,Pass,,2006/2007
,,,,,,,,,,,,,,,,2.519394,,,,,,,,,,,,33117a81-a496-4512-9a74-d556a4d52ead,26,,"[33.3, 41.7]",68328,0,,,,1.2734312,,Left Foot,,,"[42.8, 72.7]",,Ground Pass,,32.422985,,,Gianluca Zambrotta,15774.0,,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Left Center Back,2,Barcelona,217,['de2d6d3c-f470-45cb-bc82-fe7206157f95'],16,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.376,Pass,,2006/2007
,,,,,,,,,,,,,,,,0.537046,,,,,,,,,,,,459fe85e-0b2d-486d-bc97-98a8e21f459c,29,,"[42.5, 72.0]",68328,0,,,,-1.4302202,,Right Foot,,,"[44.0, 61.4]",,Ground Pass,,10.705606,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Gianluca Zambrotta,15774.0,Right Back,2,Barcelona,217,['6a4fbf53-a144-4e55-bc04-816eadcec703'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.045,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.101636,,,,,,,,,,,,c8ea3a9a-7bac-4be1-aa42-3ac45d3cb70a,32,,"[44.0, 61.4]",68328,0,,,,1.9384664,,Right Foot,,,"[38.8, 74.9]",,Ground Pass,,14.466859,,,Gianluca Zambrotta,15774.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['4d091ea4-e956-4fe5-9e96-861ca2df23f8'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.071,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.3279,,,,,,,,,,,,f9919a62-317c-48c2-959e-788184bebdde,36,,"[37.8, 73.0]",68328,0,,,,-1.876479,,Right Foot,,,"[30.1, 48.6]",,Ground Pass,,25.586128,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Kick Off,Gianluca Zambrotta,15774.0,Right Back,2,Barcelona,217,['4047f0e6-3c26-4a12-8920-e10eabfe3f86'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.132,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.9427,,,,,,,,,,,,87071ae9-7943-4fe5-be51-9e4c32686662,39,,"[32.5, 50.9]",68328,0,,,,-1.5152978,,Right Foot,,,"[33.6, 31.1]",,Ground Pass,,19.830532,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Left Center Back,2,Barcelona,217,['e2313385-3956-487f-9079-6bd7fdba05b7'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.361,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.0444,,,,,,,,,,,,299907b2-621e-4230-a68c-4bcdfaf5abf2,42,,"[34.5, 26.5]",68328,0,,,,-0.93804747,,Right Foot,,,"[41.1, 17.5]",,Ground Pass,,11.1606455,,,Anderson Luís de Souza,19757.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['9511cb48-a126-4165-8dd6-2dbddd647694'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.913,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.7389,,,,,,,,,,,,44b8ed15-b9d7-44ff-821f-de5987ca556b,44,,"[41.1, 17.5]",68328,0,,,,2.3263526,,Left Foot,,,"[34.6, 24.4]",,Ground Pass,,9.479451,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,2,Barcelona,217,['df4e6dca-f77a-414b-958c-6a6e5bd11326'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.958,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.7472,,,,,,,,,,,,381c8fa9-6941-4117-a032-7dd6b054b76d,47,,"[34.6, 25.1]",68328,0,,,,-1.2068174,,Right Foot,,,"[42.6, 4.1]",,Ground Pass,,22.472204,,,Anderson Luís de Souza,19757.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['4ac82923-7fe7-4590-8075-eb990c3dd396'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.699,Pass,,2006/2007
,,,,,,,,,,,,,,,,0.9196,,,,,,,,,,,,bd32744d-6885-45e7-9b9f-f7cde90a866e,50,,"[39.4, 12.4]",68328,0,,,,2.4526682,,Right Foot,,,"[29.2, 20.8]",,Ground Pass,,13.21363,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,2,Barcelona,217,['f21cf552-f083-4071-a3ce-1035180937ef'],36,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.885,Pass,,2006/2007
