bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,2.8216,,,,,,,,,,,,,,,08c47132-f216-4964-b29f-8fb8bb67b061,20,,"[9.5, 48.5]",266149,0,,,,,0.46455836,,Right Foot,,,,"[53.4, 70.5]",,High Pass,49.104073,,,,Eneko Bóveda Altube,6386.0,,,,,,1,From Kick Off,Gorka Iraizoz Moreno,6576.0,Goalkeeper,2,Athletic Club,215,['e14870b6-4acd-437f-a2a7-20c1e28e3a27'],10,,,,,,,,,,,,,,,,Athletic Club,215,00:00:10.247,Pass,,2015/2016
,,,,,,,,,,,,,,,0.474725,,,,,,,,,,,,,,,62a59b29-a47d-4307-82c6-53c28d7c6ee9,22,,"[53.4, 70.5]",266149,0,,,,,-0.37131828,,Head,,,,"[64.7, 66.1]",,Low Pass,12.126417,,Incomplete,,,,,,,,,1,From Kick Off,Eneko Bóveda Altube,6386.0,Right Back,2,Athletic Club,215,['1f863e8f-0c13-4af8-9afd-b734cd3c0e6a'],13,,,,,,,,,,,,,,,,Athletic Club,215,00:00:13.108,Pass,,2015/2016
,,,,,,,,,,,,,,,1.344638,,,,,,,,,,,,,,,dfc77f73-7db1-4b2e-b91b-1c30e4d91e47,25,,"[55.6, 15.4]",266149,0,,,,,-0.52728707,,Left Foot,,,,"[71.4, 6.2]",,Ground Pass,18.283325,,Incomplete,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Athletic Club,215,"['7bf4d8ea-9156-4cec-9c94-37d4e7936c96', 'f3402445-5bb1-4cba-9040-54d4ac13658a']",14,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.602,Pass,,2015/2016
,,,,,,,,,,,,,,,1.157624,,,,,,,,,,,,,,,f3402445-5bb1-4cba-9040-54d4ac13658a,27,,"[48.7, 73.9]",266149,0,,,,,0.048349388,,Right Foot,,,,"[67.3, 74.8]",,Ground Pass,18.621761,,,,Óscar de Marcos Arana,6649.0,,,,,Recovery,1,From Kick Off,Xabier Etxeita Gorritxategi,6788.0,Right Center Back,2,Athletic Club,215,"['dfc77f73-7db1-4b2e-b91b-1c30e4d91e47', 'e1e32222-47b1-4d4e-aedb-05994c2e970e']",15,,,,,,,,,,,,,,,,Athletic Club,215,00:00:15.947,Pass,,2015/2016
,,,,,,,,,,,,,,,2.3181,,,,,,,,,,,,,,,c1713af4-10b2-440c-befa-0d04aafb94f1,32,,"[72.4, 80.0]",266149,0,,,,,-0.33911347,,,,,,"[101.6, 69.7]",,High Pass,30.963366,,Incomplete,,Iñaki Williams Arthuer,6393.0,,,,,Throw-in,1,From Throw In,Eneko Bóveda Altube,6386.0,Right Back,3,Athletic Club,215,"['c2d284b8-651b-42d2-a0b6-e698a3a14416', 'df3b6a94-25f6-4094-8073-996fb3f5b645']",26,,,,,,,,,,,,,,,,Athletic Club,215,00:00:26.938,Pass,,2015/2016
,,,,,,,,,,,,,,,1.999572,,,,,,,,,,,,,,,f0705454-68fe-4964-9b58-72efac01eef9,44,,"[20.0, 0.1]",266149,0,,,,,0.30562294,,,,,,"[38.7, 6.0]",,High Pass,19.608671,,,,Neymar da Silva Santos Junior,4320.0,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,['fafe38c0-d16e-463a-b1c2-0a399a838071'],46,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.209,Pass,,2015/2016
,,,,,,,,,,,,,,,1.586882,,,,,,,,,,,,,,,864d5b43-33a7-4127-a56d-b173d4d37d9e,47,,"[37.5, 6.5]",266149,0,,,,True,0.6033565,,,,,,"[49.4, 14.7]",,High Pass,14.451644,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,5,Barcelona,217,"['0cd5193e-e0fb-4590-b9f4-f499daefdcde', '87a32942-4526-4acd-928d-950af13654be']",48,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.378,Pass,True,2015/2016
,,,,,,,,,,,,,,,2.979263,,,,,,,,,,,,,,,f53ebc83-e92c-4b2f-ba91-8b38e42847be,50,,"[54.9, 18.3]",266149,0,,,,,-0.3276877,,Right Foot,,,,"[90.2, 6.3]",,Ground Pass,37.28391,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Throw In,Luis Alberto Suárez Díaz,5246.0,Center Forward,5,Barcelona,217,['9c99aa26-c529-491f-a13f-59030f0edf83'],51,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.052,Pass,,2015/2016
,,,,,,,,,,,,,,,0.561166,,,,,,,,,,,,,,,89d6f37f-40bf-456b-b076-bbcaefe02c6b,57,,"[115.3, 22.2]",266149,0,,,,,1.5707964,,Left Foot,,,,"[115.3, 25.3]",,Low Pass,3.1,,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,5,Barcelona,217,"['58d3c170-45d9-4abd-bde0-eb859313917e', '9aed4364-5003-40a7-b265-e46aa8abd8ca', 'daec43bf-9b52-489a-b47e-2df4c13b96b8']",59,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.625,Pass,True,2015/2016
,,,,,,,,,,,,,,,1.146203,,,,,,,,,,,,,,,c3f9fdb4-e55f-4ea2-8d54-50232ddf8a7b,62,,"[84.3, 52.3]",266149,1,,,,,1.8520285,,Head,,,,"[81.7, 61.3]",,Low Pass,9.368031,,,,Andrés Iniesta Luján,5216.0,,,,,Recovery,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,['da838b36-4e2e-4f30-8488-9e55d97cb74d'],8,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.295,Pass,,2015/2016
,,,,,,,,,,,,,,,0.950911,,,,,,,,,,,,,,,a2031507-a747-497e-8890-af342bc51d4d,64,,"[81.7, 61.3]",266149,1,,,,,2.3148956,,Head,,,,"[75.9, 67.6]",,Low Pass,8.563293,,,,Ivan Rakitić,5470.0,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,5,Barcelona,217,['9601ef37-7d24-44e4-bad0-4eef85f0560d'],9,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.561,Pass,,2015/2016
,,,,,,,,,,,,,,,1.89072,,,,,,,,,,,,,,,6cfe41fd-db03-4745-bef7-9c6cab698f6a,68,,"[64.4, 71.6]",266149,1,,,,,-2.819842,,Left Foot,,,,"[42.2, 64.2]",,Ground Pass,23.400854,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,5,Barcelona,217,"['ab0ab446-6519-49aa-bbd7-6ecb75f38d68', 'b01c7661-e67a-49de-b0b5-e30d972cf19a']",12,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.457,Pass,True,2015/2016
,,,,,,,,,,,,,,,1.987733,,,,,,,,,,,,,,,b3c3f129-3616-4bec-8262-f1d74ec734f9,71,,"[42.2, 64.2]",266149,1,,,,,-1.6284248,,Right Foot,,,,"[41.0, 43.4]",,Ground Pass,20.834587,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,5,Barcelona,217,['b7d6bba0-adbb-4046-9394-9b8c0ca69bc5'],16,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.056,Pass,,2015/2016
,,,,,,,,,,,,,,,1.150906,,,,,,,,,,,,,,,0c8421ff-d4b4-4e42-aadc-4205555bd214,74,,"[41.6, 36.0]",266149,1,,,,,-1.210182,,Right Foot,,,,"[52.8, 6.3]",,Ground Pass,31.741613,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Left Center Back,5,Barcelona,217,['8a1f1f4a-7556-475d-a1d5-4607810cf59e'],18,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.988,Pass,,2015/2016
,,,,,,,,,,,,,,,6.17289,,,,,,,,,,,,,,,66e6d6ca-79f9-4301-a060-9cebb22d69d0,77,,"[63.1, 8.0]",266149,1,,,,,0.041191436,,Left Foot,,,,"[109.2, 9.9]",,Ground Pass,46.139137,,Incomplete,,,,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,['a8a553e6-323e-4829-8a1a-03327b87fb58'],23,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.572,Pass,,2015/2016
,,,,,,,,,,,,,,,2.48,,,,,,,,,,,,,,,c65c21fa-0258-4206-af60-51140891c2a6,80,,"[10.4, 52.6]",266149,1,,,,,-0.9168393,,Right Foot,,,,"[23.2, 35.9]",,Ground Pass,21.041151,,,,Aymeric Laporte,4353.0,,,,,,1,Regular Play,Gorka Iraizoz Moreno,6576.0,Goalkeeper,6,Athletic Club,215,['d68fa307-f466-4fa9-a856-406885f0739d'],32,,,,,,,,,,,,,,,,Athletic Club,215,00:01:32.625,Pass,,2015/2016
,,,,,,,,,,,,,,,2.0146,,,,,,,,,,,,,,,2cf232bc-850a-4360-8744-2bf025d32c67,83,,"[26.8, 32.8]",266149,1,,,,,-1.2860659,,Right Foot,,,,"[35.2, 4.1]",,Ground Pass,29.904013,,,,Mikel Balenziaga Oruesagasti,6789.0,,,,,,1,Regular Play,Aymeric Laporte,4353.0,Left Center Back,6,Athletic Club,215,['a78521bd-48e6-4a00-811f-2df83b770681'],37,,,,,,,,,,,,,,,,Athletic Club,215,00:01:37.185,Pass,,2015/2016
,,,,,,,,,,,,,,,3.531187,,,,,,,,,,,,,,,e14d88ea-c4ff-4cbd-9bfc-81f5ecf21044,87,,"[36.0, 6.7]",266149,1,,,,,0.039363217,,Left Foot,,,,"[94.4, 9.0]",,High Pass,58.445274,,Incomplete,,Iñaki Williams Arthuer,6393.0,,,,,,1,Regular Play,Mikel Balenziaga Oruesagasti,6789.0,Left Back,6,Athletic Club,215,"['2857abe2-9b3b-4007-90a9-1a7dbe4684a2', '86854231-272e-4fe8-866b-d8a75fb4f50d', '8b8e772b-4a82-4f99-b56d-e3c5480ebe00']",40,,,,,,,,,,,,,,,,Athletic Club,215,00:01:40.594,Pass,True,2015/2016
,,,,,,,,,,,,,,,1.941059,,,,,,,,,,,,,,,6ed5a498-8d4b-473d-9fb2-2a63576e2d22,92,,"[11.3, 75.0]",266149,1,,,,,-1.7748142,,Right Foot,,,,"[7.7, 57.6]",,Ground Pass,17.76851,,Incomplete,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,6,Athletic Club,215,"['05a94cc3-fd3a-4bb2-8e94-b410e8bcf649', '95275330-c45f-42fe-9b74-e467d29affbb', 'c6b4d44c-3108-4349-a607-04b419972443']",47,,,,,,,,,,,,,,,,Barcelona,217,00:01:47.316,Pass,True,2015/2016
,,,,,,,,,,,,,,,1.3618,,,,,,,,,,,,,,,ad4640f0-c17d-4727-adb4-f95350239d28,98,,"[112.4, 21.0]",266149,1,,,,,2.2593555,67a968a4-fcb6-4e72-9f63-46d2b99dea90,Right Foot,True,,,"[104.5, 30.6]",,Ground Pass,12.432618,,,,Javier Eraso Goñi,6606.0,True,,,,,1,Regular Play,Iker Muniain Goñi,6842.0,Left Midfield,6,Athletic Club,215,"['68c5f6b7-8b00-4ea2-9fa8-5a2d8332427a', '81709266-cc41-4d39-a70a-47441c1cfe66']",50,,,,,,,,,,,,,,,,Athletic Club,215,00:01:50.061,Pass,True,2015/2016
,,,,,,,,,,,,,,,1.3048,,,,,,,,,,,,,,,02daf534-b7b5-483f-afed-371d87cb4279,107,,"[6.0, 36.0]",266149,2,,True,,,-1.2206297,,Right Foot,,,,"[14.4, 13.0]",,Ground Pass,24.485914,,,,Javier Alejandro Mascherano,5506.0,,,,,Goal Kick,1,From Goal Kick,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,7,Barcelona,217,['e211bbd3-6eef-41cb-8856-145f1c1a57b7'],9,,,,,,,,,,,,,,,,Barcelona,217,00:02:09.802,Pass,,2015/2016
,,,,,,,,,,,,,,,1.119284,,,,,,,,,,,,,,,1b485511-c315-496c-81ba-8359b838ba26,109,,"[13.5, 13.2]",266149,2,,True,,,2.0641382,,Left Foot,,,,"[2.8, 33.1]",,Ground Pass,22.594248,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,1,From Goal Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,7,Barcelona,217,['877367ab-e27c-4cbf-8b3d-12147b0e0b8e'],11,,,,,,,,,,,,,,,,Barcelona,217,00:02:11.286,Pass,,2015/2016
,,,,,,,,,,,,,,,1.034618,,,,,,,,,,,,,,,a8c2b7dd-0d3e-4661-8424-b8a485c24997,113,,"[2.3, 30.7]",266149,2,,,,,-1.4247841,,Right Foot,,,,"[4.8, 13.7]",,Ground Pass,17.18284,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Goal Kick,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,7,Barcelona,217,"['d43adc5b-a92f-4126-bbfe-1c3f8873e318', 'fad9c2cc-7edf-49bd-8939-fb2342e61bbc']",13,,,,,,,,,,,,,,,,Barcelona,217,00:02:13.116,Pass,True,2015/2016
,,,,,,,,,,,,,,,1.104439,,,,,,,,,,,,,,,580ded7a-11bf-46f8-87aa-50d68892a1f4,117,,"[4.8, 10.3]",266149,2,,,,,0.19270076,,Left Foot,,,,"[21.2, 13.5]",,Ground Pass,16.709278,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Goal Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,7,Barcelona,217,"['4c1d7547-78ac-4ed7-a667-e7ce0aa415bd', 'dec31144-6504-4040-9ca0-8069981b09e4']",15,,,,,,,,,,,,,,,,Barcelona,217,00:02:15.037,Pass,True,2015/2016
,,,,,,,,,,,,,,,0.749811,,,,,,,,,,,,,,,afb4d4ab-e983-46d6-89e9-4f8f5f65356e,120,,"[21.2, 13.5]",266149,2,,,,,-1.6624925,,Right Foot,,,,"[20.4, 4.8]",,Low Pass,8.736704,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Goal Kick,Andrés Iniesta Luján,5216.0,Left Center Midfield,7,Barcelona,217,['9bee0ef5-2eb7-479a-a507-e9cf45d749dc'],16,,,,,,,,,,,,,,,,Barcelona,217,00:02:16.302,Pass,,2015/2016
