bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.403779,,,,,,,,,,,,,,7ba572f6-415a-4bab-af5c-f857df6ae7e7,17,,"[7.4, 36.7]",9924,0,,,,-1.5001594,,Right Foot,,,,"[8.9, 15.5]",,Ground Pass,,21.253,,,Sergio Ramos García,5201.0,,,,,,1,From Kick Off,Keylor Navas Gamboa,5597.0,Goalkeeper,2,Real Madrid,220,['307a4c5c-0c12-4114-b21d-05f70dfcf103'],9,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:09.863,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.519505,,,,,,,,,,,,,,61ebe2e7-a018-487b-aceb-a537d69ffa30,21,,"[9.7, 10.2]",9924,0,,,,0.62385523,,Left Foot,,,,"[25.4, 21.5]",,Ground Pass,,19.343733,,,Carlos Henrique Casimiro,5539.0,,,,,,1,From Kick Off,Sergio Ramos García,5201.0,Left Center Back,2,Real Madrid,220,"['01d0a48d-1e6c-44d3-b75d-9135ecb1c98e', 'ca5c8e40-d2c0-43c6-aef1-6eae52c6aadd']",12,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:12.783,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,,0.951134,,,,,,,,,,,,,,f06953d6-7b04-4996-8e6e-cfe4c7277caa,27,,"[27.6, 20.9]",9924,0,,,,0.8248514,,Right Foot,,,,"[34.9, 28.8]",,Ground Pass,,10.756393,,,Luka Modrić,5463.0,,,,,Free Kick,1,From Free Kick,Toni Kroos,5574.0,Left Center Midfield,3,Real Madrid,220,['d4f94612-1a9f-4ed6-966b-b7a205a911f5'],32,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:32.557,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,3532a4a5-afad-40b6-b1fd-f8734b558141,30,,"[30.4, 24.6]",9924,0,,,,-1.4557003,,Right Foot,,,,"[32.4, 7.3]",,Ground Pass,,17.415224,,,Toni Kroos,5574.0,,,,,,1,From Free Kick,Luka Modrić,5463.0,Right Center Midfield,3,Real Madrid,220,['71e25874-0e2d-4713-b2d4-d952348c7671'],36,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:36.783,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,3.076651,,,,,,,,,,,,,,28b1284f-243f-4454-858a-3c0c3353b51f,33,,"[32.8, 11.2]",9924,0,,,,1.5471041,,Right Foot,,,,"[34.3, 74.5]",,High Pass,,63.317772,,,José Ignacio Fernández Iglesias,5202.0,,True,,,,1,From Free Kick,Toni Kroos,5574.0,Left Center Midfield,3,Real Madrid,220,['27cbb63a-66b1-4d52-88b1-47303861fdc4'],39,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:39.637,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,0.922101,,,,,,,,,,,,,,aaa52e5b-5c99-4425-9f69-64c0704636b0,36,,"[29.1, 73.5]",9924,0,,,,-2.3423064,,Left Foot,,,,"[22.0, 66.2]",,Ground Pass,,10.18332,,,Raphaël Varane,5485.0,,,,,,1,From Free Kick,José Ignacio Fernández Iglesias,5202.0,Right Back,3,Real Madrid,220,['a040f8a9-5f83-4db4-a2f0-1d1097ff3d07'],43,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:43.900,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,2.229163,,,,,,,,,,,,,,c3819ae7-513c-4db0-991e-e84ee80310ca,39,,"[28.5, 73.3]",9924,0,,,,-2.4796145,,Right Foot,,,,"[6.3, 56.0]",,Ground Pass,,28.144804,,,Keylor Navas Gamboa,5597.0,,,,,,1,From Free Kick,Raphaël Varane,5485.0,Right Center Back,3,Real Madrid,220,['042566e9-8e97-4224-aa57-f9c3d7c7640c'],51,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:51.030,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,2.839998,,,,,,,,,,,,,,3dedf6d3-3531-4328-b698-b108370a9d15,42,,"[10.7, 55.8]",9924,0,,,,-1.6101279,,Right Foot,,,,"[9.0, 12.6]",,Ground Pass,,43.233437,,,Sergio Ramos García,5201.0,,True,,,,1,From Free Kick,Keylor Navas Gamboa,5597.0,Goalkeeper,3,Real Madrid,220,['8f915666-f11b-466e-b0e0-7ca13cf56ec8'],54,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:54.883,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.026919,,,,,,,,,,,,,,eced04d6-fc45-49ef-b0e9-a6a67c0ba63e,45,,"[15.3, 9.0]",9924,1,,,,-0.45774797,,Right Foot,,,,"[28.9, 2.3]",,Ground Pass,,15.160805,,,Marcelo Vieira da Silva Júnior,5552.0,,,,,,1,From Free Kick,Sergio Ramos García,5201.0,Left Center Back,3,Real Madrid,220,['7777c46c-8a47-4cae-b6e3-ae713515645b'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:00.602,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.12654,,,,,,,,,,,,,,20b5b07a-d7c3-485c-967e-fa43ef446761,48,,"[29.0, 2.9]",9924,1,,,,2.7199996,,Left Foot,,,,"[12.5, 10.3]",,Ground Pass,,18.083418,,,Sergio Ramos García,5201.0,,,,,,1,From Free Kick,Marcelo Vieira da Silva Júnior,5552.0,Left Back,3,Real Madrid,220,['0892e757-4209-4bd5-96e0-f14f38135e80'],2,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:02.511,Pass,,2017/2018
