bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b37c97a1-536d-4903-a230-693b6e1bddb3,1,,,69182,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Zaragoza,395,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25917, 'name': 'César Sánchez Domínguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26022, 'name': 'Carlos Andrés Diogo Enseñat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25969, 'name': 'Sergio Fernández González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 26016, 'name': 'Roberto Fabián Ayala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 26123, 'name': 'Peter Luccin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 24520, 'name': 'Alberto Zapater Arjol'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6767, 'name': 'Sergio García De La Fuente'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 19294, 'name': 'Diego Alberto Milito'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 25274, 'name': 'Ricardo de Oliveira'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 12}]}",Real Zaragoza,395,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f5fd7aea-1532-4a5c-b2c6-d622af707aaa,2,,,69182,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Zaragoza,395,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5987, 'name': 'Giovani dos Santos Ramírez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Barcelona,217,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,73eaf005-3566-48b5-9b3e-7457ecfe5885,3,,,69182,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Zaragoza,395,['03cc22d3-9c24-4002-8328-38c1f80fec1f'],0,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,03cc22d3-9c24-4002-8328-38c1f80fec1f,4,,,69182,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Zaragoza,395,['73eaf005-3566-48b5-9b3e-7457ecfe5885'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c015d78a-a77c-445c-8033-c496b5708019,1870,,,69182,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,103,Real Zaragoza,395,['b83cd394-9ddb-4bf8-bef3-8f30db963814'],0,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b83cd394-9ddb-4bf8-bef3-8f30db963814,1871,,,69182,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,103,Real Zaragoza,395,['c015d78a-a77c-445c-8033-c496b5708019'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.68007,,,,,,,,,,,,,,0eab1167-66d9-4638-81cd-5c3622b8797c,5,,"[60.0, 40.0]",69182,0,,,,2.0131705,,Right Foot,,,"[59.1, 41.9]",,Ground Pass,,2.1023796,,,Ricardo de Oliveira,25274.0,,,,,Kick Off,1,From Kick Off,Diego Alberto Milito,19294.0,Right Center Forward,2,Real Zaragoza,395,['8b80bb95-bede-4405-9ee9-4753f1ed8f47'],1,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:01.078,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.827789,,,,,,,,,,,,,,312bb71e-f2b6-47fe-91ba-be05f93bb759,8,,"[58.6, 41.8]",69182,0,,,,-2.5490344,,Right Foot,,,"[48.5, 35.0]",,Ground Pass,,12.175796,,,Alberto Zapater Arjol,24520.0,,,,,,1,From Kick Off,Ricardo de Oliveira,25274.0,Left Center Forward,2,Real Zaragoza,395,['e2d422ad-56ce-4586-a8ab-9a4dcac50931'],2,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:02.368,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.390164,,,,,,,,,,,,,,b71d8b69-0548-4a9f-b5dc-79668ddf1e80,11,,"[49.6, 32.4]",69182,0,,,,-2.0285876,,Right Foot,,,"[36.1, 5.0]",,Ground Pass,,30.545212,,,Juan Francisco García García,26023.0,,,,,,1,From Kick Off,Alberto Zapater Arjol,24520.0,Left Defensive Midfield,2,Real Zaragoza,395,['2882e542-7b31-49a1-b7d7-26c90ae92754'],3,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:03.744,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.857189,,,,,,,,,,,,,,ee5ae023-37c7-493b-a871-4218273e968c,14,,"[36.8, 3.7]",69182,0,,,,-0.07233733,,Left Foot,,,"[57.5, 2.2]",,High Pass,,20.754276,,,Gabriel Fernández Arenas,6384.0,,,,,,1,From Kick Off,Juan Francisco García García,26023.0,Left Back,2,Real Zaragoza,395,['e0625375-2ceb-434e-b41d-1dc9627ddc53'],6,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:06.572,Pass,,2007/2008
