bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,32573bf7-ff27-4f04-8c55-dfc2acf3698f,1,,,266613,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6d6e3dc9-0618-4a3d-9ceb-c4688bcb9e8c,2,,,266613,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 19454, 'name': 'Ricardo Miguel Moreira da Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 15651, 'name': 'Juan Bernat Velasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 3272, 'name': 'Oriol Romeu Vidal'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 18724, 'name': 'Sofiane Feghouli'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 6763, 'name': 'Pablo Daniel Piatti'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 2}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Valencia,207,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c079132b-5d5b-4863-b8be-4eb1f21aff3f,3,,,266613,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['0a461e82-4ac8-4fd4-8bdd-7a8354e7095f'],0,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0a461e82-4ac8-4fd4-8bdd-7a8354e7095f,4,,,266613,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['c079132b-5d5b-4863-b8be-4eb1f21aff3f'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0ca2a575-9a4c-43cc-a978-24bb41c59434,2167,,,266613,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,81,Valencia,207,['21911bb1-c7a7-4e5d-84c4-41d2f5fbcb61'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,21911bb1-c7a7-4e5d-84c4-41d2f5fbcb61,2168,,,266613,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,81,Valencia,207,['0ca2a575-9a4c-43cc-a978-24bb41c59434'],0,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,1.0777,,,,,,,,,,,,,,131e09b1-bbba-4ca4-983e-21c420564d3c,5,,"[60.0, 40.0]",266613,0,,,,,-3.0343137,,Right Foot,,,,"[47.0, 38.6]",,Ground Pass,,13.075168,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['ee835600-1f72-4ac7-9268-b5bd9f4e2ec3'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.877,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.153401,,,,,,,,,,,,,,8fd6e65e-940b-4388-a19f-558ef4f49ee4,8,,"[47.8, 39.9]",266613,0,,,,,0.9805566,,Right Foot,,,,"[54.7, 50.2]",,Ground Pass,,12.39758,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['717ffecf-e620-496c-bb8d-f392c5d0afbe'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.994,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.888078,,,,,,,,,,,,,,bf941ada-7e7d-4f92-a6a8-95a0d2086146,11,,"[54.7, 50.0]",266613,0,,,,,-1.7823955,,Right Foot,,,,"[51.8, 36.5]",,Ground Pass,,13.807969,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['97be96dc-19cb-4289-8860-d3e05ca83ab0'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.826,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.813885,,,,,,,,,,,,,,e541cbb1-f1d0-4ffd-9231-f3ef61871dac,14,,"[51.8, 36.5]",266613,0,,,,,-1.2092186,,Right Foot,,,,"[57.7, 20.9]",,Ground Pass,,16.678429,,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['b15292c2-4ccd-471d-b710-705149ad5822'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.303,Pass,,2013/2014
