bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e0822a3d-66cb-4453-992e-796ad1e3240b,1,,,267675,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 27111, 'name': 'António Alberto Bastos Pimparel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 10881, 'name': 'Diogo José Rosário Gomes Figueiras'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 6349, 'name': 'Federico Julián Fazio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 7909, 'name': 'Nicolás Martín Pareja'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 3497, 'name': 'Vicente Iborra De La Fuente'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 6825, 'name': 'Daniel Filipe Martins Carriço'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6401, 'name': 'Kevin Gameiro'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 6841, 'name': 'Víctor Machín Pérez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sevilla,213,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c899423c-d90a-4d2c-aa4c-7cdd547e75ef,2,,,267675,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 27053, 'name': 'Alexandre Dimitri Song-Billong'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8cb42293-f0cd-4d8e-bcbd-5dcf7aaca4d3,3,,,267675,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['28dd4054-4b09-47be-aa36-3d8819c10092'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,28dd4054-4b09-47be-aa36-3d8819c10092,4,,,267675,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['8cb42293-f0cd-4d8e-bcbd-5dcf7aaca4d3'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0b213bac-19e5-4598-86bb-b3b18f7e7e15,1872,,,267675,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,Sevilla,213,['bc2403e0-2549-473f-9f68-b23c334b8cf3'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bc2403e0-2549-473f-9f68-b23c334b8cf3,1873,,,267675,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,Sevilla,213,['0b213bac-19e5-4598-86bb-b3b18f7e7e15'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,1.166234,,,,,,,,,,,,,,6f84e967-2d3a-4bdd-8081-afe7f3d25530,5,,"[61.0, 41.0]",267675,0,,,,,1.7577755,,Right Foot,,,,"[60.3, 44.7]",,Ground Pass,,3.765634,,,,,Ivan Rakitić,5470.0,,,,,,Kick Off,1,From Kick Off,Carlos Arturo Bacca Ahumada,5688.0,Center Forward,2,Sevilla,213,['5ce05d8a-029e-4353-a279-283f201615de'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.514,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.532783,,,,,,,,,,,,,,2c599ee8-c835-4511-b5bc-446a196a2602,8,,"[60.6, 44.7]",267675,0,,,,,3.0996006,,Right Foot,,,,"[48.7, 45.2]",,Ground Pass,,11.9105,,,,,Vicente Iborra De La Fuente,3497.0,,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Center Attacking Midfield,2,Sevilla,213,['ada0b5b8-4f33-4f9b-a90f-4f092d365a3b'],2,,,,,,,,,,,,,,,,,Sevilla,213,00:00:02.144,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.008601,,,,,,,,,,,,,,dbbdb1b6-68d0-44a7-b306-aa8a7b073b23,11,,"[48.9, 45.4]",267675,0,,,,,2.7144456,,Right Foot,,,,"[34.4, 52.0]",,Ground Pass,,15.931416,,,,,Federico Julián Fazio,6349.0,,,,,,,1,From Kick Off,Vicente Iborra De La Fuente,3497.0,Right Center Midfield,2,Sevilla,213,['ca1057f6-4325-41fb-a5bf-6516335cf5ff'],3,,,,,,,,,,,,,,,,,Sevilla,213,00:00:03.380,Pass,,2013/2014
,,,,,,,,,,,,,,,,3.0971,,,,,,,,,,,,,,8688c90f-fbac-43b3-97c3-04d165fce741,14,,"[34.4, 52.3]",267675,0,,,,,-0.61412597,,Right Foot,,,,"[85.6, 16.2]",,High Pass,,62.647026,,,Incomplete,,Víctor Machín Pérez,6841.0,,,,,,,1,From Kick Off,Federico Julián Fazio,6349.0,Right Center Back,2,Sevilla,213,"['2f11fa3d-80c6-4ff7-81e3-803672886f1d', '373ab8c0-aa92-4244-aacd-11d692cd6da7']",6,,,,,,,,,,,,,,,,,Sevilla,213,00:00:06.187,Pass,,2013/2014
