50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,1.1445,,,,,,,,,,,,,,6e9f5d7c-1a96-4b35-b0b5-d9dcc84d5695,18,,"[36.6, 77.2]",69195,0,,,,,-0.16230239,,Right Foot,,,,"[70.8, 71.6]",,Low Pass,,34.655445,,,,Sergio García De La Fuente,6767.0,,,,,,,1,From Kick Off,Branko Ilič,24511.0,Right Back,2,Real Betis,218,"['12243c45-fa34-4299-ae8a-2630e2d6f33b', 'ee6f8fc5-bce2-403d-83cb-d23c8f0a5eca']",8,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:08.029,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,,,0.8938,,,,,,,,,,,,,,667b671e-af6c-420d-b796-6f6ba78a95bd,29,,"[64.6, 60.1]",69195,0,,,,,-0.3686959,,Right Foot,,,,"[82.2, 53.3]",,Ground Pass,,18.867962,,,,Achille Emaná Edzimbi,26549.0,,,,,,,1,From Kick Off,Juan de Dios Prados López,26465.0,Right Center Midfield,2,Real Betis,218,['eda32799-4ae9-4de5-9d09-da1b2434352d'],17,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:17.022,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,,2.6084,,,,,,,,,,,,,,68dabe3a-c47d-40df-be93-3bba1ab648f8,33,,"[89.0, 66.8]",69195,0,,,,,-0.96539855,,Right Foot,True,,,"[113.5, 31.4]",,High Pass,,43.051247,,Incomplete,,,,,,,,,,1,From Kick Off,Achille Emaná Edzimbi,26549.0,Center Attacking Midfield,2,Real Betis,218,"['64b1330d-3913-453f-bce1-8e61d3d5030e', '7c1dd6f5-1706-4b15-a91f-394690819f50']",20,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:20.080,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,,,1.998099,,,,,,,,,,,,,,c1938ba3-bcf9-4eda-a592-a3a3fd2a44c0,36,,"[9.9, 50.2]",69195,0,,,,,0.5860106,,Keeper Arm,,,,"[33.1, 65.6]",,Ground Pass,,27.846004,,,,Daniel Alves da Silva,4324.0,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,3,Barcelona,217,['4c411609-835b-4587-82ca-542001f42e96'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.612,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,,1.2822,,,,,,,,,,,,,,f821ac3b-cd6a-4d20-bde1-a2e5a94d50f0,39,,"[71.2, 73.1]",69195,0,,,,,-2.1013541,,Right Foot,,,,"[66.8, 65.6]",,Ground Pass,,8.695401,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['3b955baf-0de1-4f18-9846-a2af7f8119aa'],31,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.621,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,,1.199126,,,,,,,,,,,,,,b5b636d8-e409-4a0e-903b-6493afe3b40c,43,,"[68.8, 72.6]",69195,0,,,,,0.32175055,,Right Foot,,,,"[87.1, 78.7]",,Ground Pass,,19.289894,,,,Aliaksandr Hleb,18882.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,3,Barcelona,217,"['44d43ef4-dfdf-4992-aee7-41882918de71', '8b6e800b-692f-4fd6-9506-2f75f4df0f58']",34,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.276,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,,,1.1447,,,,,,,,,,,,,,a19b3612-0f5f-48c7-bb2b-6f31fa7a84f6,46,,"[88.6, 76.8]",69195,0,,,,,-1.7644184,,Right Foot,,,,"[86.6, 66.6]",,Ground Pass,,10.394229,,,,Daniel Alves da Silva,4324.0,,,,,,,1,Regular Play,Aliaksandr Hleb,18882.0,Right Wing,3,Barcelona,217,['baf5e397-94b2-4c00-80e6-bf94388bdcc1'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.528,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,,1.5111,,,,,,,,,,,,,,57bd816d-622d-42a9-8d90-1f21c3b43dd5,60,,"[99.7, 65.9]",69195,1,,,,,-1.0799989,,Right Foot,True,,,"[112.9, 41.2]",,High Pass,,28.005892,,Incomplete,,,,,,,,,Free Kick,1,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,4,Barcelona,217,['27647034-24e8-497c-9bed-d1af1768deb8'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.430,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,,5.4457,,,,,,,,,,,,,,bd748b30-882d-4e89-9254-b2e5c0292b3a,66,,"[10.3, 34.2]",69195,2,,,,,-0.38297662,,Right Foot,,,,"[87.0, 3.3]",,High Pass,,82.690384,,Incomplete,,,,,,,,,Free Kick,1,From Free Kick,Ricardo Alexandre Martins Soares Pereira,19761.0,Goalkeeper,6,Real Betis,218,['ff429f2f-2d3c-467f-a20e-b4eaf964cd64'],7,,,,,,,,,,,,,,,,,,Real Betis,218,00:02:07.451,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,,1.9429,,,,,,,,,,,,,,d023bb82-2df3-40c8-b452-5caa3fe51f54,69,,"[85.6, 0.1]",69195,2,,,,,2.1888552,,,,,,"[73.3, 17.4]",,Low Pass,,21.22687,,,,Marco Aurélio Brito Dos Prazeres,20023.0,,,,,,Throw-in,1,From Throw In,Fernando Vega Torres,26548.0,Left Back,7,Real Betis,218,['a1b6635e-3814-4b63-9a24-9af4dde47d27'],19,,,,,,,,,,,,,,,,,,Real Betis,218,00:02:19.117,Pass,,2008/2009
