bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.811658,,,,,,,,,,,,,32c0f657-1231-4776-869c-2652b1430672,23,,"[56.0, 49.0]",16248,0,,,,,1.2082521,,Right Foot,,,"[67.0, 78.0]",,Ground Pass,31.016125,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['61ade844-7198-4a75-91f4-de336bea6dd3'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.349,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.111611,,,,,,,,,,,,,f9adb822-2288-47ef-881d-c96698b1fea1,26,,"[67.0, 78.0]",16248,0,,,,,-2.4980915,,Right Foot,,,"[55.0, 69.0]",,Ground Pass,15.0,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['df3d5d9c-4eaf-4122-862e-8de344be6f89'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.227,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.993539,,,,,,,,,,,,,c723f960-67db-4708-b382-345d9ac03d31,29,,"[56.0, 68.0]",16248,0,,,,,-1.8568478,,Right Foot,,,"[51.0, 51.0]",,Ground Pass,17.720045,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['0ad3c6e6-c475-4bbc-ba33-fa459c90e7d3'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.325,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.731181,,,,,,,,,,,,,e1e47038-b56e-4f58-b325-d5803c43e0b6,32,,"[56.0, 44.0]",16248,0,,,,,2.4468544,,Right Foot,,,"[44.0, 54.0]",,Ground Pass,15.6205,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['2c8b2856-7e97-497e-a661-cfb40d022f0c'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.668,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.870549,,,,,,,,,,,,,21b4b166-bbe1-4501-9809-bfb379b8a65d,35,,"[44.0, 54.0]",16248,0,,,,,0.7419473,,Right Foot,,,"[56.0, 65.0]",,Ground Pass,16.27882,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['3ba5a665-007b-49e8-9a2e-c9da02def7ad'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.687,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.917346,,,,,,,,,,,,,ddbcb1b2-53aa-4795-af69-f9fd46e3f8d8,39,,"[58.0, 67.0]",16248,0,,,,,0.8960554,,Right Foot,,,"[66.0, 77.0]",,Ground Pass,12.806249,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,"['bb3d73e5-0434-4a40-9153-ac7160df8bce', 'f95771f8-433c-4074-8f2a-cf8c6d94b752']",25,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.059,Pass,True,2018/2019
,,,,,,,,,,,,,,,,0.924612,,,,,,,,,,,,,26944acf-bf57-4790-a546-6829a3537bf5,43,,"[64.0, 76.0]",16248,0,,,,,-2.55359,,Right Foot,,,"[55.0, 70.0]",,Ground Pass,10.816654,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['eb43c7dd-fff7-4fa9-b3e1-b3c5e0be53f6'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.942,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.020201,,,,,,,,,,,,,51045933-5891-4495-afe0-ae1cacdcddc6,46,,"[55.0, 70.0]",16248,0,,,,,0.5404195,,Left Foot,,,"[65.0, 76.0]",,Ground Pass,11.661903,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['39f75a96-2d7c-4a85-9a11-affe746ba9e4'],27,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.986,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.87937,,,,,,,,,,,,,a4aa38f9-3543-4010-a65b-5434c4ab338e,49,,"[88.0, 67.0]",16248,0,,,,,-1.4288993,,Right Foot,,,"[89.0, 60.0]",,Ground Pass,7.071068,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['e1cec6f6-442e-4a66-af62-01f33e369cfb'],32,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.674,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.6641,,,,,,,,,,,,,824d8931-85bd-424f-b91e-d0b28df5265e,52,,"[90.0, 60.0]",16248,0,,,,,-0.5880026,,Left Foot,,,"[96.0, 56.0]",,Ground Pass,7.2111025,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['0927f9fd-4b58-47ca-b748-1322d5e9f402'],34,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.097,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.696004,,,,,,,,,,,,,9fd5eecf-f5eb-448f-8ac3-64523efcdf65,55,,"[96.0, 56.0]",16248,0,,,,,-1.8925469,,Right Foot,,,"[91.0, 41.0]",,Ground Pass,15.811388,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['5f2b8d5a-252d-4ac9-8ea6-7b66afdfb3db'],34,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.841,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.332022,,,,,,,,,,,,,3ce564fe-b0c6-4503-9247-c7565019210b,58,,"[91.0, 37.0]",16248,0,,,,,-0.7853982,,Left Foot,,,"[105.0, 23.0]",,Ground Pass,19.79899,,,,Philippe Coutinho Correia,3501.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['59b5b0df-f56e-4d68-ad5b-b8b152d85219'],36,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.306,Pass,,2018/2019
,,,,,,,,,,,,,,,,2.106879,,,,,,,,,,,,,76f2a996-c9e1-4583-99af-c7c851c41dfe,61,,"[105.0, 23.0]",16248,0,,,,,0.07677189,,Right Foot,,,"[118.0, 24.0]",,Ground Pass,13.038404,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Left Wing,2,Barcelona,217,['0f594f4d-ffb7-47c6-9c34-289d44db2a7c'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.868,Pass,,2018/2019
