ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a7109783-3df6-49e5-b576-c4285026ca19,1,,,265835,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4fa4556e-4484-4cc0-a10d-83fd656bd84d,2,,,265835,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 27111, 'name': 'António Alberto Bastos Pimparel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6672, 'name': 'Jorge Andújar Moreno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 7909, 'name': 'Nicolás Martín Pareja'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 6825, 'name': 'Daniel Filipe Martins Carriço'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10881, 'name': 'Diogo José Rosário Gomes Figueiras'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6400, 'name': 'Aleix Vidal Parreu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 6841, 'name': 'Víctor Machín Pérez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sevilla,213,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d1570444-6e67-47bf-9ebc-7a8b6ce3f0d2,3,,,265835,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['430dce86-14c8-467e-a191-8c5b3713c780'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,430dce86-14c8-467e-a191-8c5b3713c780,4,,,265835,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d1570444-6e67-47bf-9ebc-7a8b6ce3f0d2'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,53faf19f-b548-410b-bede-f71396ef01df,2094,,,265835,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,91,Barcelona,217,['51127e6c-e1c8-42cf-99d5-745ac5be3859'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,51127e6c-e1c8-42cf-99d5-745ac5be3859,2095,,,265835,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,91,Barcelona,217,['53faf19f-b548-410b-bede-f71396ef01df'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.507,,,,,,,,,,,eb2d5d54-dfe2-4b08-b57b-1859f5a07331,5,,"[61.0, 41.0]",265835,0,,,,,1.7561443,,Left Foot,,,,"[60.4, 44.2]",,Ground Pass,,3.255764,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Kick Off,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['b96a719f-aa81-4c22-b57b-81f80093596b'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.610,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.2297,,,,,,,,,,,93e5db31-08b4-4c1f-a153-710c388a3cfe,8,,"[60.4, 44.5]",265835,0,,,,,-3.0235007,,Right Foot,,,,"[48.6, 43.1]",,Ground Pass,,11.882761,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['7dd1622e-b3bc-47ab-b056-d4b3580a9478'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.157,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.07747,,,,,,,,,,,29dd7af6-5f95-427a-b579-2d1320eccda2,11,,"[48.6, 43.1]",265835,0,,,,,1.3407102,,Right Foot,,,,"[51.2, 54.2]",,Ground Pass,,11.400438,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['abc9ae46-21db-4e32-aa6b-09e2da46649d'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.429,Pass,,2014/2015
,,,,,,,,,,,,,,,,,0.8495,,,,,,,,,,,74c16517-e32a-401d-bd29-5a0ca6db8a3e,14,,"[52.8, 58.1]",265835,0,,,,,1.706324,,Right Foot,,,,"[50.7, 73.5]",,Ground Pass,,15.542522,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['6d7c6f6e-dd65-4f14-b784-a0573e7bb495'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.744,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.990031,,,,,,,,,,,28daf0cf-eebc-45ee-afbe-bafbaca0debe,17,,"[50.7, 73.5]",265835,0,,,,,-2.5372872,,Right Foot,,,,"[33.9, 61.9]",,Ground Pass,,20.41568,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['868d6d07-d3fe-4b6d-ab9c-f22e9e20fb2c'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.634,Pass,,2014/2015
,,,,,,,,,,,,,,,,,2.062416,,,,,,,,,,,f943be7e-9ffb-4404-a66d-dfdb168d9841,20,,"[34.4, 59.1]",265835,0,,,,,-1.4913619,,Right Foot,,,,"[37.6, 18.9]",,Ground Pass,,40.327164,,,Jérémy Mathieu,10609.0,,,True,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['8c3f6ca3-6305-4b1a-bd3a-b451a680614b'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.856,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.905745,,,,,,,,,,,cb5be6ed-522a-4137-9449-f0bad9285e55,23,,"[45.8, 16.7]",265835,0,,,,,1.6921483,,Left Foot,,,,"[41.8, 49.5]",,Ground Pass,,33.043003,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,['81ce009b-328a-47f5-b0bf-9a616617dd47'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.299,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.685401,,,,,,,,,,,4a83358b-2bb2-47e6-a1ad-0779d279b403,26,,"[44.8, 49.5]",265835,0,,,,,-1.6543225,,Right Foot,,,,"[43.0, 28.0]",,Ground Pass,,21.575218,,,Jérémy Mathieu,10609.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['a7605a98-8342-42e3-b590-d00577ba8cec'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.028,Pass,,2014/2015
,,,,,,,,,,,,,,,,,0.9874,,,,,,,,,,,9b9dd0f4-357d-410e-88a0-e2f348987baa,29,,"[47.6, 20.9]",265835,0,,,,,0.019352423,,Left Foot,,,,"[63.1, 21.2]",,Ground Pass,,15.502903,,,Ivan Rakitić,5470.0,,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,['4443c325-3a35-4dbe-99c3-ad9e964cc760'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.046,Pass,,2014/2015
,,,,,,,,,,,,,,,,,2.0192,,,,,,,,,,,c64ef5a9-433e-4f3c-81e0-7dd06ce21e15,33,,"[64.9, 21.7]",265835,0,,,,,1.5215089,,Right Foot,,,,"[66.0, 44.0]",,Ground Pass,,22.327114,Incomplete,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Left Center Midfield,2,Barcelona,217,"['4710674e-9ece-4dd3-b59e-7e70792a6ba2', '63ec55fd-7eee-4cd8-b604-3be31b3232d6', '7467fa95-d8d6-45f8-a81c-5c05c2cd68de']",22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.108,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,1.23669,,,,,,,,,,,7467fa95-d8d6-45f8-a81c-5c05c2cd68de,35,,"[55.0, 37.0]",265835,0,,,,,-0.3655182,,Right Foot,,,,"[71.2, 30.8]",,Ground Pass,,17.345892,,,Víctor Machín Pérez,6841.0,,,,,,Recovery,1,Regular Play,Grzegorz Krychowiak,3637.0,Left Defensive Midfield,3,Sevilla,213,"['1b03edbf-d06b-4315-a33f-4b3977237724', 'c64ef5a9-433e-4f3c-81e0-7dd06ce21e15']",24,,,,,,,,,,,,,,,,,Sevilla,213,00:00:24.127,Pass,,2014/2015
