bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8f1fa7a9-ba59-4c12-aac1-2dcb8817ca43,1,,,266986,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 7161, 'name': 'Germán Alejandro Pezzella'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 27349, 'name': 'Heiko Westermann'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 27346, 'name': 'Petros Matheus dos Santos Araújo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 26723, 'name': 'Álvaro Cejudo Carmona'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 6697, 'name': 'Daniel Ceballos Fernández'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Real Betis,218,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,655fe7c8-5350-4d14-b400-d1abb6d720df,2,,,266986,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,27816808-78de-4469-a96a-0686ca524886,3,,,266986,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,['28be5f17-4727-449b-8a04-773f8acfccbf'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,28be5f17-4727-449b-8a04-773f8acfccbf,4,,,266986,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,['27816808-78de-4469-a96a-0686ca524886'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8e74ce3a-09cb-4757-9fec-30a4f6f854ae,1696,,,266986,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,76,Real Betis,218,['c034a768-2df6-4aab-b0fb-1bb4a48509bd'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c034a768-2df6-4aab-b0fb-1bb4a48509bd,1697,,,266986,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,76,Real Betis,218,['8e74ce3a-09cb-4757-9fec-30a4f6f854ae'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,0.302254,,,,,,,,,,,,,5a6b4440-5c29-41f4-863d-e11f8853c8aa,5,,"[61.0, 40.1]",266986,0,,,,,2.1375256,,Left Foot,,,"[59.6, 42.3]",,Ground Pass,,2.607681,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['b4376a33-fdef-4bb9-aac1-249516a86f3a'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.128,Pass,,2015/2016
,,,,,,,,,,,,,1.25323,,,,,,,,,,,,,dfec88b6-c2ae-42a4-9557-aa61e0788406,8,,"[61.3, 42.3]",266986,0,,,,,-3.1028523,,Right Foot,,,"[48.4, 41.8]",,Ground Pass,,12.909686,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['87aa71d8-d496-4b6d-909c-ad14e25802f8'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.091,Pass,,2015/2016
,,,,,,,,,,,,,1.992456,,,,,,,,,,,,,614e3689-e01f-48db-8327-0b7a9643c4f6,11,,"[52.2, 47.0]",266986,0,,,,,2.625736,,Right Foot,,,"[35.8, 56.3]",,Ground Pass,,18.853382,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['ce1f286c-233e-4442-b5e3-35e8f55a560d'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.561,Pass,,2015/2016
,,,,,,,,,,,,,1.775963,,,,,,,,,,,,,ebc173d2-87c0-408b-96bb-1f094c338bf7,14,,"[39.6, 57.5]",266986,0,,,,,-1.581472,,Right Foot,,,"[39.3, 29.4]",,Ground Pass,,28.1016,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['1fc6ea31-cbd3-4b83-bc66-10c59187285a'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.036,Pass,,2015/2016
