50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.8384,,,,,,,,,,,,,,,d5fa3804-ed2d-4fc0-adfb-fb79924ab72a,784,,,"[79.6, 30.3]",69322,17,,,,2.7109,,Right Foot,,,"[72.2, 33.7]",,Ground Pass,,8.143709,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,33,Barcelona,217,['db0276b2-0c8e-4912-bfbe-50b2ba5f79f6'],20,,,,,,,,,,,,,,,,Barcelona,217,00:17:20.517,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.905314,,,,,,,,,,,,,,,e4650c40-75f0-47c5-8f6a-b0ca8d50bb44,787,,,"[78.3, 39.9]",69322,17,,,,-0.986454,,Right Foot,,,"[99.2, 8.3]",,Low Pass,,37.886276,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,33,Barcelona,217,['f944a243-31d3-48f5-be8e-eeda1946fb38'],24,,,,,,,,,,,,,,,,Barcelona,217,00:17:24.337,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.185,,,,,,,,,,,,,,,d21d4c67-8065-4754-940c-d811d786cf42,790,,,"[114.2, 21.1]",69322,17,,,,1.5707964,,Left Foot,,,"[114.2, 25.3]",,Low Pass,,4.2,,Incomplete,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing Back,33,Barcelona,217,"['18e44f6a-0bd4-4a86-936b-e7d0647cf831', '611b984d-eaff-448c-86ca-19348440f1ea']",29,,,,,,,,,,,,,,,,Barcelona,217,00:17:29.700,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.7374,,,,,,,,,,,,,,,01c9df9e-79fb-4fd9-9079-4c6e080fa5d3,793,,,"[120.0, 1.0]",69322,17,,,,1.6452851,,Right Foot,,,"[117.0, 41.2]",,High Pass,True,40.311787,,Incomplete,,Carles Puyol i Saforcada,20125.0,,,True,Inswinging,,Corner,1,From Corner,Xavier Hernández Creus,20131.0,Right Center Midfield,34,Barcelona,217,"['695cb57c-a622-4855-9ea6-ca56faf341c3', 'e0bf4bd2-f228-4dfb-9235-df540919ccbd']",49,,,,,,,,,,,,,,,,Barcelona,217,00:17:49.152,Pass,,2011/2012
,,,,,,,,,,,,,,,,,2.7488,,,,,,,,,,,,,,,978416d0-3107-4d7f-aeb7-ccddea593aa6,796,,,"[85.9, 52.1]",69322,17,,,,1.2710203,,Left Foot,,,"[91.0, 68.6]",,Low Pass,,17.270206,,Incomplete,,Daniel Alves da Silva,4324.0,,,,,,Recovery,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,34,Barcelona,217,"['24e9826c-a852-48be-b81f-953a3457b746', '3e7deb97-76a2-45a0-a764-cee12e5c960d']",53,,,,,,,,,,,,,,,,Barcelona,217,00:17:53.301,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.7995,,,,,,,,,,,,,,,828c27a9-b20b-4389-93b4-f3fa54502a27,803,,,"[98.6, 56.3]",69322,17,,,,-1.7405746,,Right Foot,,,"[96.2, 42.3]",,Ground Pass,,14.204225,,,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,From Corner,Daniel Alves da Silva,4324.0,Right Center Back,34,Barcelona,217,['60526303-5408-4264-959f-be20baa94c14'],59,,,,,,,,,,,,,,,,Barcelona,217,00:17:59.974,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.535712,,,,,,,,,,,,,,,d491f296-dee4-4d68-b12c-4cad73f0a0fa,806,,,"[96.6, 40.9]",69322,18,,,,-1.0706353,,Right Foot,,,"[106.0, 23.7]",,Ground Pass,,19.60102,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Corner,Francesc Fàbregas i Soler,3478.0,Center Attacking Midfield,34,Barcelona,217,['646e8462-9763-4f9a-aadc-98ae626c0e4a'],2,,,,,,,,,,,,,,,,Barcelona,217,00:18:02.104,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.4595,,,,,,,,,,,,,,,52e3e2bb-4bb9-4762-8779-e6fa094f6e28,809,,,"[104.3, 24.4]",69322,18,,,,2.695487,,Right Foot,,,"[99.7, 26.6]",,Ground Pass,,5.0990195,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Corner,Xavier Hernández Creus,20131.0,Right Center Midfield,34,Barcelona,217,"['4abb56ec-7440-4ac5-8713-e984bd1a022b', 'c38ac021-3b8b-4f0a-9007-28c4431bc807']",6,,,,,,,,,,,,,,,,Barcelona,217,00:18:06.182,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.188067,,,,,,,,,,,,,,,44d7166d-44d5-46e6-b475-4cdc77f1ddf6,812,,,"[92.6, 1.0]",69322,18,,,,2.648674,,,,,"[75.1, 10.4]",,Low Pass,,19.864794,,,,Andrés Iniesta Luján,5216.0,,,,,,Throw-in,1,From Throw In,Carles Puyol i Saforcada,20125.0,Left Center Back,35,Barcelona,217,['7192aebb-1fb4-4e23-a94c-2adda31f56ff'],18,,,,,,,,,,,,,,,,Barcelona,217,00:18:18.509,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.1549,,,,,,,,,,,,,,,4f59e900-b82a-4208-8a2f-c8161bb96f78,815,,,"[69.7, 12.5]",69322,18,,,,1.4104818,,Right Foot,,,"[73.5, 36.0]",,Ground Pass,,23.805252,,,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,35,Barcelona,217,['f8da1841-4c38-4c92-acc7-ae7af765dfc4'],22,,,,,,,,,,,,,,,,Barcelona,217,00:18:22.089,Pass,,2011/2012
