ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2a5844e3-e876-4649-9999-49d79e708440,1,,,70288,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20539, 'name': 'Loukas Vyntra'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 26012, 'name': 'David Navarro Pedrós'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 27154, 'name': 'Nikolaos Karabelas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 6787, 'name': 'Pedro López Muñoz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 20494, 'name': 'Andreas Ivanschitz'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 6608, 'name': 'Nabil El Zhar'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 8}, {'player': {'id': 23943, 'name': 'Rubén García Santos'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Levante UD,221,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8aca513d-9a5d-4264-b9cc-444dc59f7dcb,2,,,70288,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,093da6ac-944b-4280-a9e3-c50f8a5e9bab,3,,,70288,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['066b0948-edba-419f-b4ed-5a39e15837d2'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,066b0948-edba-419f-b4ed-5a39e15837d2,4,,,70288,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['093da6ac-944b-4280-a9e3-c50f8a5e9bab'],0,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,673f2b60-9fa4-4993-8a7d-ea2f3f97f221,1715,,,70288,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Levante UD,221,['8f88cef4-05e9-40dc-add5-edebfd407bbb'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8f88cef4-05e9-40dc-add5-edebfd407bbb,1716,,,70288,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Levante UD,221,['673f2b60-9fa4-4993-8a7d-ea2f3f97f221'],0,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,0.618,,,,,,,,,,,,,,d1e429cf-b132-4658-92ac-645d0458ebad,5,,"[61.0, 40.1]",70288,0,,,,,-2.373142,,Right Foot,,,,"[58.0, 37.2]",,Ground Pass,,4.172529,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Kick Off,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,2,Barcelona,217,['ab9201c1-d9f5-4be3-be54-63c802ccd7c4'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.240,Pass,,2013/2014
,,,,,,,,,,,,,,,1.0574,,,,,,,,,,,,,,d1a0522c-4f37-49fb-aef7-cb1613406f59,8,,"[58.0, 36.7]",70288,0,,,,,3.1415927,,Left Foot,,,,"[48.0, 36.7]",,Ground Pass,,10.0,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['3b601dd1-9951-456f-84bb-e9acf8a82baa'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.938,Pass,,2013/2014
,,,,,,,,,,,,,,,0.8157,,,,,,,,,,,,,,60fe53db-0772-4137-bc98-877e548b678e,11,,"[48.1, 36.4]",70288,0,,,,,1.3817757,,Right Foot,,,,"[50.3, 47.9]",,Ground Pass,,11.708544,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['501345ea-1129-4e94-82f0-e2aa7cbaf971'],2,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.075,Pass,,2013/2014
,,,,,,,,,,,,,,,1.258902,,,,,,,,,,,,,,8a572281-8b7e-4aa1-871b-baff6b5e6f08,14,,"[56.9, 59.7]",70288,0,,,,,2.146915,,Right Foot,,,,"[48.0, 73.4]",,Ground Pass,,16.337074,,,Martín Montoya Torralbo,6593.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['a186caf5-a341-493a-9e7e-57106432acb2'],4,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.211,Pass,,2013/2014
