ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,46eabe4a-b046-4a3a-98c3-ad2368724e92,1,,,9650,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3726, 'name': 'Gerard Deulofeu Lázaro'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d5ecd436-e3c4-4f3d-b804-f24d91ae99a8,2,,,9650,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6848, 'name': 'Andrés Tomás Prieto Albert'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4443, 'name': 'Paul Baysse'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6559, 'name': 'Juan Carlos Pérez López'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 6843, 'name': 'Esteban Rolón'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6557, 'name': 'Adrián González Morales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6742, 'name': 'Sergio Gontán Gallardo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 6847, 'name': 'Adalberto Peñaranda Maestre'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 6740, 'name': 'Gonzalo Castro Irizábal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 6739, 'name': 'Diego Alejandro Rolan Silva'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Málaga,223,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bc58e143-b8a5-4c5a-b6c3-718c2ebeaaf7,3,,,9650,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['75071a68-13d6-4f88-a60a-99b540625d57'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,75071a68-13d6-4f88-a60a-99b540625d57,4,,,9650,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['bc58e143-b8a5-4c5a-b6c3-718c2ebeaaf7'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3266fc7e-d53c-44bf-ab9d-fb604cb4597a,2009,,,9650,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Málaga,223,['a37726ce-6067-4cef-872f-95e1a2979d09'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a37726ce-6067-4cef-872f-95e1a2979d09,2010,,,9650,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Málaga,223,['3266fc7e-d53c-44bf-ab9d-fb604cb4597a'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.896007,,,,,,,,,,,,,,f791e46b-8cca-482a-b657-b0b697bdb4ce,5,,"[61.0, 40.1]",9650,0,,,,-3.0406709,,Right Foot,,,,"[45.2, 38.5]",,Ground Pass,15.880806,,,,Esteban Rolón,6843.0,,,,,Kick Off,1,From Kick Off,Diego Alejandro Rolan Silva,6739.0,Center Forward,2,Málaga,223,['85eabf63-dc73-4ed3-b403-7ebfb911c671'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.626,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.041957,,,,,,,,,,,,,,206ba707-6c74-4c69-a2e9-a4a235eb5d7a,8,,"[44.6, 39.2]",9650,0,,,,1.894024,,Right Foot,,,,"[37.8, 59.5]",,Ground Pass,21.408644,,,,Roberto José Rosales Altuve,6569.0,,,,,,1,From Kick Off,Esteban Rolón,6843.0,Right Defensive Midfield,2,Málaga,223,['07114e5a-46bc-4deb-bcc3-16b4702a559a'],2,,,,,,,,,,,,,,,,,,Málaga,223,00:00:02.564,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.071544,,,,,,,,,,,,,,4d8bc7f6-c4a1-495d-98f3-c98324385a81,11,,"[33.8, 65.0]",9650,0,,,,-2.0891838,,Right Foot,,,,"[25.7, 50.8]",,Ground Pass,16.347782,,,,Luis Hernández Rodríguez,6561.0,,,,,,1,From Kick Off,Roberto José Rosales Altuve,6569.0,Right Back,2,Málaga,223,['ac58fe34-30de-4289-862a-d3faa7d67f8b'],4,,,,,,,,,,,,,,,,,,Málaga,223,00:00:04.709,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.128962,,,,,,,,,,,,,,4df1c435-fed5-4956-981b-98e324932612,14,,"[25.7, 50.8]",9650,0,,,,-1.6322572,,Right Foot,,,,"[24.1, 24.8]",,Ground Pass,26.049185,,,,Paul Baysse,4443.0,,,,,,1,From Kick Off,Luis Hernández Rodríguez,6561.0,Right Center Back,2,Málaga,223,['a65c52d2-56ad-4d5e-b467-3e5bd2bc9380'],6,,,,,,,,,,,,,,,,,,Málaga,223,00:00:06.685,Pass,,2017/2018
