bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,553b2f59-7413-47a8-8312-ec4b9c5a524f,1,,,69303,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,34dcf0e2-c0c8-426d-81dd-0a2368274f0e,2,,,69303,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26686, 'name': 'Jordi Codina Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 26496, 'name': 'Daniel Alberto Díaz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 13157, 'name': 'Ivan Marcano Sierra'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 11294, 'name': 'Borja Fernández Fernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 26144, 'name': 'Francisco Javier Casquero Paredes'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 26425, 'name': 'Juan Ángel Albín Leites'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 24507, 'name': 'Manuel del Moral Fernández'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 26217, 'name': 'Ángel Javier Arizmendi de Lucas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Getafe,216,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,41b2d1be-33bd-4f85-99b0-08f581dd9b76,3,,,69303,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['19d04368-c8b9-49e4-b0d0-8c440e2d646c'],0,,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,19d04368-c8b9-49e4-b0d0-8c440e2d646c,4,,,69303,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['41b2d1be-33bd-4f85-99b0-08f581dd9b76'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8ad14ffe-33f8-4186-ad71-1cbf6a684e80,1890,,,69303,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Getafe,216,['88b708c6-bbcc-48e9-aedc-f19b28b0579e'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,88b708c6-bbcc-48e9-aedc-f19b28b0579e,1891,,,69303,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Getafe,216,['8ad14ffe-33f8-4186-ad71-1cbf6a684e80'],0,,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,,0.527466,,,,,,,,,,,,,cb676b56-43f6-4a1f-b790-90e04845e07f,5,,"[60.0, 40.0]",69303,0,,True,,,1.4056476,,Right Foot,,,,"[60.3, 41.8]",,Ground Pass,,1.8248287,,,,David Villa Sánchez,12737.0,,,,,Kick Off,1,From Kick Off,Bojan Krkíc Pérez,4913.0,Left Wing,2,Barcelona,217,['5e177ad8-ce0f-4531-8b56-62e7fbc3f3eb'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.650,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,0.864076,,,,,,,,,,,,,37afd2fe-1244-461e-98ab-a3c2ad3e9b99,7,,"[59.2, 41.8]",69303,0,,,,,-2.9933379,,Right Foot,,,,"[43.8, 39.5]",,Ground Pass,,15.570806,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Barcelona,217,['f2577a59-1085-4615-af70-f8ffd4ae6e60'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.341,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,1.742054,,,,,,,,,,,,,f43c81b3-d46d-4c69-a365-904c96ee1766,10,,"[43.8, 39.5]",69303,0,,,,,-1.4086522,,Right Foot,,,,"[49.1, 7.1]",,Ground Pass,,32.830627,,,,Adriano Correia Claro,22102.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['195b01ba-8004-40ab-b53d-66ae70e0b0db'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.065,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,1.314379,,,,,,,,,,,,,e3604962-162f-4a70-b366-f434b57f8d34,13,,"[46.9, 9.3]",69303,0,,,,,2.0947156,,Left Foot,,,,"[39.1, 22.8]",,Ground Pass,,15.591344,,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['ab5336f1-b147-4867-b388-a36aa20adebd'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.611,Pass,,2010/2011
