50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3267529c-e079-44b1-a8ad-436544dffc53,1,,,69139,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3ba92455-9321-4b9d-ba23-41f558eb995a,2,,,69139,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6904, 'name': 'Sergio Sánchez Ortega'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 7909, 'name': 'Nicolás Martín Pareja'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 26110, 'name': 'Daniel Jarque Gonzalez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 26138, 'name': 'David García De La Cruz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26162, 'name': 'Moisés Hurtado Pérez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 23916, 'name': 'Luis García Fernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 26160, 'name': 'Ángel Martínez Cervera'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 26105, 'name': 'Iván De la Peña López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 25764, 'name': 'Anderson Luis de Carvalho'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 26243, 'name': 'Iván Daniel Alonso Vallejo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Espanyol,214,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,75faf019-a100-4dc9-8aa9-1d63925dc42f,3,,,69139,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['b5b41f35-ad90-43c8-b5e6-22debddfa237'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b5b41f35-ad90-43c8-b5e6-22debddfa237,4,,,69139,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['75faf019-a100-4dc9-8aa9-1d63925dc42f'],0,,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,21388429-a40f-4b92-bb31-e5b0eb61dc13,1496,,,69139,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,100,Barcelona,217,['8e54ed29-0e6c-4a24-9ce4-915e7666ab26'],0,,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8e54ed29-0e6c-4a24-9ce4-915e7666ab26,1497,,,69139,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,100,Barcelona,217,['21388429-a40f-4b92-bb31-e5b0eb61dc13'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,,0.3673,,,,,,,,,,,,,efb0287b-c151-47d2-b853-bf715b87dcd5,5,,"[61.0, 41.0]",69139,0,,,,,-1.3370532,,Right Foot,,,"[61.5, 38.9]",,Ground Pass,,2.1587033,,,,Iván Daniel Alonso Vallejo,26243.0,,,,,Kick Off,1,From Kick Off,Iván De la Peña López,26105.0,Left Center Midfield,2,Espanyol,214,['200c70a8-c8de-46cd-abe1-1b731aa6c3f1'],3,,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:03.288,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.5823,,,,,,,,,,,,,7e0a2dcc-ad23-4f59-a103-a643acd0eda7,8,,"[58.6, 41.2]",69139,0,,,,,-2.596191,,Right Foot,,,"[38.0, 28.7]",,Ground Pass,,24.09585,,,,Daniel Jarque Gonzalez,26110.0,,,,,,1,From Kick Off,Iván Daniel Alonso Vallejo,26243.0,Center Forward,2,Espanyol,214,['4a608e97-7b03-4e11-97de-52f8bbdaacc3'],3,,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:03.775,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,3.8482,,,,,,,,,,,,,37ba3f9a-8371-46f2-a954-ba004e7b73bc,11,,"[37.2, 32.1]",69139,0,,,,,-0.48129684,,Right Foot,,,"[95.6, 1.6]",,High Pass,,65.88483,,Out,,Iván Daniel Alonso Vallejo,26243.0,,,,,,1,From Kick Off,Daniel Jarque Gonzalez,26110.0,Left Center Back,2,Espanyol,214,['0a483e6a-8f4e-423a-90cb-8b4b17583e63'],6,,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:06.567,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.3655,,,,,,,,,,,,,d267f5cc-b94c-4059-b082-d8f41a8a6c63,13,,"[29.4, 80.0]",69139,0,,,,,-0.5106293,,,,,"[51.0, 67.9]",,High Pass,,24.75823,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['6675de5a-f163-4a81-bf94-b9f57eb04ffa'],18,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.600,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,0.8922,,,,,,,,,,,,,cd9f53b0-b1b1-4169-a952-584307e5dbb1,19,,"[72.5, 13.7]",69139,0,,,,,-2.7690384,,Left Foot,,,"[63.8, 10.3]",,Ground Pass,,9.340771,,,,David García De La Cruz,26138.0,,,,,,1,Regular Play,Iván De la Peña López,26105.0,Left Center Midfield,4,Espanyol,214,['4ae8310b-fd3b-46d8-9052-ee193d51ef15'],22,,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:22.077,Pass,,2008/2009
