50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.365911,,,,,,,,,,,9b7d58a8-7f38-4933-9069-3880005e5836,14,,,"[88.6, 75.3]",16173,0,,,,,-1.3432288,,Right Foot,,,"[90.8, 65.8]",High Pass,,9.7514105,,Incomplete,,,,,,,,,1,From Kick Off,Óscar de Marcos Arana,6649.0,Right Back,2,Athletic Club,215,['49d4e6c9-02a7-4023-91d0-8d26cdd6e90a'],8,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:08.930,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.246031,,,,,,,,,,,501590cd-6d60-4851-b070-12e6937f0e57,18,,,"[37.4, 3.7]",16173,0,,,,,-0.18033965,,Right Foot,,,"[55.5, 0.4]",High Pass,,18.398369,,Out,,,,,,,,Recovery,1,From Kick Off,Philippe Coutinho Correia,3501.0,Left Wing,2,Athletic Club,215,,13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.473,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.616955,,,,,,,,,,,8b6dae7a-815b-422d-b233-e360369af50d,19,,,"[64.6, 80.0]",16173,0,,True,,,-1.8097328,,,,,"[62.7, 72.2]",Low Pass,,8.028076,,,,Raúl García Escudero,6391.0,,,,,Throw-in,1,From Throw In,Óscar de Marcos Arana,6649.0,Right Back,3,Athletic Club,215,['a2d89b60-aa7a-4eef-b1fe-5dc91196dd92'],24,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:24.690,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.859716,,,,,,,,,,,b9bc52b5-12b5-45d0-be0e-44c8c5b89f59,21,,,"[67.5, 72.9]",16173,0,,,,,0.24497867,,Right Foot,,,"[79.1, 75.8]",High Pass,,11.957006,,,,Óscar de Marcos Arana,6649.0,,,,,,1,From Throw In,Raúl García Escudero,6391.0,Center Attacking Midfield,3,Athletic Club,215,['fd6f29c0-32bd-4446-b872-197575f4530f'],25,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:25.494,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.50681,,,,,,,,,,,4cbc7e4c-2569-40f2-a3a2-09fa7b845248,31,,,"[27.3, 9.5]",16173,0,,,,,0.3626788,,Left Foot,,,"[72.1, 26.5]",High Pass,,47.91701,,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,Free Kick,1,From Free Kick,Clément Lenglet,6826.0,Left Center Back,4,Barcelona,217,"['c6eb28b1-14fe-4161-b742-0f112d7fa1ab', 'd400dc57-35d6-4ea0-bcc5-6d4207dcc119']",47,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.408,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.098788,,,,,,,,,,,d400dc57-35d6-4ea0-bcc5-6d4207dcc119,34,,,"[48.0, 53.6]",16173,0,,,,True,-0.08314123,,,,,"[63.6, 52.3]",High Pass,,15.654073,,,,Raúl García Escudero,6391.0,,,,,Recovery,1,From Counter,Yeray Álvarez López,6877.0,Right Center Back,5,Athletic Club,215,"['4cbc7e4c-2569-40f2-a3a2-09fa7b845248', 'beb834a5-36f0-4e28-918d-818c406e9287', 'eb890508-d0d7-4047-8a2a-5d544d68f953']",49,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:49.915,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,,1.103173,,,,,,,,,,,25ab9998-686c-4e53-9249-b4baa6e4797b,37,,,"[63.0, 52.1]",16173,0,,,,True,0.12554973,,,,,"[73.3, 53.4]",Low Pass,,10.381715,,,,Iñaki Williams Arthuer,6393.0,,,,,,1,From Counter,Raúl García Escudero,6391.0,Center Attacking Midfield,5,Athletic Club,215,"['7f6b18d3-9129-4410-9bc9-3c6ba6273394', 'b6cdba9b-ec01-4d34-bf2d-f88abeb16292']",52,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:52.180,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,,0.017454,,,,,,,,,,,799f630a-6192-47d4-86ef-81e1f22be08d,40,,,"[73.3, 53.6]",16173,0,,,,,-2.7744188,,Right Foot,,,"[69.4, 52.1]",Low Pass,,4.1785164,,Incomplete,,,,,,,,,1,From Counter,Iñaki Williams Arthuer,6393.0,Center Forward,5,Athletic Club,215,['990e2087-7a15-4045-87b2-aa8b1c0c61ba'],53,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:53.865,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.28549,,,,,,,,,,,07a0d963-95dc-4796-bf8a-4710816f73de,47,,,"[41.6, 37.1]",16173,1,,,,,1.7673216,,Left Foot,,,"[37.2, 59.2]",Ground Pass,,22.533752,,,,Gerard Piqué Bernabéu,5213.0,,,,,Free Kick,1,From Free Kick,Clément Lenglet,6826.0,Left Center Back,7,Barcelona,217,['87d6a49c-1155-4bdb-b380-8ab837ccf5f8'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.236,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.474812,,,,,,,,,,,0a2c2de7-9211-4052-8a00-01914309a5ec,50,,,"[37.6, 60.9]",16173,1,,,,,0.83949697,,Right Foot,,,"[50.7, 75.5]",Ground Pass,,19.615555,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,7,Barcelona,217,['b8d31b93-385a-452c-a247-899aea9223f0'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.407,Pass,,2018/2019
