50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ec178cb9-08e5-4510-b299-735e88323ddd,1,,,69156,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 15071, 'name': 'Lilian Thuram'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 17797, 'name': 'Giovanni van Bronckhorst'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7190ba94-7b12-488a-ae98-77995e20d923,2,,,69156,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 13817, 'name': 'José Francisco Molina Jiménez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 25894, 'name': 'Iñaki Descarga Retegi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 25913, 'name': 'Álvaro Luiz Maior de Aquino'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25887, 'name': 'José Alejandro Suárez Martín'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26426, 'name': 'Luis Manuel Rubiales Béjar'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 26179, 'name': 'Mathieu Berson'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 25886, 'name': 'Diego Camacho Quesada'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 26430, 'name': 'Damiano Tommasi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 26181, 'name': 'Rahamat Riga Mustapha'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 26428, 'name': 'Narcisse-Olivier Kapo Obou'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 26246, 'name': 'Salvador Ballesta Vialcho'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Levante UD,221,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b555eedf-20a3-48ed-ae09-1a3698d3ddb7,3,,,69156,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d64c2a81-3bd8-4257-985f-d86dee2d1c2c'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d64c2a81-3bd8-4257-985f-d86dee2d1c2c,4,,,69156,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['b555eedf-20a3-48ed-ae09-1a3698d3ddb7'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3c8cba9b-ed2e-4c31-8ae2-b3b9831aa796,1519,,,69156,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,103,Barcelona,217,['8109b7b2-217b-4cc2-9ff1-f6cdf0484b26'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8109b7b2-217b-4cc2-9ff1-f6cdf0484b26,1520,,,69156,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,103,Barcelona,217,['3c8cba9b-ed2e-4c31-8ae2-b3b9831aa796'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,,0.4801,,,,,,,,,,,,,5b399599-e756-47b3-b9f8-e6cf331a6f73,5,,"[61.0, 40.1]",69156,0,,,,,-1.2924967,,Left Foot,,,,"[61.2, 39.4]",Ground Pass,,0.728011,,,Salvador Ballesta Vialcho,26246.0,,,,,Kick Off,1,From Kick Off,Damiano Tommasi,26430.0,Left Center Midfield,2,Levante UD,221,['1a2a8dce-1213-4099-bc3c-a5563ac1f78a'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.771,Pass,,2006/2007
,,,,,,,,,,,,,,,,,2.1448,,,,,,,,,,,,,c3dcd827-92da-46b5-8c0c-e9d6cfbf8aec,7,,"[60.7, 40.4]",69156,0,,,,,-3.0162373,,Left Foot,,,,"[36.1, 37.3]",Ground Pass,,24.794556,,,José Alejandro Suárez Martín,25887.0,,,,,,1,From Kick Off,Salvador Ballesta Vialcho,26246.0,Center Forward,2,Levante UD,221,['a434c5a6-2d9d-42e5-b492-073bdc952c10'],1,,,,,,,,,,,,,,,,,Levante UD,221,00:00:01.251,Pass,,2006/2007
,,,,,,,,,,,,,,,,,3.1883,,,,,,,,,,,,,c4449e80-7391-4b31-b4b8-d8c5531dc4bb,10,,"[40.3, 38.3]",69156,0,,,,,0.13352905,,Left Foot,,,,"[93.9, 45.5]",High Pass,,54.08142,Incomplete,,Rahamat Riga Mustapha,26181.0,,,,,,1,From Kick Off,José Alejandro Suárez Martín,25887.0,Left Center Back,2,Levante UD,221,"['0ac247cf-0e87-4753-b330-961cdc9578aa', '24d5f245-4c92-4b6f-aa45-ed919b30a4be']",4,,,,,,,,,,,,,,,,,Levante UD,221,00:00:04.758,Pass,,2006/2007
,,,,,,,,,,,,,,,,,2.0273,,,,,,,,,,,,,998a94fc-0223-44c8-b654-d5cda383b265,17,,"[26.8, 30.0]",69156,0,,,,,-1.7478695,,Right Foot,,,,"[25.1, 20.5]",High Pass,,9.650907,,,Giovanni van Bronckhorst,17797.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Levante UD,221,"['20cdddfe-4eb7-438f-b894-88f98713df8a', 'd3deaec0-6a36-4cdd-89e4-e4bcbc1ab972']",10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.047,Pass,True,2006/2007
