50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.65124,,,,,,,,,,,,97f1c9ff-7fff-475d-b390-8142f394193d,16,,"[49.7, 26.0]",69180,0,,,,,1.6444881,,Right Foot,,,,"[48.6, 40.9]",Ground Pass,,14.940549,,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,['dd51bd74-7f9c-4976-a1f0-6586a441ec32'],8,,,,,,,,,,,,,,,Barcelona,217,00:00:08.717,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.753233,,,,,,,,,,,,af07f59e-2853-4eec-a4f5-2ca04d44e8e3,20,,"[47.6, 42.6]",69180,0,,,,,1.4836681,,Right Foot,,,,"[50.5, 75.8]",Ground Pass,,33.326416,,,,Gianluca Zambrotta,15774.0,,,,,,1,From Kick Off,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,2,Barcelona,217,"['8a320a22-7207-4cbb-be31-e9d67c40d9ac', 'a7721a04-64b5-4125-a777-d0f0ab8ad145']",10,,,,,,,,,,,,,,,Barcelona,217,00:00:10.779,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,2.6784,,,,,,,,,,,,ff0fb47e-bfc1-4f04-a80c-0c18eff180ee,23,,"[50.5, 75.8]",69180,0,,,,,-2.0494025,,Right Foot,,,,"[32.6, 41.3]",Ground Pass,,38.86721,,,,Oleguer Presas Renom,25873.0,,,,,,1,From Kick Off,Gianluca Zambrotta,15774.0,Right Back,2,Barcelona,217,['29720aec-c63a-45a9-8e15-ff7a6bac012d'],14,,,,,,,,,,,,,,,Barcelona,217,00:00:14.845,Pass,,2007/2008
,,,,,,,,,,,,,,,,,2.066509,,,,,,,,,,,,3b16abde-b690-4aeb-9850-76099d811f8f,26,,"[39.4, 41.3]",69180,0,,,,,1.267726,,Right Foot,,,,"[49.0, 72.0]",Low Pass,,32.165977,,,,Gianluca Zambrotta,15774.0,,,,,,1,From Kick Off,Oleguer Presas Renom,25873.0,Left Center Back,2,Barcelona,217,['a3cd2478-d390-4291-ae9d-88d6ed406bbf'],20,,,,,,,,,,,,,,,Barcelona,217,00:00:20.433,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.9495,,,,,,,,,,,,84099f6a-13d1-44e3-9f50-20699e25dc7f,29,,"[49.0, 72.0]",69180,0,,,,,-0.17926283,,Right Foot,,,,"[63.9, 69.3]",Ground Pass,,15.142655,,Incomplete,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Gianluca Zambrotta,15774.0,Right Back,2,Barcelona,217,"['09aeeff9-5fe0-4827-8c63-29f7462b27c5', '78c4089f-c7c3-4cf9-bed3-4a1995d157e2']",23,,,,,,,,,,,,,,,Barcelona,217,00:00:23.488,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.8392,,,,,,,,,,,,7efa98e7-1d7d-4237-815a-188875f76f84,34,,"[69.0, 5.6]",69180,0,,,,,2.1921198,,Left Foot,,,,"[62.7, 14.4]",Ground Pass,,10.822661,,,,Aldo Pedro Duscher,26489.0,,,,,,1,Regular Play,Óscar Serrano Rodriguez,26137.0,Left Midfield,3,Racing Santander,1217,"['417b1df7-9879-4fe1-aaef-c34ac5048b71', 'bba57cca-40c6-4a61-93b2-92911cb06826']",27,,,,,,,,,,,,,,,Racing Santander,1217,00:00:27.553,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,0.9098,,,,,,,,,,,,130154dc-31d8-46f1-afa5-9655f30352ea,38,,"[62.7, 15.3]",69180,0,,,,,1.0143231,,Right Foot,,,,"[78.5, 40.7]",Low Pass,,29.913208,,,,Iván Bolado Palacios,26491.0,,,,,,1,Regular Play,Aldo Pedro Duscher,26489.0,Left Center Midfield,3,Racing Santander,1217,['7e353872-299f-41ed-a105-115c94ff0caa'],29,,,,,,,,,,,,,,,Racing Santander,1217,00:00:29.535,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.7288,,,,,,,,,,,,3d4eb196-bcd2-4454-8a5d-2c5c04c0f75b,42,,"[86.7, 63.2]",69180,0,,,,,1.299401,,Left Foot,,,,"[89.9, 74.7]",Ground Pass,,11.936917,,,,Pablo Pinillos Caro,25889.0,,,,,,1,Regular Play,Iván Bolado Palacios,26491.0,Right Center Forward,3,Racing Santander,1217,['a6af3faf-8237-4379-8f55-b47121c4e0e0'],35,,,,,,,,,,,,,,,Racing Santander,1217,00:00:35.854,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.1823,,,,,,,,,,,,713273ce-62ee-47e7-99d2-a37e72fceca5,44,,"[89.9, 74.7]",69180,0,,,,,-0.525698,,Right Foot,,,,"[103.0, 67.1]",Ground Pass,,15.144966,,Incomplete,,Jorge López Montaña,26025.0,,,,,,1,Regular Play,Pablo Pinillos Caro,25889.0,Right Back,3,Racing Santander,1217,"['73237098-b4aa-450e-a2aa-952a340721f5', 'f6d20f8c-414c-4f59-8419-8f6d0854e497']",37,,,,,,,,,,,,,,,Racing Santander,1217,00:00:37.583,Pass,,2007/2008
,,,,,,,,,,,,,,,,,3.247643,,,,,,,,,,,,be72bf3f-8e0f-4af3-bf5a-aa284e717a7a,47,,"[103.3, 80.0]",69180,0,,,,,-0.7203559,,,,,,"[117.2, 67.8]",High Pass,,18.494595,,,,Iván Bolado Palacios,26491.0,,,,,Throw-in,1,From Throw In,Pablo Pinillos Caro,25889.0,Right Back,4,Racing Santander,1217,['626c928c-bc98-4aa6-8be1-030a1eb76270'],42,,,,,,,,,,,,,,,Racing Santander,1217,00:00:42.545,Pass,,2007/2008
