bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.5903,,,,,,,,,,,,9a761832-d463-4258-b37b-df9a1ac37761,22,,,"[99.7, 3.9]",69255,0,,,,,1.3197936,,Left Foot,,,,"[102.7, 15.6]",,Low Pass,,12.078493,,Incomplete,,Victor Obinna Nsofor,26678.0,,,,,,1,From Kick Off,Sérgio Paulo Barbosa Valente,25859.0,Left Wing,2,Málaga,223,"['4cd58216-a048-4db3-a480-44a54db714ba', '88897944-d0aa-4089-bb36-2f06c19a9231']",12,,,,,,,,,,,,,,,,Málaga,223,00:00:12.980,Pass,,2009/2010
,,,,,,,,,,,,,,,0.97664,,,,,,,,,,,,9a4c1513-337e-4fba-b802-33b66cd0b78e,25,,,"[98.5, 32.4]",69255,0,,,,,-0.4636476,,Other,,,,"[104.7, 29.3]",,Low Pass,,6.931811,,,,Victor Obinna Nsofor,26678.0,,,,,Recovery,1,From Kick Off,Juan Jesús Gutiérrez Robles,25883.0,Right Defensive Midfield,2,Málaga,223,['3f634950-6844-4957-96bd-6336903ec21b'],14,,,,,,,,,,,,,,,,Málaga,223,00:00:14.941,Pass,,2009/2010
,,,,,,,,,,,,,,,2.780165,,,,,,,,,,,,0be30504-2ad2-47e8-a29e-0fe1ba98b904,29,,,"[104.7, 27.7]",69255,0,,,,,-2.4008574,,Right Foot,,,,"[86.0, 10.6]",,Low Pass,,25.339693,,,,Sérgio Paulo Barbosa Valente,25859.0,,,,,,1,From Kick Off,Victor Obinna Nsofor,26678.0,Center Forward,2,Málaga,223,['c2a3c1ca-75bc-456f-9a92-53c517f7a330'],17,,,,,,,,,,,,,,,,Málaga,223,00:00:17.956,Pass,,2009/2010
,,,,,,,,,,,,,,,1.1917,,,,,,,,,,,,b8b3abe6-5100-4dbd-a992-17379ec7b93a,38,,,"[8.6, 73.6]",69255,0,,,,,-1.7862821,,Left Foot,,,,"[3.5, 50.3]",,Ground Pass,,23.851625,,,,Víctor Valdés Arribas,20176.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Málaga,223,['1975ff25-7610-4f5e-9682-e046a1a95369'],25,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.883,Pass,,2009/2010
,,,,,,,,,,,,,,,1.582635,,,,,,,,,,,,641e5374-a352-4fbd-a086-b5a55b6e2e47,41,,,"[3.5, 50.9]",69255,0,,,,,0.87154806,,Right Foot,,,,"[23.6, 74.8]",,High Pass,,31.228512,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Víctor Valdés Arribas,20176.0,Goalkeeper,2,Málaga,223,"['12e4e78f-6efd-468f-b6ad-154fcc898850', '929f13ef-1645-46ad-ac1c-1747a1b814f6']",27,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.155,Pass,,2009/2010
,,,,,,,,,,,,,,,1.0517,,,,,,,,,,,,84d46f01-6efd-49fc-9204-0941368dadcc,46,,,"[110.2, 2.8]",69255,0,,,,,-3.1290147,,Right Foot,,,,"[94.3, 2.6]",,Ground Pass,,15.9012575,,,,Manuel Torres Caturla,26679.0,,,,,,1,From Kick Off,Juan Jesús Gutiérrez Robles,25883.0,Right Defensive Midfield,2,Málaga,223,['0c9d8d55-3902-43b7-a0ed-7ab45a639bb2'],33,,,,,,,,,,,,,,,,Málaga,223,00:00:33.320,Pass,,2009/2010
,,,,,,,,,,,,,,,1.0243,,,,,,,,,,,,d169423e-08ac-4675-9155-d0cd5101ea53,49,,,"[94.3, 2.6]",69255,0,,,,,1.0861361,,Left Foot,,,,"[106.2, 25.2]",,High Pass,,25.541534,,Incomplete,,Nabil Baha,26670.0,,,,,,1,From Kick Off,Manuel Torres Caturla,26679.0,Left Back,2,Málaga,223,"['3887686f-6c1a-4c8a-852b-a94951ff745d', '9da7f842-e4c8-41ac-b140-cb01bb01268e']",34,,,,,,,,,,,,,,,,Málaga,223,00:00:34.412,Pass,,2009/2010
,,,,,,,,,,,,,,,1.482,,,,,,,,,,,,0276f89b-6a58-434d-b795-3056835103ba,52,,,"[47.3, 55.2]",69255,0,,,,,0.68461716,,Right Foot,,,,"[57.1, 63.2]",,High Pass,,12.650692,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Thierry Henry,15516.0,Center Forward,2,Málaga,223,['1083c2e5-a9d7-4573-9f4c-85717581ca86'],37,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.548,Pass,,2009/2010
,,,,,,,,,,,,,,,0.314887,,,,,,,,,,,,b8bc02e0-6133-4c85-ac54-9c650e3fb3d9,57,,,"[88.4, 44.9]",69255,0,,,,,-1.3681377,,Left Foot,,,,"[89.9, 37.6]",,Ground Pass,,7.4525166,,,,Victor Obinna Nsofor,26678.0,,,,,Recovery,1,From Kick Off,Jesús Gámez Duarte,4788.0,Right Back,2,Málaga,223,"['dbe9282f-e716-4e00-878a-72e1021ff392', 'e5ae546d-e7cf-486d-b7a9-86481cfcb066']",45,,,,,,,,,,,,,,,,Málaga,223,00:00:45.030,Pass,True,2009/2010
,,,,,,,,,,,,,,,1.2992,,,,,,,,,,,,898f3832-47bf-4823-bdc5-f1e47d99c11e,60,,,"[89.5, 36.4]",69255,0,,,,,1.6039596,1adc649b-50aa-4813-bf97-34236b3900f4,Right Foot,,,,"[88.8, 57.5]",,Ground Pass,,21.111609,,,,Nabil Baha,26670.0,True,,,,,1,From Kick Off,Victor Obinna Nsofor,26678.0,Center Forward,2,Málaga,223,['b4e040ce-bad1-4fed-9366-cf10bee6d549'],45,,,,,,,,,,,,,,,,Málaga,223,00:00:45.802,Pass,,2009/2010
