ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.3059,,,,,,,,,,,,,65a7a7ac-9e53-4d47-b211-0371b80f7e96,17,,"[16.1, 21.8]",70283,0,,,,,-0.022136604,,Head,,,"[43.2, 21.2]",,High Pass,27.106642,,Incomplete,,Neymar da Silva Santos Junior,4320.0,,,,,Recovery,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Espanyol,214,"['3ba50b1b-5a1a-486b-984a-0f625746e1a1', '94558296-7f24-4edb-bf7a-c1df4b9b3bd4', 'c7d83b8e-faeb-4bc8-8295-619cd1e23953']",30,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.571,Pass,,2013/2014
,,,,,,,,,,,,,,,,2.0517,,,,,,,,,,,,,c7d83b8e-faeb-4bc8-8295-619cd1e23953,20,,"[77.8, 59.8]",70283,0,,,,True,-1.2044656,,,,,"[83.9, 43.9]",,High Pass,17.029974,,Incomplete,,Víctor Sánchez Mata,6758.0,,,,,Recovery,1,From Throw In,David López Silva,6754.0,Center Defensive Midfield,3,Espanyol,214,"['0fb38ec9-f815-48ec-8676-84b752c341f3', '65a7a7ac-9e53-4d47-b211-0371b80f7e96', '820ac48c-a493-4bcb-9214-d4752fb2ebe2', 'd37067d8-dbd8-4532-a0de-d44e7f239bb4']",32,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:32.877,Pass,True,2013/2014
,,,,,,,,,,,,,,,,0.9719,,,,,,,,,,,,,d37067d8-dbd8-4532-a0de-d44e7f239bb4,22,,"[37.1, 37.1]",70283,0,,,,,-0.3770876,,Head,,,"[47.2, 33.1]",,Low Pass,10.863241,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Recovery,1,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,4,Barcelona,217,"['3dceffb8-111a-4817-8a33-10496ad70277', 'c7d83b8e-faeb-4bc8-8295-619cd1e23953']",34,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.929,Pass,,2013/2014
,,,,,,,,,,,,,,,,3.2439,,,,,,,,,,,,,cb8b45ef-bc16-450a-a2ec-f5103158bab1,26,,"[47.4, 35.0]",70283,0,,,,,1.7103515,,Left Foot,,,"[43.2, 64.9]",,High Pass,30.193542,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,4,Barcelona,217,"['8e098928-c675-4b72-8b5d-615b88e6121c', 'e7345a93-be43-4ebe-9a91-dfd3c3575465']",36,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.399,Pass,True,2013/2014
,,,,,,,,,,,,,,,,1.6393,,,,,,,,,,,,,05c29b29-aa3f-4b32-8109-8b5da72ef801,30,,"[44.9, 68.0]",70283,0,,,,,-2.4864867,,Left Foot,,,"[28.5, 55.4]",,Ground Pass,20.681393,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['8bc0bf53-600d-4fa6-95d5-74009cd0a48c'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.962,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.0531,,,,,,,,,,,,,bffb4c26-ab72-43ff-be82-f236d9530ce3,33,,"[37.1, 54.8]",70283,0,,,,,0.41475692,,Right Foot,,,"[50.5, 60.7]",,Ground Pass,14.641379,,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['c71e9115-5a21-4698-a953-f9b4795ce6af'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.494,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.6868,,,,,,,,,,,,,9437097d-0b81-441c-baa2-6b8fd83fbef1,37,,"[62.9, 40.5]",70283,0,,,,,-1.5196362,,Right Foot,,,"[64.6, 7.3]",,Ground Pass,33.243496,,,,Martín Montoya Torralbo,6593.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,4,Barcelona,217,"['552f5dab-d961-41e8-a1f3-c0ee5dcf505d', '64566e1e-eb1c-4748-8a13-a23fdd4e0a15']",51,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.729,Pass,True,2013/2014
,,,,,,,,,,,,,,,,1.708402,,,,,,,,,,,,,75f31530-8139-47f1-9086-258afc4f9916,40,,"[64.6, 7.3]",70283,0,,,,,2.026358,,Left Foot,,,"[57.3, 22.2]",,Ground Pass,16.592167,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Martín Montoya Torralbo,6593.0,Left Back,4,Barcelona,217,['632487c2-ddda-4c1d-8e19-08c76c5f0612'],54,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.555,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.921,,,,,,,,,,,,,de84eca1-4e5e-421a-b854-a2da0768bb07,43,,"[56.4, 25.2]",70283,0,,,,,1.4099464,,Right Foot,,,"[61.3, 55.4]",,Ground Pass,30.594934,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['3e72d951-e23d-4162-8c33-2b39268c2c1a'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.536,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.126719,,,,,,,,,,,,,38961aac-d110-4903-9492-d83b39329372,46,,"[65.3, 57.7]",70283,1,,,,,0.8670873,,Right Foot,,,"[81.0, 76.2]",,Ground Pass,24.263966,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['fa2bbb9e-8d0e-4e2a-bef5-7bb1f0055633'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.172,Pass,,2013/2014
