bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bfff84ec-168e-4fe6-a8d4-dc1b66fb5b73,1,,,,3825660,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6616, 'name': 'Munir El Haddadi Mohamed'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,44be95b2-6799-4864-a60b-8886397359fd,2,,,,3825660,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 3379, 'name': 'Alphonse Areola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6827, 'name': 'Daniele Bonera'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6828, 'name': 'Jaume Vicent Costa Jordá'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6829, 'name': 'Samuel Castillejo Azuaga'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6357, 'name': 'Jonathan dos Santos Ramírez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Villarreal,222,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8eb070a8-182c-4312-a8e5-6736587d0f25,3,,,,3825660,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['05bfc29c-96d0-4df5-9dd4-bb5f8a9fdbb5'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,05bfc29c-96d0-4df5-9dd4-bb5f8a9fdbb5,4,,,,3825660,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['8eb070a8-182c-4312-a8e5-6736587d0f25'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,830c42cb-50b9-4ac6-8299-923cb6f49fb8,1831,,,,3825660,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,96,Barcelona,217,['b983f3aa-182c-416b-81cf-9e2d21b565de'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b983f3aa-182c-416b-81cf-9e2d21b565de,1832,,,,3825660,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,96,Barcelona,217,['830c42cb-50b9-4ac6-8299-923cb6f49fb8'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.514528,,,,,,,,,,,,,,,79df2e38-1116-4691-a05e-9eed66ae8166,5,,,"[60.0, 40.0]",3825660,0,,True,,,1.359703,,Left Foot,,,"[60.3, 41.4]",,Ground Pass,,1.4317821,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,Kick Off,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['c3bbe711-fe26-4fd3-8043-152c97dbb441'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.495,Pass,,2015/2016
,,,,,,,,,,,,,,,1.347026,,,,,,,,,,,,,,,87744661-036b-4fca-8cab-fb8249947ca6,7,,,"[61.3, 41.0]",3825660,0,,True,,,-2.8643093,,Right Foot,,,"[48.3, 37.3]",,Ground Pass,,13.516287,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['1b4332cc-dde3-41ce-b281-84747d9de041'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.009,Pass,,2015/2016
,,,,,,,,,,,,,,,0.990257,,,,,,,,,,,,,,,83724bec-9f29-4a59-ad8e-aaceb3349a4c,9,,,"[50.6, 37.5]",3825660,0,,,,,-0.845156,,Right Foot,,,"[56.1, 31.3]",,Ground Pass,,8.287943,,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['a9d049b2-11df-4777-b484-a8c4c0fd6046'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.260,Pass,,2015/2016
,,,,,,,,,,,,,,,1.743705,,,,,,,,,,,,,,,d903d5df-ef0a-440b-a844-46c3bf682a19,11,,,"[56.1, 31.3]",3825660,0,,,,,-2.1804562,,Right Foot,,,"[47.3, 18.7]",,Ground Pass,,15.368799,,,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['04c116a3-3723-4f35-8705-bef67e9dd8af'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.250,Pass,,2015/2016
