bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bf7f521e-3ec2-4fd3-a4e6-1f2866b4b72e,1,,,267569,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5202, 'name': 'José Ignacio Fernández Iglesias'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a55ff06f-f140-4e8d-9d74-2e48f6152927,2,,,267569,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Barcelona,217,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,aef8c50d-2d8a-4cc2-bc91-9efc2207c81f,3,,,267569,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['85867710-4b46-4165-a519-1d81cfb3e835'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,85867710-4b46-4165-a519-1d81cfb3e835,4,,,267569,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['aef8c50d-2d8a-4cc2-bc91-9efc2207c81f'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,089afd77-bc29-4498-bf70-5aa17724342a,1971,,,267569,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,87,Barcelona,217,['53a115a9-b138-4328-a806-d5d3b35a6ee1'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,53a115a9-b138-4328-a806-d5d3b35a6ee1,1972,,,267569,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,87,Barcelona,217,['089afd77-bc29-4498-bf70-5aa17724342a'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,1.1761,,,,,,,,,,,,20ba3425-62ee-4ffe-86d1-1957fc1a96c0,5,,"[60.0, 40.0]",267569,0,,,,,-2.4586384,,Right Foot,,,"[48.2, 30.4]",,Ground Pass,,15.211838,,,,Toni Kroos,5574.0,,,,,Kick Off,1,From Kick Off,Karim Benzema,19677.0,Center Forward,2,Real Madrid,220,['32cc9776-c6a2-4c2b-aca6-5fb5b5a48537'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.612,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.5018,,,,,,,,,,,,834e6d5d-8553-44dc-9981-422d41e76c08,8,,"[51.5, 31.6]",267569,0,,,,,1.5806482,,Left Foot,,,"[51.3, 51.9]",,Ground Pass,,20.300985,,,,Luka Modrić,5463.0,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Center Midfield,2,Real Madrid,220,['4a08eddc-f6b8-4ac2-9aa4-81b4131ded9d'],4,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:04.328,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.4146,,,,,,,,,,,,4c8be9c8-255e-4647-96a3-41cc5800aa59,11,,"[64.8, 58.4]",267569,0,,,,,2.0220606,,Right Foot,,,"[58.5, 71.4]",,Ground Pass,,14.446107,,,,Daniel Carvajal Ramos,5721.0,,,,,,1,From Kick Off,Luka Modrić,5463.0,Right Center Midfield,2,Real Madrid,220,['c766c8eb-d913-4572-8162-ab8f1929cd6a'],8,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:08.209,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.630501,,,,,,,,,,,,21f531d8-96a5-46aa-a189-12fa89487881,15,,"[49.4, 67.3]",267569,0,,,,,-2.283154,,Right Foot,,,"[32.3, 47.5]",,Ground Pass,,26.161995,,,,José Ignacio Fernández Iglesias,5202.0,,,,,,1,From Kick Off,Daniel Carvajal Ramos,5721.0,Right Back,2,Real Madrid,220,"['0dc8c15c-7458-4ff5-9405-37aca71753e3', 'a68b8a14-a802-46de-a5df-9580f8b1bffc']",11,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:11.157,Pass,True,2016/2017
