bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.842453,,,,,,,,,,,,,db1c203b-eb97-49fa-9766-a8bcd7bd9f7e,17,,"[24.9, 53.2]",68351,0,,,,,-1.5293107,,Right Foot,,,"[26.0, 26.7]",,Ground Pass,,26.52282,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,['a1ea595d-0cd3-470d-8c09-c9c45171c859'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.937,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.979888,,,,,,,,,,,,,8b59c327-a2c2-40cc-9ef1-dfcb2f4cdbf1,20,,"[33.1, 27.5]",68351,0,,,,,1.3847992,,Left Foot,,,"[36.6, 46.1]",,Ground Pass,,18.926437,,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['1428ccc3-7dc7-4536-98d8-80c210eddaf1'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.496,Pass,,2005/2006
,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,,,852e8c28-2cbc-43fd-b669-4b3c632c16d4,23,,"[37.9, 51.8]",68351,0,,,,,-1.4515492,,Right Foot,,,"[40.5, 30.1]",,Ground Pass,,21.855206,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,['2c97ef5b-739a-439a-a5d8-f8c1870a6ee6'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.824,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.64,,,,,,,,,,,,,a258e202-5396-4adb-a30f-51914d57b24a,26,,"[40.2, 30.6]",68351,0,,,,,-1.3624122,,Right Foot,,,"[45.0, 7.9]",,Ground Pass,,23.201939,,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['aeb6fe28-091a-45e5-93d2-8622516f9ea4'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.984,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,1c17c986-7668-4380-a7e3-d937505d2132,29,,"[45.0, 10.5]",68351,0,,,,,2.0027087,,Left Foot,,,"[39.1, 23.3]",,High Pass,,14.094325,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Sylvio Mendes Campos Junior,25854.0,Left Back,2,Barcelona,217,['beca5f1e-0560-4fbe-97bf-a480a8abdd93'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.744,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.64,,,,,,,,,,,,,dc95f614-e5b7-458e-877a-03ffbba36f37,32,,"[32.9, 26.1]",68351,0,,,,,1.6200522,,Right Foot,,,"[31.5, 54.5]",,Low Pass,,28.434486,,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['406c0fe5-012c-4b48-9dcd-5a7beaabf657'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.184,Pass,,2005/2006
,,,,,,,,,,,,,,,,2.56,,,,,,,,,,,,,2eb015a9-6daa-4ce0-8e51-cb77cc7c8f6b,35,,"[30.3, 55.1]",68351,0,,,,,-1.1009665,,Right Foot,,,"[43.4, 29.3]",,Ground Pass,,28.935272,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,['cd88cbb1-6342-41b8-97b3-743353a89b06'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.464,Pass,,2005/2006
,,,,,,,,,,,,,,,,2.04,,,,,,,,,,,,,45408a9f-9755-4f43-b910-45bb0bd2dd6f,38,,"[45.6, 26.1]",68351,0,,,,,1.6971685,,Left Foot,,,"[42.5, 50.5]",,Ground Pass,,24.596138,,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['eb410186-5ede-40e5-b965-bb4c2fa243e5'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.464,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,24fd0128-6ae5-4ca0-bb1b-4743ea21ae62,41,,"[49.6, 60.3]",68351,0,,,,,-1.8070416,,Right Foot,,,"[43.1, 33.3]",,Ground Pass,,27.771389,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,['fbe87078-1779-452b-9af4-07bf1abfea73'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.332,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.72,,,,,,,,,,,,,74331079-838e-4719-9eba-3c7aeff64f16,44,,"[47.9, 25.8]",68351,0,,,,,2.118148,,Left Foot,,,"[37.6, 42.7]",,Ground Pass,,19.791412,,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['b28edfa7-aec7-425b-b972-6ac0b40229f7'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.575,Pass,,2005/2006
