bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.12,,,,,,,,,,,,,00ef1c68-02e0-43cb-92dc-59e390177dbc,17,,,"[111.7, 80.0]",69338,0,,,,-1.2681518,,,,,,"[119.1, 56.3]",High Pass,,24.828411,,Out,,Xavier Hernández Creus,20131.0,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Wing Back,3,Barcelona,217,['57d98e32-c895-49e1-966c-7239d62c0e96'],21,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.625,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.153621,,,,,,,,,,,,,3b50146a-ede9-4c34-81fd-e13d11670736,19,,,"[7.0, 45.0]",69338,0,,,,1.2760662,,Right Foot,,,,"[12.1, 61.8]",Ground Pass,,17.55705,,,,Ángel Domingo López Ruano,25984.0,,,,,Goal Kick,1,From Goal Kick,Diego López Rodríguez,6768.0,Goalkeeper,4,Villarreal,222,['b1261a3b-7729-42c8-a1a2-f8f5fdd0356e'],30,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:30.452,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.2153,,,,,,,,,,,,,fc65a051-389a-4606-95cb-368e5a85eeee,22,,,"[13.0, 67.5]",69338,0,,,,-0.16586296,,Left Foot,,,,"[35.7, 63.7]",Ground Pass,,23.015863,,,,Marcos Antonio Senna da Silva,20135.0,,,,,,1,From Goal Kick,Ángel Domingo López Ruano,25984.0,Right Back,4,Villarreal,222,['bc8c9e95-2bf3-4791-bb64-c2c17f492fbf'],34,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:34.366,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.782177,,,,,,,,,,,,,76a77b2f-cd89-488a-9f5c-ed30339c2200,26,,,"[34.2, 63.9]",69338,0,,,,0.9215371,,Right Foot,,,,"[46.8, 80.5]",High Pass,,20.840345,,Out,,Rubén Gracia Calmache,25921.0,,,,,,1,From Goal Kick,Marcos Antonio Senna da Silva,20135.0,Left Defensive Midfield,4,Villarreal,222,"['2a857f7b-50a4-45ee-bc34-7fc32804063a', '77dc6da6-032b-4d91-b67d-4bf545fef1e8']",35,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:35.631,Pass,True,2011/2012
,,,,,,,,,,,,,,,,1.9749,,,,,,,,,,,,,5b7137d2-cd1c-4df1-8829-58b6a23c5c80,28,,,"[66.3, 1.0]",69338,0,,,,1.6250561,,,,,,"[64.6, 32.3]",High Pass,,31.346132,,,,Sergio Busquets i Burgos,5203.0,,,,,Throw-in,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,5,Barcelona,217,['a9252072-7503-4066-8a8f-0fb8b684a5d6'],43,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.090,Pass,,2011/2012
,,,,,,,,,,,,,,,,2.346062,,,,,,,,,,,,,f90b9c3a-ac76-4bca-93af-f834aaa4e986,31,,,"[62.9, 31.0]",69338,0,,,,3.101966,,Head,,,,"[40.2, 31.9]",Low Pass,,22.717834,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Right Center Midfield,5,Barcelona,217,"['a1f63478-c8da-44bb-9116-36af51810cc4', 'a61a36dd-2c36-47d7-8a63-a23d27fce4ea']",45,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.065,Pass,True,2011/2012
,,,,,,,,,,,,,,,,2.30931,,,,,,,,,,,,,bbb2b1d7-087c-4386-b83c-5bfdea36e957,34,,,"[40.2, 33.3]",69338,0,,,,1.2859055,,Right Foot,,,,"[48.4, 61.3]",Ground Pass,,29.176018,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Center Back,5,Barcelona,217,['c6a2de86-840f-4adb-b237-0d803e25f1cb'],48,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.611,Pass,,2011/2012
,,,,,,,,,,,,,,,,3.137096,,,,,,,,,,,,,e249f850-2c7c-487f-8211-5a1377de9c40,37,,,"[64.2, 62.4]",69338,0,,,,-1.3614311,,Right Foot,,,,"[76.8, 3.1]",High Pass,,60.62384,,,,Adriano Correia Claro,22102.0,,True,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Right Center Back,5,Barcelona,217,['79b57941-cf0f-4997-9669-ab4a32951d60'],55,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.289,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.573925,,,,,,,,,,,,,e0626ac1-e0f4-40e5-a50e-002a083e8755,40,,,"[76.4, 3.1]",69338,1,,,,2.2967744,,Left Foot,,,,"[59.8, 21.8]",Ground Pass,,25.005,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Throw In,Adriano Correia Claro,22102.0,Left Wing Back,5,Barcelona,217,['eb93d522-2154-478b-a312-08f1240faacd'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.060,Pass,,2011/2012
,,,,,,,,,,,,,,,,2.02917,,,,,,,,,,,,,abf01335-1c81-477b-8270-515f833c8a01,44,,,"[57.1, 26.8]",69338,1,,,,2.3274255,,Right Foot,,,,"[43.6, 41.1]",Ground Pass,,19.665707,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,5,Barcelona,217,['89791d8c-5d3d-4a2a-8ed4-fcffedef04bf'],2,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.543,Pass,,2011/2012
