ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.9385,,,,,,,,,,,e46e2464-9076-43a4-9d53-46e9bb33a4fc,17,,"[36.0, 4.0]",15998,0,,,,,2.4578834,,Right Foot,,"[9.0, 26.0]",,Ground Pass,,34.828148,,,,Marc-André ter Stegen,20055.0,,,,,Recovery,1,Regular Play,Thomas Vermaelen,6332.0,Left Back,3,Barcelona,217,"['2d6ed89f-819c-4e02-a6cc-27de67d45223', '3b9bc8ce-afd5-4a08-be9f-1d646bd51cec']",15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.545,Pass,,2018/2019
,,,,,,,,,,,,,,,,2.3488,,,,,,,,,,,8e6f04c8-405e-4201-9fa6-f91292b792a2,21,,"[9.0, 33.0]",15998,0,,,,,1.1071488,,Right Foot,,"[28.0, 71.0]",,High Pass,,42.48529,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,3,Barcelona,217,['ed5373e5-8cf0-4dbb-9fd4-c4e3dc4f345c'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.541,Pass,,2018/2019
,,,,,,,,,,,,,,,,2.0574,,,,,,,,,,,c044a020-8d1c-4969-a213-a693827748f3,25,,"[28.0, 73.0]",15998,0,,,,,-2.768605,,Right Foot,,"[5.0, 64.0]",,Ground Pass,,24.698177,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,['e36ef596-6038-4dfd-9553-6dae2d01557f'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.935,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.1677,,,,,,,,,,,84e6de32-48e4-46f9-a5b6-1ac44bf4223f,29,,"[4.0, 67.0]",15998,0,,,,,-1.5232133,,Right Foot,,"[5.0, 46.0]",,Ground Pass,,21.023796,,,,Marc-André ter Stegen,20055.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['127ded40-bab1-46c8-883c-402688a3d0cf'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.452,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.852901,,,,,,,,,,,17469eae-16e3-4540-9828-1b513cb07d34,33,,"[5.0, 44.0]",15998,0,,,,,-1.4559197,,Right Foot,,"[8.0, 18.0]",,Ground Pass,,26.172504,,,,Samuel Yves Umtiti,5492.0,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,3,Barcelona,217,['f4ec4886-7bdc-4628-8778-805f0d019d70'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.938,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.2482,,,,,,,,,,,ee091082-66f4-4e5b-bd79-513a09cb6e89,36,,"[8.0, 18.0]",15998,0,,,,,0.2536741,,Left Foot,,"[35.0, 25.0]",,Ground Pass,,27.89265,,,,Philippe Coutinho Correia,3501.0,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,['4bcf37a2-ce3c-4f8f-8579-9badca124edc'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.301,Pass,,2018/2019
,,,,,,,,,,,,,,,,2.1505,,,,,,,,,,,f88c0ee5-15df-4dd5-a85f-886ce1d01ed9,40,,"[26.0, 15.0]",15998,0,,,,,-0.12062367,,Right Foot,,"[59.0, 11.0]",,Ground Pass,,33.24154,,Incomplete,,Munir El Haddadi Mohamed,6616.0,,,,,,1,Regular Play,Philippe Coutinho Correia,3501.0,Left Center Midfield,3,Barcelona,217,"['6175c69c-6445-41e2-b679-2fd3f197702a', '8b95040e-6182-417b-92e7-aa8a9469beb1']",34,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.197,Pass,,2018/2019
,,,,,,,,,,,,,,,,2.1531,,,,,,,,,,,8b95040e-6182-417b-92e7-aa8a9469beb1,42,,"[62.0, 70.0]",15998,0,,,,,0.032246884,,Right Foot,,"[93.0, 71.0]",,High Pass,,31.016125,,Incomplete,,Nabil El Zhar,6608.0,,,,,Recovery,1,Regular Play,Unai Bustinza Martínez,6598.0,Center Back,3,Barcelona,217,"['1e286bdf-53b7-4047-87ca-2f5ae3b384c2', '666ddcec-4cc6-4985-bead-87f4bcec61be', 'f88c0ee5-15df-4dd5-a85f-886ce1d01ed9']",36,,,,,,,,,,,,,,,,,Leganés,205,00:00:36.348,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.0413,,,,,,,,,,,1e286bdf-53b7-4047-87ca-2f5ae3b384c2,44,,"[28.0, 10.0]",15998,0,,,,,1.815775,,Head,,"[26.0, 18.0]",,Low Pass,,8.246211,,,,Sergio Busquets i Burgos,5203.0,,,,,Recovery,1,Regular Play,Thomas Vermaelen,6332.0,Left Back,3,Barcelona,217,"['78ce8d9e-852c-48c4-bc7b-37db48c7ffad', '8b95040e-6182-417b-92e7-aa8a9469beb1']",38,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.501,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.732,,,,,,,,,,,215c34f4-6ace-4b67-9a14-891585834dcc,48,,"[28.0, 20.0]",15998,0,,,,,-2.9996955,,Right Foot,,"[21.0, 19.0]",,Ground Pass,,7.071068,,,,Samuel Yves Umtiti,5492.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,"['3c5ae9a2-a0bc-4ce0-9b22-9ca0192ebe34', '3ff580b6-22d6-410e-a91b-53d56333893e']",39,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.582,Pass,True,2018/2019
