ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.961838,,,,,,,,,,,,,cabbafc9-001d-4d94-be30-0488871c762c,18,,,"[23.5, 59.1]",303652,0,,,,,-2.2980323,,Right Foot,,,,"[4.9, 38.2]",,Ground Pass,,27.978027,,,,Norberto Murara Neto,6590.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['634784ac-eb44-4c41-8a96-f551f324c354', 'bf5467ea-56dd-49e6-afcd-2e3472ffd5df']",10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.944,Pass,True,2019/2020
,,,,,,,,,,,,,,,,1.781393,,,,,,,,,,,,,b8cd7c0b-5148-4c4d-84f1-f1ac393ef003,21,,,"[7.4, 34.8]",303652,0,,,,,-1.14609,,Right Foot,,,,"[14.5, 19.1]",,Ground Pass,,17.230787,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Norberto Murara Neto,6590.0,Goalkeeper,2,Barcelona,217,['99c6d81f-ec01-493f-81f0-8a5cd1032721'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.977,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.537937,,,,,,,,,,,,,02d5ffea-8ea7-430b-a62f-786e12bd8e93,24,,,"[27.5, 13.6]",303652,0,,,,,-0.7681585,,Right Foot,,,,"[33.4, 7.9]",,Ground Pass,,8.203658,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['4bb8f46b-37e7-48bc-9d70-cbe41a926b44'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.627,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.80291,,,,,,,,,,,,,3e5bf59b-31dc-4d5d-b39f-3696e39e4080,27,,,"[35.9, 6.0]",303652,0,,,,,-0.28290084,,Right Foot,,,,"[44.5, 3.5]",,Ground Pass,,8.956003,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Center Midfield,2,Barcelona,217,['509fe865-7d5c-4690-9190-fd80dcc94b0f'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.567,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.783044,,,,,,,,,,,,,57a20354-bba6-4565-b069-ace0f208932c,31,,,"[45.1, 1.4]",303652,0,,,,,3.040924,,Left Foot,,,,"[35.2, 2.4]",,Ground Pass,,9.9503765,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,"['79c35c2f-55bf-4d1a-a413-3f3d38982dc3', 'b65af473-b28c-422f-b80b-de8f4191c515']",22,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.517,Pass,True,2019/2020
,,,,,,,,,,,,,,,,1.183187,,,,,,,,,,,,,3ee2ae12-119e-4838-96a0-03aff1f7d53e,34,,,"[34.0, 3.0]",303652,0,,,,,2.2469962,,Right Foot,,,,"[20.6, 19.7]",,Ground Pass,,21.411446,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Center Midfield,2,Barcelona,217,['eeccdfdd-4023-46f8-b5ff-2705a59db456'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.434,Pass,,2019/2020
,,,,,,,,,,,,,,,,2.415706,,,,,,,,,,,,,07a2bf07-361c-48a3-83c8-4154e77a1592,38,,,"[21.9, 21.6]",303652,0,,,,,1.9047414,,Left Foot,,,,"[13.4, 46.1]",,Ground Pass,,25.932606,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,"['3f88ae2d-fe4b-4807-97c3-cbc5d8e847c7', 'd1e44abe-4056-4688-95da-4570379c3b8f']",26,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.560,Pass,True,2019/2020
,,,,,,,,,,,,,,,,1.785888,,,,,,,,,,,,,1b546ebb-edb0-486a-aa90-e69e4f4402ea,41,,,"[42.2, 50.1]",303652,0,,,,,-1.7960011,,Right Foot,,,,"[35.9, 22.6]",,Ground Pass,,28.212408,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['9992b255-8148-490e-9fce-363333cf2aa6'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.631,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.088873,,,,,,,,,,,,,e3afd992-595a-4146-beda-f655cf2b2399,44,,,"[41.2, 17.3]",303652,0,,,,,0.009345522,,Left Foot,,,,"[51.9, 17.4]",,Ground Pass,,10.700467,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['2ea5f338-56aa-48c1-a6a4-b7fde1ed1357'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.767,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.110764,,,,,,,,,,,,,9ba4eb7e-d793-4844-931a-3dda1cba257b,48,,,"[51.5, 18.0]",303652,0,,,,,1.1434231,,Right Foot,,,,"[56.1, 28.1]",,Ground Pass,,11.098198,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Center Midfield,2,Barcelona,217,"['4128e211-dc3d-4624-b512-d98a9cfe7a0a', '75146981-29a6-4b69-a4fc-4404862e0379']",42,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.736,Pass,True,2019/2020
