bad_behaviour_card,ball_receipt_outcome,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.65823,,,,,,,,,,,,,37ce34ca-2fbf-4912-926b-630bbca504a3,19,,"[28.5, 29.3]",303377,0,,,,,2.627748,,Left Foot,,,,"[12.2, 38.5]",,Ground Pass,,18.717104,,,Marc-André ter Stegen,20055.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,"['2f6b7cb6-8539-46a6-a4c4-f2e64bf24413', '307f4d38-2371-40e4-b02b-892326528df0']",12,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.325,Pass,True,2019/2020
,,,,,,,,,,,,,,,1.714569,,,,,,,,,,,,,d5355d4e-572c-462f-a22d-5c1a0e2a3269,22,,"[16.0, 39.6]",303377,0,,,,,-0.42220405,,Right Foot,,,,"[41.6, 28.1]",,Ground Pass,,28.06439,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,['f8e417c8-c0a0-430d-85a3-3a3d360b9636'],17,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.344,Pass,,2019/2020
,,,,,,,,,,,,,,,0.949789,,,,,,,,,,,,,6395c4bf-237b-49fa-af8a-d710c446de77,26,,"[36.3, 28.9]",303377,0,,,,,2.43219,,Right Foot,,,,"[25.7, 38.0]",,Ground Pass,,13.970325,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,2,Barcelona,217,"['4392c7e3-1c05-490a-9b7f-5f4ee50d1034', 'f085687b-d0ad-4552-9fd9-d7358721620f']",20,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.577,Pass,True,2019/2020
,,,,,,,,,,,,,,,1.71899,,,,,,,,,,,,,f01f2339-0dee-402c-9fa1-aed5421ea60e,30,,"[23.9, 37.7]",303377,0,,,,,2.9902172,,Right Foot,,,,"[6.2, 40.4]",,Ground Pass,,17.904749,,,Marc-André ter Stegen,20055.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,"['36c5769c-742b-4dac-9400-976ee054552b', 'fb077a25-9ab1-4be6-bd27-ae48b7389c86']",22,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.060,Pass,True,2019/2020
,,,,,,,,,,,,,,,1.643157,,,,,,,,,,,,,9d7f1b30-061e-44ca-9c89-94361a4b53d9,33,,"[16.2, 41.0]",303377,0,,,,,0.040793683,,Right Foot,,,,"[55.4, 42.6]",,Low Pass,,39.23264,,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,['0dc3d875-b6a1-4235-a792-1b20ce6839de'],29,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.248,Pass,,2019/2020
,,,,,,,,,,,,,,,1.2426,,,,,,,,,,,,,a4505d0a-3f3a-4bd2-ba6c-a63894d87473,36,,"[55.2, 42.8]",303377,0,,,,,-2.6894388,,Left Foot,,,,"[48.2, 39.4]",,Low Pass,,7.7820306,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,From Kick Off,Antoine Griezmann,5487.0,Center Forward,2,Barcelona,217,['228bca22-582c-42d7-b461-a0604b9df493'],30,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.931,Pass,,2019/2020
,,,,,,,,,,,,,,,2.885314,,,,,,,,,,,,,d04a7dfc-12f9-4fd6-98ec-069a1118f9f0,40,,"[48.1, 38.6]",303377,0,,,,,1.7423224,,Right Foot,,,,"[43.7, 64.0]",,High Pass,,25.778286,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,2,Barcelona,217,['8557c08b-7c87-44ff-b66e-c515bf64c523'],32,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.254,Pass,,2019/2020
,,,,,,,,,,,,,,,1.097777,,,,,,,,,,,,,73afcb41-6c48-4759-9f28-ce34349f14ed,43,,"[44.3, 65.3]",303377,0,,,,,-1.0284936,,Head,,,,"[49.0, 57.5]",,Low Pass,,9.106591,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,"['94ebcf69-886b-4403-a342-38d91b9785b7', 'e0e50533-36c7-4de3-b444-260f81a0772a']",35,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.179,Pass,True,2019/2020
,,,,,,,,,,,,,,,2.813645,,,,,,,,,,,,,7911a782-8b04-4d65-886c-9b7d29927783,49,,"[64.1, 13.9]",303377,1,,,,,1.1326157,,Left Foot,,,,"[87.2, 63.2]",,High Pass,,54.44355,Incomplete,,Allan Romeo Nyom,3991.0,,True,,,Free Kick,1,From Free Kick,Xabier Etxeita Gorritxategi,6788.0,Left Center Back,3,Getafe,216,"['34198bd5-8cbd-4fbf-98ba-9ac06f27698d', '75666c2e-67dd-4a08-b7d8-8c6a6845acac']",3,,,,,,,,,,,,,,,,Getafe,216,00:01:03.431,Pass,,2019/2020
,,,,,,,,,,,,,,,3.610752,,,,,,,,,,,,,75666c2e-67dd-4a08-b7d8-8c6a6845acac,52,,"[32.9, 16.9]",303377,1,,,,True,-0.6086893,,,,,,"[56.0, 0.8]",,High Pass,,28.157059,Out,,Antoine Griezmann,5487.0,,,,,Recovery,1,From Free Kick,Anssumane Fati,30756.0,Left Wing,3,Getafe,216,"['765a221b-359b-40fc-8f1d-a3d0576cf4ac', '7911a782-8b04-4d65-886c-9b7d29927783', 'e4c85da8-0ea1-4ea9-bde1-9d7369b7632e']",6,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.245,Pass,True,2019/2020
,,,,,,,,,,,,,,,1.517066,,,,,,,,,,,,,9cb675ec-9a0b-42d4-80f5-5a3903ced594,54,,"[76.1, 80.0]",303377,1,,,,,-0.36826593,,,,,,"[94.5, 72.9]",,High Pass,,19.722322,,,Oghenekaro Etebo,5466.0,,,,,Throw-in,1,From Throw In,Allan Romeo Nyom,3991.0,Right Back,4,Getafe,216,['857f0a35-9b7d-4589-ad9d-c44c9fd50b65'],19,,,,,,,,,,,,,,,,Getafe,216,00:01:19.640,Pass,,2019/2020
,,,,,,,,,,,,,,,2.099103,,,,,,,,,,,,,65b98629-66b4-4f2d-b64f-ce1ec35ff8d7,58,,"[27.5, 5.0]",303377,1,,,,,1.308103,,Left Foot,,,,"[30.7, 16.9]",,High Pass,,12.322743,Unknown,,Sergio Busquets i Burgos,5203.0,,,,,Recovery,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,4,Getafe,216,['189f077a-d7d2-422b-a1b4-66a99551ffa2'],21,,,,,,,,,,,,,,,,Barcelona,217,00:01:21.801,Pass,,2019/2020
