ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,40b70c59-0116-47e4-a5e6-c2150d3c9646,1,,,69226,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26653, 'name': 'José Manuel Flores Moreno'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 26238, 'name': 'Domingo Cisma González'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 26494, 'name': 'Hernán Darío Pellerano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 26440, 'name': 'Juan Manuel Ortiz Palazón'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 17}, {'player': {'id': 26650, 'name': 'Guilherme Oliveira Santos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 26651, 'name': 'Hernán Darío Bernardello'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 26648, 'name': ""Modeste M''bami""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 26435, 'name': 'Fernando Soriano Marco'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 26437, 'name': 'Albert Crusat Domene'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 8}, {'player': {'id': 6763, 'name': 'Pablo Daniel Piatti'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Almería,403,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5c0edebf-b412-457f-a519-f5fcea80d0a6,2,,,69226,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ec2f7ad8-4bd0-44d2-a49d-c24e6ff18fa5,3,,,69226,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,['fdcb7aa4-65e2-4fdc-b188-e6d9dedbc2fa'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fdcb7aa4-65e2-4fdc-b188-e6d9dedbc2fa,4,,,69226,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,['ec2f7ad8-4bd0-44d2-a49d-c24e6ff18fa5'],0,,,,,,,,,,,,,,,,,Almería,403,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b3f7cde4-4425-407f-85c7-a04fa67744fb,1885,,,69226,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,83,Barcelona,217,['f22f5fe1-43f4-4351-9769-36589e596d98'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f22f5fe1-43f4-4351-9769-36589e596d98,1886,,,69226,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,83,Barcelona,217,['b3f7cde4-4425-407f-85c7-a04fa67744fb'],0,,,,,,,,,,,,,,,,,Almería,403,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,0.747868,,,,,,,,,,,,,899a9f10-32a5-4803-9007-9eed2c30f722,5,,"[61.0, 41.0]",69226,0,,True,,,-1.815775,,Left Foot,,,,"[60.4, 38.6]",,Ground Pass,,2.4738634,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Kick Off,1,From Kick Off,Zlatan Ibrahimović,3672.0,Center Forward,2,Barcelona,217,['77657f48-fa89-4082-95b6-113d68297724'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.879,Pass,,2009/2010
,,,,,,,,,,,,,,,,0.772809,,,,,,,,,,,,,de096c44-005c-4030-a83a-266cbeb05f77,7,,"[61.8, 38.0]",69226,0,,,,,2.7976236,,Left Foot,,,,"[48.4, 42.8]",,Ground Pass,,14.233763,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['803328f2-af76-4dc7-aed4-2366f5495678'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.690,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.37289,,,,,,,,,,,,,bf2f5469-ed3c-4a97-9020-42d06cd55622,11,,"[44.6, 46.0]",69226,0,,,,,-2.1049788,,Right Foot,,,,"[32.0, 24.7]",,Ground Pass,,24.747726,,,,Gabriel Alejandro Milito,25919.0,,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,"['780b842a-d49c-4170-9ad3-84880444ffe5', 'dabf0596-e632-4309-b8f3-1e66c01ff2e7']",3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.457,Pass,True,2009/2010
,,,,,,,,,,,,,,,,2.4256,,,,,,,,,,,,,d240b30a-2664-40dd-97e0-f9f80f40d4e9,20,,"[45.7, 19.3]",69226,0,,,,,-0.25803402,,Left Foot,,,,"[94.2, 6.5]",,High Pass,,50.16064,,Incomplete,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,"['380e15e2-8e50-49de-b228-32629b6c6519', 'e633ddb2-3e89-4e7a-956e-5ae836f9fd3c']",9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.565,Pass,,2009/2010
