50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,97018d01-bf42-4cac-a2fd-d22bf20b21fe,1,,,9642,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6376, 'name': 'Stefan Savić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 6}, {'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 6377, 'name': 'Ángel Martín Correa'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Atlético Madrid,212,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f8eda531-2671-4b37-b348-4a851a56e921,2,,,9642,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,eaef45a1-db7c-4f32-b86a-5859fd7528fd,3,,,9642,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['578f73ce-8fe1-4edf-8d48-0e3cf8482625'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,578f73ce-8fe1-4edf-8d48-0e3cf8482625,4,,,9642,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['eaef45a1-db7c-4f32-b86a-5859fd7528fd'],0,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5d754249-888b-4e88-b813-c33695185cc5,2075,,,9642,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,73,Atlético Madrid,212,['30300c2c-96fd-4d7b-9fdd-713248561603'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,30300c2c-96fd-4d7b-9fdd-713248561603,2076,,,9642,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,73,Atlético Madrid,212,['5d754249-888b-4e88-b813-c33695185cc5'],0,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,0.97716,,,,,,,,,,,,,959a8723-eb57-4dcb-b415-e68a9a57d850,5,,"[60.0, 40.0]",9642,0,,,,-3.0070717,,Right Foot,,,"[46.7, 38.2]",,Ground Pass,13.421252,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,2,Barcelona,217,['2c25e979-3832-4479-b12d-17745ddfb5de'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.342,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.811792,,,,,,,,,,,,,5590ec11-3bae-45c9-afd9-d5e605d0b291,8,,"[44.8, 39.3]",9642,0,,,,1.6942784,,Right Foot,,,"[41.3, 67.5]",,Ground Pass,28.416368,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,2,Barcelona,217,['7574dfa6-57d7-452b-b12f-8ce948949185'],2,,,,,,,,,,,,,,,Barcelona,217,00:00:02.350,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.11414,,,,,,,,,,,,,4d354078-3850-4ed2-967c-667361e60a86,11,,"[41.3, 67.5]",9642,0,,,,0.5337082,,Right Foot,,,"[50.1, 72.7]",,Ground Pass,10.221546,,,,André Filipe Tavares Gomes,10802.0,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,Right Back,2,Barcelona,217,['5f7f7ea3-6c1f-4bb5-9e8e-d4c25d7a574c'],4,,,,,,,,,,,,,,,Barcelona,217,00:00:04.936,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,0.862246,,,,,,,,,,,,,fb6436db-0f01-4b8c-b280-c17e5b93fe2d,13,,"[50.1, 72.7]",9642,0,,,,-2.694518,,Right Foot,,,"[42.8, 69.2]",,Ground Pass,8.095678,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Kick Off,André Filipe Tavares Gomes,10802.0,Right Midfield,2,Barcelona,217,['205428ab-b2f3-47f0-a1aa-6b62fe238a37'],6,,,,,,,,,,,,,,,Barcelona,217,00:00:06.050,Pass,,2017/2018
