ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.294617,,,,,,,,,,,,,,5e3fc8a8-3ccd-4c8e-82d4-5113c638c721,14,,,"[89.1, 63.4]",3773661,0,,,,2.158799,,Head,,,,"[83.3, 72.1]",,Low Pass,,10.456099,,,Damián Nicolás Suárez Suárez,6627.0,,,,,Recovery,1,From Kick Off,Carles Aleña Castillo,13599.0,Right Center Midfield,2,Getafe,216,"['262593ee-3553-4b76-869f-44514eae9a17', '68d01136-4566-466e-9dfe-00197401c546']",8,,,,,,,,,,,,,,,,,Getafe,216,00:00:08.339,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.09378,,,,,,,,,,,,,,cd13f9e0-902c-4b03-8984-7c1c851d361e,16,,,"[83.3, 72.1]",3773661,0,,,,-0.71217024,,Right Foot,,,,"[97.2, 60.1]",,High Pass,,18.36328,Incomplete,,,,,,,,,1,From Kick Off,Damián Nicolás Suárez Suárez,6627.0,Right Back,2,Getafe,216,['10015702-f405-469f-bec8-5e5dd2e3a9dd'],9,,,,,,,,,,,,,,,,,Getafe,216,00:00:09.634,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.57866,,,,,,,,,,,,,,10015702-f405-469f-bec8-5e5dd2e3a9dd,17,,,"[22.9, 20.0]",3773661,0,,,,-0.24192058,,Head,,,,"[30.6, 18.1]",,Low Pass,,7.930952,Incomplete,,Pedro González López,30486.0,,,,,Recovery,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Getafe,216,"['6c72bfa1-adda-4353-8d99-05cea06fad88', '8f97b18a-b35e-4cc5-aaeb-c8f383b0c312', 'cd13f9e0-902c-4b03-8984-7c1c851d361e']",10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.728,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.632267,,,,,,,,,,,,,,894a5c5a-e83a-4ebf-83f0-c81ec9f19105,20,,,"[28.2, 18.1]",3773661,0,,,,-0.25070927,,Left Foot,,,,"[36.4, 16.0]",,Ground Pass,,8.464632,,,Pedro González López,30486.0,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['bcb3eb8f-01ce-48aa-8914-fd9b2c8a9c39'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.268,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.058428,,,,,,,,,,,,,,edaafb08-a423-4fe7-a704-7b7073ceca6a,24,,,"[37.5, 15.1]",3773661,0,,,,-2.8900888,,Right Foot,,,,"[23.1, 11.4]",,Ground Pass,,14.86775,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Pedro González López,30486.0,Left Center Midfield,3,Barcelona,217,"['50298a57-9e3b-4e19-8bea-f96ae49ffe93', 'dce0ef97-ca96-4bee-851c-15c6d776a4d0']",12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.941,Pass,True,2020/2021
,,,,,,,,,,,,,,,,,0.782568,,,,,,,,,,,,,,dafc1ac6-d86a-482e-90fd-ae61ab8216d4,26,,,"[22.5, 11.7]",3773661,0,,,,2.0344439,,Left Foot,,,,"[18.4, 19.9]",,Ground Pass,,9.167879,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Wing Back,3,Barcelona,217,['01feccf2-e16b-42be-97ae-46786683b020'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.999,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.570969,,,,,,,,,,,,,,d1075d07-3b5f-4319-8b02-daf6dd5419c0,29,,,"[16.3, 20.9]",3773661,0,,,,1.6088215,,Left Foot,,,,"[15.6, 39.3]",,Ground Pass,,18.413311,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['36068189-8c92-4673-8628-e4a6c0389384'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.806,Pass,,2020/2021
,,,,,,,,,,,,,,,,,2.190497,,,,,,,,,,,,,,7114681f-bf2b-4c9d-b8e2-1bdf5b3041cf,32,,,"[42.1, 39.7]",3773661,0,,,,-1.361931,,Right Foot,,,,"[46.0, 21.3]",,Ground Pass,,18.808775,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Center Back,3,Barcelona,217,['c9500332-e1cc-44b4-877d-b16a3854a884'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.407,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.278192,,,,,,,,,,,,,,cf127d45-49f5-46c2-a745-c19f105e217c,35,,,"[54.2, 18.8]",3773661,0,,,,1.8939816,,Left Foot,,,,"[47.2, 39.7]",,Ground Pass,,22.041098,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['5c589de7-70a7-4218-be08-28d06f4c9918'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.875,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.28091,,,,,,,,,,,,,,8db13b77-c9a4-4ce2-aac5-426fbec5639e,38,,,"[50.6, 41.4]",3773661,0,,,,1.3473197,,Left Foot,,,,"[54.6, 59.0]",,Ground Pass,,18.048822,,,Óscar Mingueza García,43728.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Center Back,3,Barcelona,217,['85e7e319-6055-42bc-b56e-6c3736bf0b03'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.196,Pass,,2020/2021
