50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5fc066e1-ea7b-4c73-951e-244072ed5fe9,841,,"[85.2, 69.9]",69237,17,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,José Antonio Reyes Calderón,23816.0,Right Midfield,41,Atlético Madrid,212,['d91e3b54-5e66-498b-996d-5373a0efc681'],14,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:17:14.520,Ball Recovery,True,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5a132675-e3b6-4124-ab59-e51031dea524,871,,"[2.0, 47.6]",69237,17,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,David de Gea Quintana,3333.0,Goalkeeper,44,Atlético Madrid,212,['10365504-d04b-4cfe-b79a-ebeb149adba9'],48,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:17:48.491,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,aa1e91bb-6ef0-45d2-abac-f3e2c001bba7,896,,"[43.6, 17.4]",69237,18,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,45,Barcelona,217,,13,,,,,,,,,,,,,,,,,,Barcelona,217,00:18:13.532,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6881ddbf-e716-416e-a7e4-618cd705bb0d,936,,"[8.9, 29.6]",69237,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,David de Gea Quintana,3333.0,Goalkeeper,47,Atlético Madrid,212,['9771fdd2-de8b-48ca-a534-37c621975ef3'],6,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:19:06.124,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,02ffc848-b960-420a-b1d0-f0b53adc7f99,962,,"[21.1, 57.5]",69237,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gabriel Alejandro Milito,25919.0,Left Center Back,49,Barcelona,217,,38,,,,,,,,,,,,,,,,,,Barcelona,217,00:19:38.900,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f9f49f5a-9161-4850-915c-0046317aed38,983,,"[16.5, 50.6]",69237,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luis Amaranto Perea Mosquera,26120.0,Right Center Back,49,Barcelona,217,,59,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:19:59.556,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bb69f55e-676c-4fc1-9ed6-b6fc8f0ec533,1011,,"[12.3, 38.0]",69237,20,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,David de Gea Quintana,3333.0,Goalkeeper,50,Atlético Madrid,212,['d5048f9b-c1ec-4f26-b334-a9f202a28bcd'],21,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:20:21.329,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b597622b-80eb-4a5e-84c7-7fa0b00c1cf0,1112,,"[36.0, 19.9]",69237,24,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Sergio Leonel Agüero del Castillo,3237.0,Left Center Forward,54,Barcelona,217,['80e09a89-52a9-4ccd-961b-8617704094af'],38,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:24:38.286,Ball Recovery,True,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5ffa53c7-9f16-4d72-8555-ece94204112d,1169,,"[70.5, 12.3]",69237,25,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Simão Pedro Fonseca Sabrosa,19765.0,Left Midfield,57,Atlético Madrid,212,,37,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:25:37.459,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,95f46f90-f32e-4907-b2f7-43fc74896c8a,1173,,"[58.5, 77.7]",69237,25,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,58,Barcelona,217,,39,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:39.490,Ball Recovery,,2009/2010
