ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.6348,,,,,,,,,,4e5327ec-4506-4a80-af27-b89ed4ce9fa8,16,,"[32.3, 32.0]",69155,0,,,,,1.6886685,,Left Foot,,,"[29.6, 54.8]",,Ground Pass,,22.959312,,,,Lilian Thuram,15071.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['c9407ffb-2aa9-40b5-b8c0-14a45aeb775a'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.319,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.3431,,,,,,,,,,73302f9b-528b-4538-891c-4ae7ea52608c,19,,"[29.6, 54.8]",69155,0,,,,,0.3503142,,Right Foot,,,"[45.2, 60.5]",,Ground Pass,,16.608732,,,,Anderson Luís de Souza,19757.0,,,,,,1,From Kick Off,Lilian Thuram,15071.0,Right Center Back,2,Barcelona,217,['bebecdb7-5c06-4286-ad2e-d112976720dd'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.936,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.1644,,,,,,,,,,4d92c8d3-b3ed-4651-9ebd-bdaabb73a3ed,22,,"[46.8, 57.9]",69155,0,,,,,-0.96113646,,Right Foot,,,"[51.2, 51.6]",,Ground Pass,,7.6843996,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,2,Barcelona,217,['2d3bcca3-1d03-4f37-90ab-6aaa9e43f3c4'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.630,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.2568,,,,,,,,,,40f4021a-ba0b-4632-86a0-629777f61258,26,,"[52.0, 51.7]",69155,0,,,,,3.1168451,,Left Foot,,,"[31.8, 52.2]",,Ground Pass,,20.206186,,,,Lilian Thuram,15071.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,"['a4eabe06-c42d-4ad6-bc77-416f588044b5', 'abdc2290-ebd3-4084-95a7-c941b4955544']",14,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.874,Pass,True,2006/2007
,,,,,,,,,,,,,,,,1.5129,,,,,,,,,,16a6d24c-c273-4d6f-a9fb-c72aa6e680f9,29,,"[31.8, 52.2]",69155,0,,,,,-1.5707964,,Right Foot,,,"[31.8, 27.2]",,Ground Pass,,25.0,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Lilian Thuram,15071.0,Right Center Back,2,Barcelona,217,['5924c0c2-817d-4e19-b320-29726d4c82e0'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.088,Pass,,2006/2007
,,,,,,,,,,,,,,,,2.7079,,,,,,,,,,134671ef-e2a3-4436-b3a4-e575273bbcfe,32,,"[31.8, 27.2]",69155,0,,,,,1.4018537,,Right Foot,,,"[36.9, 57.1]",,Ground Pass,,30.331831,,,,Lilian Thuram,15071.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['8cfd580d-9dda-4912-983e-7fcf1fe2e039'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.543,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.4263,,,,,,,,,,04445604-f23f-4d28-836b-442f2a4b5ca1,35,,"[39.7, 58.5]",69155,0,,,,,1.0554237,,Left Foot,,,"[47.8, 72.8]",,Ground Pass,,16.43472,,,,Gianluca Zambrotta,15774.0,,,,,,1,From Kick Off,Lilian Thuram,15071.0,Right Center Back,2,Barcelona,217,['60e7ef9c-bf13-4a9a-9f70-e0e62af98fd3'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.078,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.5826,,,,,,,,,,720166fa-0f8d-4b1d-bd89-fc6519360787,38,,"[48.0, 73.3]",69155,0,,,,,-2.721396,,Right Foot,,,"[33.9, 67.0]",,Ground Pass,,15.443445,,,,Lilian Thuram,15071.0,,,,,,1,From Kick Off,Gianluca Zambrotta,15774.0,Right Back,2,Barcelona,217,['82ef2725-be74-46b4-b81b-91e5989a733f'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.552,Pass,,2006/2007
,,,,,,,,,,,,,,,,2.6066,,,,,,,,,,a5e021a6-7772-4e97-9ab9-683f51954fd3,42,,"[33.2, 65.7]",69155,0,,,,,-2.4472766,,Right Foot,,,"[9.9, 46.3]",,Ground Pass,,30.319136,,,,Víctor Valdés Arribas,20176.0,,,,,,1,From Kick Off,Lilian Thuram,15071.0,Right Center Back,2,Barcelona,217,"['919d68fa-3ff8-4959-8e71-c6fe5d18a247', 'e44c23bd-3160-48c9-b7c8-d115aebfc191']",30,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.545,Pass,True,2006/2007
,,,,,,,,,,,,,,,,2.217,,,,,,,,,,87a8d1be-000d-4c6b-964b-62d1267840a7,46,,"[10.3, 44.6]",69155,0,,,,,-0.9650965,,Right Foot,,,"[33.5, 11.1]",,High Pass,,40.74911,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,1,From Kick Off,Víctor Valdés Arribas,20176.0,Goalkeeper,2,Barcelona,217,['852a7f3e-72ae-4b6d-848f-92805bf34529'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.866,Pass,,2006/2007
