ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.6991,,,,,,,,,,,,ece303ea-d918-4a68-9101-7ce8f1844e29,16,,"[27.8, 21.6]",69302,0,,,,-1.4835186,,Head,,,,"[28.5, 13.6]",,High Pass,,8.030566,,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,Recovery,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Real Sociedad,210,"['34e13a90-2a91-4869-adec-39306378e4e4', '6333d6e7-3e47-401f-a95c-567907f5dfb6']",8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.082,Pass,,2010/2011
,,,,,,,,,,,,,,,0.666099,,,,,,,,,,,,c8b2fbf9-cd95-4124-97e0-a41fa4866256,18,,"[28.5, 12.5]",69302,0,,,,0.14955974,,Head,,,,"[35.8, 13.6]",,High Pass,,7.3824115,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Kick Off,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,2,Real Sociedad,210,"['147c8f53-930a-464f-9903-c0a9ed4365ef', '1ee0c316-8ae6-4b84-b866-e5d6d4953014']",8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.781,Pass,,2010/2011
,,,,,,,,,,,,,,,0.945301,,,,,,,,,,,,147c8f53-930a-464f-9903-c0a9ed4365ef,20,,"[85.2, 67.4]",69302,0,,,,0.6000502,,Head,,,,"[87.1, 68.7]",,High Pass,,2.302173,,,,Gorka Elustondo Urkola,12191.0,,,,,,Recovery,1,From Kick Off,Xabier Prieto Argarate,6690.0,Right Midfield,2,Real Sociedad,210,"['672380d5-3bba-48b2-b499-571dce563b7e', 'c8b2fbf9-cd95-4124-97e0-a41fa4866256']",9,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:09.447,Pass,,2010/2011
,,,,,,,,,,,,,,,0.6154,,,,,,,,,,,,07ad9855-3355-4c0e-928f-39e7a8150dcc,22,,"[87.1, 68.7]",69302,0,,,,-1.5707964,,Head,,,,"[87.1, 61.9]",,High Pass,,6.8,,,,Xabier Prieto Argarate,6690.0,,,,,,,1,From Kick Off,Gorka Elustondo Urkola,12191.0,Right Center Midfield,2,Real Sociedad,210,['013c19c8-73ea-4da8-a935-a899cfb79d0d'],10,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:10.393,Pass,,2010/2011
,,,,,,,,,,,,,,,0.773,,,,,,,,,,,,395bc2ad-fc24-47d4-8e1b-38d17da3f8ba,24,,"[87.1, 61.9]",69302,0,,,,-0.094951704,,Head,,,,"[97.6, 60.9]",,High Pass,,10.547511,,Incomplete,,Joseba Llorente Etxarri,26191.0,,,,,,,1,From Kick Off,Xabier Prieto Argarate,6690.0,Right Midfield,2,Real Sociedad,210,"['4c11f2eb-cf7b-492e-8dd1-e0898f13da39', '70450d25-5ae8-4a0d-9407-0af680462629']",11,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:11.008,Pass,,2010/2011
,,,,,,,,,,,,,,,1.3737,,,,,,,,,,,,0e14b5d1-ed57-4b17-b8fe-b7008e50df5c,28,,"[79.7, 58.4]",69302,0,,,,-1.1516538,,Right Foot,,,,"[93.2, 28.1]",,High Pass,,33.17137,,Incomplete,,Antoine Griezmann,5487.0,,,,,,Recovery,1,From Kick Off,Diego Rivas Gutiérrez,26060.0,Center Defensive Midfield,2,Real Sociedad,210,"['53165cef-78d1-45e1-9a47-566770529c3d', '818e16d0-2858-4d08-ab0f-7922c2c58263']",14,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:14.128,Pass,,2010/2011
,,,,,,,,,,,,,,,0.721833,,,,,,,,,,,,a6cc8436-3ec0-45e8-9d95-4116303d468e,32,,"[32.9, 55.2]",69302,0,,,,-0.6572696,,Right Foot,,,,"[42.1, 48.1]",,Ground Pass,,11.621101,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['f8adce68-c9e9-4ab7-b582-338aa3beaee5'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.504,Pass,,2010/2011
,,,,,,,,,,,,,,,1.5911,,,,,,,,,,,,45109c89-f1df-49ac-bc52-c9d8f92b5add,35,,"[42.1, 52.5]",69302,0,,,,2.0891006,,Right Foot,,,,"[34.8, 65.3]",,Ground Pass,,14.735332,,,,Daniel Alves da Silva,4324.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,3,Barcelona,217,['ac14bb5c-361c-4164-9a92-d6054cd5fe0c'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.489,Pass,,2010/2011
,,,,,,,,,,,,,,,2.2387,,,,,,,,,,,,7e8a2f25-41ed-46bf-8234-b31db747b103,38,,"[35.4, 66.3]",69302,0,,,,-1.0005828,,Right Foot,,,,"[55.6, 34.8]",,High Pass,,37.42045,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,"['6fe18e99-4e88-4ff5-a57c-ed4858c5b3f5', 'a9bd7ddc-66ff-4c3f-8dbf-40e5f6d5b91e']",22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.640,Pass,,2010/2011
,,,,,,,,,,,,,,,2.208483,,,,,,,,,,,,a9bd7ddc-66ff-4c3f-8dbf-40e5f6d5b91e,40,,"[65.4, 46.2]",69302,0,,,,2.8103487,,Head,,,,"[46.5, 52.7]",,High Pass,,19.986496,,,,Mikel González de Martín Martínez,16622.0,,,,,,Recovery,1,Regular Play,Xabier Prieto Argarate,6690.0,Right Midfield,4,Real Sociedad,210,"['7e8a2f25-41ed-46bf-8234-b31db747b103', 'a543e16a-9698-4c54-b8a6-bf81080d3f93']",24,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:24.879,Pass,,2010/2011
