50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5f5ec61a-a58b-4b9a-ab0d-44e505948825,1,,,267590,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 24}, {'player': {'id': 6844, 'name': 'Federico Ricca Rostagnol'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 18}, {'player': {'id': 6559, 'name': 'Juan Carlos Pérez López'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 7}, {'player': {'id': 8234, 'name': 'Ignacio Camacho Barnola'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 6764, 'name': 'Pablo Fornals Malla'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 31}, {'player': {'id': 6563, 'name': 'Juan Pablo Añor Acosta'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 3508, 'name': 'Sandro Ramírez Castillo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Málaga,223,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dee407e0-7ec2-4afd-bc91-2f12a6d1c45b,2,,,267590,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,20b9207e-e490-4258-b8f0-c195e6a9d84c,3,,,267590,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['33e30132-f6ae-439f-b005-3674cb66b760'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,33e30132-f6ae-439f-b005-3674cb66b760,4,,,267590,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['20b9207e-e490-4258-b8f0-c195e6a9d84c'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,afb62363-82ab-4702-b647-644266f11407,1775,,,267590,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,Barcelona,217,['5be1fe3b-345a-4a5d-9dae-6076f3b48f4a'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5be1fe3b-345a-4a5d-9dae-6076f3b48f4a,1776,,,267590,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,Barcelona,217,['afb62363-82ab-4702-b647-644266f11407'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,2.346046,,,,,,,,,,,,9f9dbc66-d4f8-418e-bb50-5d9cfa65fce4,5,,"[60.0, 40.0]",267590,0,,,,3.066061,,Right Foot,,,"[41.5, 41.4]",,Ground Pass,,18.552896,,,Luis Hernández Rodríguez,6561.0,,,,,Kick Off,1,From Kick Off,Sandro Ramírez Castillo,3508.0,Left Center Forward,2,Málaga,223,['d4173b42-3137-49b1-b1b4-46c40a53775d'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.555,Pass,,2016/2017
,,,,,,,,,,,,,,,,,3.143487,,,,,,,,,,,,8552351c-f81d-4f08-b969-597611e6735a,8,,"[41.3, 39.8]",267590,0,,,,-0.5072676,,Right Foot,,,"[91.5, 11.9]",,High Pass,,57.432133,Incomplete,,Ignacio Camacho Barnola,8234.0,,,,,,1,From Kick Off,Luis Hernández Rodríguez,6561.0,Center Back,2,Málaga,223,"['347ba1a7-83e0-4bf8-bdaa-0e199ccf53c1', '7e3bcddf-6249-44bd-85a2-9cde52d9dfc3']",3,,,,,,,,,,,,,,,,,Málaga,223,00:00:03.436,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.59533,,,,,,,,,,,,347ba1a7-83e0-4bf8-bdaa-0e199ccf53c1,10,,"[28.6, 68.2]",267590,0,,,,-0.33647504,,Head,,,"[50.9, 60.4]",,High Pass,,23.624775,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Recovery,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Back,2,Málaga,223,"['8552351c-f81d-4f08-b969-597611e6735a', '8dd01087-2158-42d0-8a27-9135c710fdff', 'be6f771a-bc3d-4dd8-b3b6-e8b173f2203a']",6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.579,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.944566,,,,,,,,,,,,b597d6cf-aaac-4a73-b42f-e0958938a5e0,15,,"[70.2, 13.3]",267590,0,,,,-1.4157996,,Right Foot,,,"[72.2, 0.5]",,Low Pass,,12.955308,Out,,Juan Carlos Pérez López,6559.0,,,,,,1,From Kick Off,Pablo Fornals Malla,6764.0,Left Center Midfield,2,Málaga,223,['7c66b433-610c-4639-b399-03263313751a'],10,,,,,,,,,,,,,,,,,Málaga,223,00:00:10.423,Pass,,2016/2017
