bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_success_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.57958,,,,,,,,,,,,,,84c5f5d0-d2d3-4be2-8baf-651ebfe29d24,19,,"[43.1, 74.3]",69328,0,,,,,0.18715264,,Right Foot,,,"[73.2, 80.0]",,Ground Pass,,30.634947,,,,Sofiane Feghouli,18724.0,,,,,,,1,From Kick Off,Adil Rami,3253.0,Right Center Back,2,Valencia,207,"['12445b0b-bac2-425d-b575-8300acda267c', 'ddcc18da-0e12-4e50-bd6c-ddadd43a7abc']",11,,,,,,,,,,,,,,,,,,Valencia,207,00:00:11.269,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,,1.465,,,,,,,,,,,,,,6fbe4ad9-9141-4be9-98f6-235c837e026c,23,,"[55.3, 1.0]",69328,0,,,,,0.74020284,,,,,"[76.1, 20.0]",,Low Pass,,28.171618,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Throw-in,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,3,Barcelona,217,['24eefc94-4d2a-4d1b-a1ad-30e445e83a02'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.078,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,1.318413,,,,,,,,,,,,,,c7cdcb21-6daa-4518-afdf-e53d78551327,25,,"[76.1, 20.0]",69328,0,,,,,-1.012197,,Left Foot,,,"[82.6, 9.6]",,High Pass,,12.264175,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,3,Barcelona,217,"['27691923-1342-46b6-a691-1cb081950882', 'ee7936af-4adf-4b86-aaf1-8a3565138737']",24,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.543,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,2.745987,,,,,,,,,,,,,,ee7936af-4adf-4b86-aaf1-8a3565138737,27,,"[38.4, 71.4]",69328,0,,,,,-0.20171332,,Left Foot,,,"[82.9, 62.3]",,High Pass,,45.42092,,Incomplete,,Roberto Soldado Rillo,26009.0,,,,,,Recovery,1,From Throw In,David Albelda Aliqués,20128.0,Left Center Midfield,3,Barcelona,217,"['40c37f85-23c6-4e53-8568-69b9cbf39ed2', '75d19fc4-8e56-41c7-939d-d6f6e06866e2', 'c7cdcb21-6daa-4518-afdf-e53d78551327']",25,,,,,,,,,,,,,,,,,,Valencia,207,00:00:25.862,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,1.1901,,,,,,,,,,,,,,75d19fc4-8e56-41c7-939d-d6f6e06866e2,29,,"[38.1, 18.7]",69328,0,,,,,-0.79314995,,Left Foot,,,"[50.9, 5.7]",,Low Pass,,18.243902,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,Recovery,1,From Throw In,Carles Puyol i Saforcada,20125.0,Left Center Back,3,Barcelona,217,"['77a79cfc-cbff-4e84-b84c-bd4053c4b304', 'ee7936af-4adf-4b86-aaf1-8a3565138737']",28,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.608,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,1.789375,,,,,,,,,,,,,,de1eaf61-30a6-4c08-bb4f-5f6b0bb4f365,33,,"[50.6, 6.2]",69328,0,,,,,0.7975927,,Left Foot,,,"[66.8, 22.8]",,High Pass,,23.194826,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,3,Barcelona,217,"['0c721bfa-dcd2-420f-9284-196826a5be38', 'a81edfec-75da-40b5-b38f-ce4e938da295']",29,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.832,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,,0.990252,,,,,,,,,,,,,,5c7c2a97-834b-444f-9548-43663156673c,36,,"[62.3, 24.6]",69328,0,,,,,2.7367008,,Left Foot,,,"[53.2, 28.5]",,Ground Pass,,9.900505,,Incomplete,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,3,Barcelona,217,"['212bc339-83c3-4c8b-ab62-c2c8648381ea', 'db2f4c1b-7bb4-4837-b7bd-0d2b82d3b605']",32,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.214,Pass,,2011/2012
,,,,,,,,,,,,True,,,,,,0.768239,,,,,,,,,,,,,,db2f4c1b-7bb4-4837-b7bd-0d2b82d3b605,38,,"[67.8, 52.5]",69328,0,,,,,1.2882414,,Left Foot,,,"[69.6, 58.7]",,Ground Pass,,6.456005,,,,Jonas Gonçalves Oliveira,17083.0,,,,,,Interception,1,Regular Play,Alberto Facundo Costa,26728.0,Right Center Midfield,4,Valencia,207,"['5c7c2a97-834b-444f-9548-43663156673c', '873daf2e-e7fc-4d77-a295-7e16523ca491']",33,,,,,,,,,,,,,,,,,,Valencia,207,00:00:33.204,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,0.435942,,,,,,,,,,,,,,3351a1ac-a3e4-4456-8bb6-71156b43fa68,42,,"[69.1, 58.2]",69328,0,,,,,-2.6913671,,Right Foot,,,"[63.1, 55.3]",,Ground Pass,,6.664083,,,,David Albelda Aliqués,20128.0,,,,,,,1,Regular Play,Jonas Gonçalves Oliveira,17083.0,Center Attacking Midfield,4,Valencia,207,"['52f72292-f1d6-432d-ab44-c814cca86e42', 'bb3113f3-4d01-4fa6-b7f8-169956a8a74a']",34,,,,,,,,,,,,,,,,,,Valencia,207,00:00:34.356,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,,1.7401,,,,,,,,,,,,,,61f132d9-1fa8-4949-a7d0-e1681dcc2dcb,45,,"[63.6, 55.3]",69328,0,,,,,0.58101946,,Right Foot,,,"[80.2, 66.2]",,Ground Pass,,19.858751,,Incomplete,,,,,,,,,,1,Regular Play,David Albelda Aliqués,20128.0,Left Center Midfield,4,Valencia,207,['ad701be7-dc31-4041-b915-d71758ae96f8'],34,,,,,,,,,,,,,,,,,,Valencia,207,00:00:34.832,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,0.896645,,,,,,,,,,,,,,ad701be7-dc31-4041-b915-d71758ae96f8,46,,"[40.8, 14.8]",69328,0,,,,,1.2320982,,Left Foot,,,"[43.9, 23.6]",,Ground Pass,,9.330059,,,,Francesc Fàbregas i Soler,3478.0,,,,,,Recovery,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,5,Barcelona,217,"['61f132d9-1fa8-4949-a7d0-e1681dcc2dcb', '903c7b73-a9f2-43b2-ab4c-8864ccc52a39']",36,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.572,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,0.951803,,,,,,,,,,,,,,443d5bac-a007-4c38-849f-2261d688e8c0,49,,"[43.9, 23.6]",69328,0,,,,,-0.7702478,,Right Foot,,,"[50.6, 17.1]",,Ground Pass,,9.334881,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,5,Barcelona,217,['376225fd-b413-4450-a736-1625aeaa0aee'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.589,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,0.606934,,,,,,,,,,,,,,22e63a90-148a-4c4e-a6e5-d1592d62bc43,52,,"[50.6, 17.1]",69328,0,,,,,1.3722631,,Right Foot,,,"[54.0, 34.0]",,Ground Pass,,17.238619,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,['25e66933-bd45-467b-9ec1-8048433568fc'],38,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.581,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,0.545269,,,,,,,,,,,,,,84f060fe-8163-46ee-9176-202df740e15b,56,,"[54.0, 30.9]",69328,0,,,,,-1.896157,,Left Foot,,,"[51.2, 22.6]",,Ground Pass,,8.759566,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,5,Barcelona,217,"['1e068087-dd15-44af-84f7-a8662bc33fb9', '4ff2ba70-9f4e-4ea5-939c-2c2cb8f269e3']",40,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.548,Pass,True,2011/2012
