50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_end_early_video_end,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.6071,,,,,,,,,,,,,,6c9c75de-0d1d-462e-8022-f5b966ee61ab,2312,,"[50.5, 80.0]",68347,64,True,,,-2.0310192,,,,,,"[44.7, 68.3]",,Low Pass,,13.058714,,,Andrés Iniesta Luján,5216.0,,,,,Throw-in,2,From Throw In,Gianluca Zambrotta,15774.0,Right Back,135,Barcelona,217,['8d3a342a-2157-4048-80c5-78a41b003739'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:19:05.021,Pass,,2006/2007
,,,,,,,,,,,,,,,,0.834256,,,,,,,,,,,,,,0443f856-325d-41b5-9006-432f559dad05,2314,,"[44.7, 68.3]",68347,64,,,,1.0346503,,Right Foot,,,,"[48.8, 75.2]",,Ground Pass,,8.026207,,,Gianluca Zambrotta,15774.0,,,,,,2,From Throw In,Andrés Iniesta Luján,5216.0,Right Center Midfield,135,Barcelona,217,['76d95b8c-b880-485f-9b83-6a8f55c1a36a'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:19:06.838,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.501573,,,,,,,,,,,,,,ab29f672-8435-4f5e-8c9e-06c13c652d69,2317,,"[49.5, 75.3]",68347,64,,,,-2.9567697,,Left Foot,,,,"[26.5, 71.0]",,Ground Pass,,23.398504,,,Rafael Márquez Álvarez,5558.0,,,,,,2,From Throw In,Gianluca Zambrotta,15774.0,Right Back,135,Barcelona,217,['97dfbe67-b8ea-457c-b3f2-397fb50cc32d'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:19:07.766,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.730274,,,,,,,,,,,,,,607b6f4a-0afe-4fd2-a020-496a4a1019fd,2320,,"[25.1, 67.8]",68347,64,,,,-1.454501,,Right Foot,,,,"[27.6, 46.4]",,Ground Pass,,21.545532,,,Carles Puyol i Saforcada,20125.0,,,,,,2,From Throw In,Rafael Márquez Álvarez,5558.0,Right Center Back,135,Barcelona,217,['56b453ca-4b8b-4004-baaf-37565e4242b2'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:19:09.943,Pass,,2006/2007
,,,,,,,,,,,,,,,,2.459081,,,,,,,,,,,,,,5fe4b159-cf34-404f-8366-ecf610e0aeb2,2323,,"[28.1, 35.6]",68347,64,,,,-0.65776646,,Right Foot,,,,"[51.4, 17.6]",,Ground Pass,,29.442995,,,Ronaldo de Assis Moreira,25879.0,,,,,,2,From Throw In,Carles Puyol i Saforcada,20125.0,Left Center Back,135,Barcelona,217,['7fa52d29-29e8-4144-9de1-61a9737fae3d'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:19:12.957,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.680616,,,,,,,,,,,,,,0528a947-eef4-4acc-8812-d7f10583ad71,2327,,"[53.2, 16.3]",68347,64,,,,-1.321694,,Right Foot,,,,"[56.1, 4.9]",,Ground Pass,,11.763078,,,Giovanni van Bronckhorst,17797.0,,,,,,2,From Throw In,Ronaldo de Assis Moreira,25879.0,Center Attacking Midfield,135,Barcelona,217,"['19e5fec6-968c-40bf-88a0-a982dbc0ddbc', '7d2172c3-8113-499e-afeb-f2780634a5f4']",17,,,,,,,,,,,,,,,,,,Barcelona,217,00:19:17.784,Pass,True,2006/2007
,,,,,,,,,,,,,,,,1.775635,,,,,,,,,,,,,,7efce4f2-f35a-40d5-ac20-ea4c1a53c45e,2330,,"[56.1, 4.9]",68347,64,,,,1.9715898,,Left Foot,,,,"[51.1, 16.7]",,Ground Pass,,12.815616,,,Ronaldo de Assis Moreira,25879.0,,,,,,2,From Throw In,Giovanni van Bronckhorst,17797.0,Left Back,135,Barcelona,217,"['7586f66c-9900-4529-9bc8-33ab44e3813f', '7d2172c3-8113-499e-afeb-f2780634a5f4']",19,,,,,,,,,,,,,,,,,,Barcelona,217,00:19:19.504,Pass,True,2006/2007
,,,,,,,,,,,,,,,,3.719608,,,,,,,,,,,,,,1adf128a-43b1-41da-81f6-fbb37130d670,2333,,"[56.0, 18.6]",68347,64,,,,0.93962127,,Right Foot,,,,"[94.3, 71.0]",,High Pass,,64.90493,,,Ludovic Giuly,25878.0,,True,,,,2,From Throw In,Ronaldo de Assis Moreira,25879.0,Center Attacking Midfield,135,Barcelona,217,['ea7978cd-ab21-48cf-9fc4-5ecafc86c1be'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:19:21.401,Pass,,2006/2007
,,,,,,,,,,,,,,,,0.996892,,,,,,,,,,,,,,d3085084-bc41-4aef-9ada-e1aa69e1845d,2340,,"[99.3, 80.0]",68347,64,,,,-1.1418351,,,,,,"[105.2, 67.1]",,Low Pass,,14.185204,,,Ludovic Giuly,25878.0,,,,,Throw-in,2,From Throw In,Gianluca Zambrotta,15774.0,Right Back,136,Barcelona,217,['272547fc-a87a-4ef6-922a-a3704f7b7a36'],52,,,,,,,,,,,,,,,,,,Barcelona,217,00:19:52.274,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.12534,,,,,,,,,,,,,,bad9ff0c-bc01-461a-ad56-794005cbc308,2343,,"[105.2, 67.1]",68347,64,,,,1.4592612,,Right Foot,,,,"[106.6, 79.6]",,Ground Pass,,12.5781555,Out,,Gianluca Zambrotta,15774.0,,,,,,2,From Throw In,Ludovic Giuly,25878.0,Right Wing,136,Barcelona,217,['4049c90b-c773-4e3d-961b-f91df7245c1a'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:19:53.441,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.456876,,,,,,,,,,,,,,98cc6e8b-176d-4805-8d86-13f1972279c9,2345,,"[20.8, 1.0]",68347,65,,,,0.21593484,,,,,,"[36.3, 4.4]",,High Pass,,15.868523,,,Ismael Urzáiz Aranda,15608.0,,,,,Throw-in,2,From Throw In,Unai Expósito Medina,26032.0,Left Back,137,Athletic Club,215,['bbc736f3-974c-4fa8-9b39-d9d76ad75092'],5,,,,,,,,,,,,,,,,,,Athletic Club,215,00:20:05.547,Pass,,2006/2007
