50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b04294f4-adaf-429c-9dfa-3a81bcc400fe,1,,,266148,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6998, 'name': 'Rafael Alcântara do Nascimento'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8ca048a8-0db8-481f-872b-9119dedccc74,2,,,266148,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 27184, 'name': 'Marcos Alberto Angeleri'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 10868, 'name': 'Ricardo Jorge Luz Horta'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 3236, 'name': 'Sergi Darder Moll'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 30}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 6829, 'name': 'Samuel Castillejo Azuaga'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 29}, {'player': {'id': 6783, 'name': 'Samuel García Sánchez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 6695, 'name': 'Juan Miguel Jiménez López'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Málaga,223,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c492870a-a0bd-4092-8629-c4b5c4cc1201,3,,,266148,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['489937bf-625b-403d-8420-c288cf78b6f4'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,489937bf-625b-403d-8420-c288cf78b6f4,4,,,266148,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['c492870a-a0bd-4092-8629-c4b5c4cc1201'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,363d8485-106e-418c-a2c0-5276d4a5bd56,1881,,,266148,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,92,Barcelona,217,['fe8e4c8e-1b95-4aa1-a28b-8951c80e09e5'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fe8e4c8e-1b95-4aa1-a28b-8951c80e09e5,1882,,,266148,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,92,Barcelona,217,['363d8485-106e-418c-a2c0-5276d4a5bd56'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,,0.385299,,,,,,,,,,,,,ac9fe826-6d15-4513-a740-6a63629250c3,5,,"[61.0, 40.1]",266148,0,,,,-1.959115,,Right Foot,,,,"[60.1, 37.9]",Ground Pass,,2.376973,,,,,Samuel García Sánchez,6783.0,,,,,Kick Off,1,From Kick Off,Juan Miguel Jiménez López,6695.0,Left Center Forward,2,Málaga,223,['486f4afe-bc41-4a9b-93b1-5e89da53aa35'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.206,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.3938,,,,,,,,,,,,,5b0332f4-9221-420c-a532-dad04e582d90,8,,"[60.7, 38.8]",266148,0,,,,-2.7297854,,Right Foot,,,,"[43.3, 31.2]",Ground Pass,,18.987364,,,,,José Luis García del Pozo,6580.0,,,,,,1,From Kick Off,Samuel García Sánchez,6783.0,Right Center Forward,2,Málaga,223,['9c53c8e1-1368-4aeb-81d4-b241d3d1fb0c'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.874,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.526582,,,,,,,,,,,,,795498d3-83cd-4832-8045-fca6299e2ef1,11,,"[41.6, 30.1]",266148,0,,,,3.0679555,,Right Foot,,,,"[29.4, 31.0]",Ground Pass,,12.233151,,,,,Weligton Róbson Pena de Oliveira,26669.0,,,,,,1,From Kick Off,José Luis García del Pozo,6580.0,Left Center Midfield,2,Málaga,223,['fcd37ecb-a747-49da-bfc7-302956d1e88f'],3,,,,,,,,,,,,,,,,,Málaga,223,00:00:03.346,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.414186,,,,,,,,,,,,,db1084b3-7a56-4a9b-90d9-bb00241321ae,15,,"[24.8, 26.2]",266148,0,,,,-1.2651734,,Left Foot,,,,"[30.7, 7.5]",Ground Pass,,19.608671,,,,,Miguel Torres Gómez,6878.0,,,,,,1,From Kick Off,Weligton Róbson Pena de Oliveira,26669.0,Left Center Back,2,Málaga,223,"['0c40d5be-ee74-4137-9cea-6fe081fe84bb', 'aa4b9982-f962-4fe9-8708-4e4656e2163b']",6,,,,,,,,,,,,,,,,,Málaga,223,00:00:06.833,Pass,True,2014/2015
