bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3fc4ced4-0196-44e8-b931-0477db48f43e,1,,,69221,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 26624, 'name': 'Jeffren Isaac Suárez Bermúdez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cb0ecdc5-9928-466c-8303-1cb014c69a19,2,,,69221,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26029, 'name': 'Daniel Aranzubia Aguado'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23800, 'name': 'Laureano Sanabria Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 26107, 'name': 'Alberto Lopo García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 7}, {'player': {'id': 26218, 'name': 'Adrián López Rodríguez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 26209, 'name': 'Manuel Pablo García Díaz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 26206, 'name': 'Sergio González Soriano'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 26064, 'name': 'Antonio Tomás González'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 26487, 'name': 'Pablo Álvarez Nuñez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 5563, 'name': 'José Andrés Guardado Hernández'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 26055, 'name': 'Iván Sánchez Rico Soto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ffbdd5ac-1aad-46e5-878e-f3617e92671e,3,,,69221,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['1757373c-41cf-4708-b06a-0cf9e58950f9'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1757373c-41cf-4708-b06a-0cf9e58950f9,4,,,69221,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['ffbdd5ac-1aad-46e5-878e-f3617e92671e'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f6e50306-bccc-4625-95dd-d1895cbe9da8,2012,,,69221,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,RC Deportivo La Coruña,219,['63ee2dc5-90ca-4d19-8790-b1a5a14bd4d5'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,63ee2dc5-90ca-4d19-8790-b1a5a14bd4d5,2013,,,69221,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,RC Deportivo La Coruña,219,['f6e50306-bccc-4625-95dd-d1895cbe9da8'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.8227,,,,,,,,,,,,,013933df-7d3b-4386-977e-f591fc723327,5,,"[60.0, 40.0]",69221,0,,,,,-1.4056476,,Right Foot,,,,"[60.5, 37.0]",,Ground Pass,,3.0413814,,,,Bojan Krkíc Pérez,4913.0,,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Center Midfield,2,Barcelona,217,['2df3c5cf-1438-4688-9e01-c851ae4c5cce'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.243,Pass,,2009/2010
,,,,,,,,,,,,,,,,,0.926082,,,,,,,,,,,,,c81907ae-adb7-4624-b576-2067da14b73c,8,,"[57.6, 38.1]",69221,0,,,,,2.6562092,,Right Foot,,,,"[48.5, 42.9]",,Ground Pass,,10.288342,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Bojan Krkíc Pérez,4913.0,Center Forward,2,Barcelona,217,['b9499546-a0c0-40c5-b03d-4d023ca4866e'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.106,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.467,,,,,,,,,,,,,147884e0-c105-4b7c-b40d-1d6b9cece04e,12,,"[48.2, 45.4]",69221,0,,,,,1.5922523,,Right Foot,,,,"[47.7, 68.7]",,Ground Pass,,23.305365,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,"['01958e23-b4d0-406b-8449-9b81d641a29d', 'cebd73e8-b4ae-47c7-9c33-b212c39114c2']",2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.863,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,1.606099,,,,,,,,,,,,,4249b039-5553-4553-a05a-2d47defe406a,15,,"[43.9, 66.6]",69221,0,,,,,-1.615927,,Right Foot,,,,"[42.5, 35.6]",,Ground Pass,,31.031597,,,,Gnégnéri Yaya Touré,3087.0,,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['c21bad8d-25ed-490f-b086-4176d97d048b'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.598,Pass,,2009/2010
