bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,1.245757,,,,,,,,,,,649d7629-5071-4fad-819b-6ac0fc334b62,20,,"[46.2, 38.9]",69146,0,,,,,2.1319597,,Right Foot,,,,"[39.6, 49.4]",,Ground Pass,12.402016,,,,Lilian Thuram,15071.0,,,,,,1,From Kick Off,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,2,Barcelona,217,['3e217eac-5b9b-4b7d-a043-978a60c0dae5'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.009,Pass,,2007/2008
,,,,,,,,,,,,,,1.587493,,,,,,,,,,,7e124106-c9d8-447b-8f42-fc0f68806b23,23,,"[63.0, 55.2]",69146,0,,,,,0.17949864,,Right Foot,,,,"[87.8, 59.7]",,Low Pass,25.20496,,Incomplete,,Oleguer Presas Renom,25873.0,,,,,,1,From Kick Off,Lilian Thuram,15071.0,Right Center Back,2,Barcelona,217,"['4dc99b25-d0e2-42fd-89ae-5a01bd74bebb', '5f6669b0-34f2-48d0-b16e-00b79bb537d0']",24,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.803,Pass,,2007/2008
,,,,,,,,,,,,,,2.047807,,,,,,,,,,,4dc99b25-d0e2-42fd-89ae-5a01bd74bebb,25,,"[33.2, 21.3]",69146,0,,,,,-0.50147814,,Left Foot,,,,"[52.9, 10.5]",,Ground Pass,22.466196,,Incomplete,,Diego Ángel Capel Trinidad,24683.0,,,,,Recovery,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,"['7e124106-c9d8-447b-8f42-fc0f68806b23', 'd84b8670-3d0e-46c3-9665-747792759033', 'eb5c7df0-43c7-4961-bfaa-8ae86e425fd6']",26,,,,,,,,,,,,,,,,,Sevilla,213,00:00:26.390,Pass,,2007/2008
,,,,,,,,,,,,,,2.2991,,,,,,,,,,,c2ce2112-5b19-4cbe-a792-8a1ec6df19e9,29,,"[40.4, 18.4]",69146,0,,,,,0.8523371,,Right Foot,,,,"[57.1, 37.5]",,Ground Pass,25.371244,,Incomplete,,Frédéric Oumar Kanouté,25960.0,,,,,Recovery,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,"['7bbc5cdf-7460-4765-8776-91406d3a0c8d', 'd1c29b10-d98b-4efd-8ddb-d347885f5630']",30,,,,,,,,,,,,,,,,,Sevilla,213,00:00:30.020,Pass,,2007/2008
,,,,,,,,,,,,,,0.80378,,,,,,,,,,,7bbc5cdf-7460-4765-8776-91406d3a0c8d,31,,"[63.9, 43.5]",69146,0,,,,,0.31745875,,Right Foot,,,,"[70.9, 45.8]",,Ground Pass,7.368175,,,,Thierry Henry,15516.0,,,,,Recovery,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,"['808d4dc7-7065-4f60-ad27-bb2bd7379d41', 'c2ce2112-5b19-4cbe-a792-8a1ec6df19e9']",32,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.319,Pass,,2007/2008
,,,,,,,,,,,,,,0.836795,,,,,,,,,,,19e015e2-e537-4d22-aa57-fe127cef7367,34,,"[69.2, 47.8]",69146,0,,,,,1.6842313,,Right Foot,,,,"[68.3, 55.7]",,Ground Pass,7.9511003,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Thierry Henry,15516.0,Center Forward,2,Barcelona,217,['82ef7c8b-3473-45f3-86b8-62b8cae1e34c'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.052,Pass,,2007/2008
,,,,,,,,,,,,,,0.643468,,,,,,,,,,,3669ea51-51af-42e8-9298-f3c3a991ecc5,37,,"[69.0, 58.0]",69146,0,,,,,-0.16076274,,Right Foot,,,,"[80.1, 56.2]",,Ground Pass,11.244999,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,['d1333b60-d265-4bbc-b0b3-82ba09e24cb6'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.827,Pass,,2007/2008
,,,,,,,,,,,,,,0.917299,,,,,,,,,,,5b1bcb38-ff4d-409b-9762-676cab1e2f90,40,,"[81.1, 55.8]",69146,0,,,,,-1.5514439,,Left Foot,,,,"[81.4, 40.3]",,Ground Pass,15.502903,,,,Thierry Henry,15516.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Left Wing,2,Barcelona,217,['0a4717e8-4357-42c3-b3aa-d2ffa29ac422'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.485,Pass,,2007/2008
,,,,,,,,,,,,,,0.894339,,,,,,,,,,,4adf6eed-c34d-494d-ad71-a8e43be161af,44,,"[84.5, 38.1]",69146,0,,,,,1.098553,,Right Foot,,,,"[91.6, 52.0]",,Ground Pass,15.608331,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Thierry Henry,15516.0,Center Forward,2,Barcelona,217,['124188dc-b57b-4de2-b4cd-7b2c8961b078'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.269,Pass,,2007/2008
,,,,,,,,,,,,,,0.3777,,,,,,,,,,,9d4af19f-913a-4e47-9ab7-a90840ba1985,49,,"[93.6, 37.6]",69146,0,,,,,-1.152572,,Left Foot,,,,"[94.8, 34.9]",,Ground Pass,2.9546573,,Incomplete,,Thierry Henry,15516.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Left Wing,2,Barcelona,217,"['1bcf2c30-0e33-4fbb-b85f-a00800459335', '8d06e4f4-6a0f-4090-ae98-fe3a931efad9', 'a0e34667-67f8-4099-a608-a3379f498677']",44,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.205,Pass,True,2007/2008
