50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.6979,,,,,,,,,,,,b5cacfbb-54ae-488e-8fe7-a78dbe270b74,17,,"[34.4, 22.4]",69254,0,,,,,-0.82954615,,Right Foot,,,"[46.3, 9.4]",,Ground Pass,,17.62413,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['d3652cf4-aad0-431f-a984-97da717168af'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.803,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.393398,,,,,,,,,,,,5f109b5c-ab94-4698-b496-871b1c7de1a1,20,,"[50.5, 10.9]",69254,0,,,,,2.5119474,,Left Foot,,,"[36.5, 21.1]",,Ground Pass,,17.321663,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['d89d045a-4235-462f-bb3d-aac23872f84a'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.818,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,2.668231,,,,,,,,,,,,ba92d9ee-a508-4666-b1aa-98d2fe9f41ad,23,,"[41.6, 27.0]",69254,0,,,,,1.5162653,,Right Foot,,,"[44.1, 72.8]",,Ground Pass,,45.86818,,,,,Gerard Piqué Bernabéu,5213.0,,True,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['e4a91c59-04a7-4616-bdf4-ab3bc607cbca'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.193,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,0.959107,,,,,,,,,,,,05bbbcff-6de2-4eae-90fb-028d2801a826,26,,"[49.9, 74.3]",69254,0,,,,,-1.275092,,Right Foot,,,"[54.5, 59.2]",,Ground Pass,,15.78512,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['e8e35596-afbb-4f53-835d-83e164381515'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.145,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,0.836704,,,,,,,,,,,,88a682ff-77d5-49db-9211-851d91c1c30d,30,,"[54.9, 59.9]",69254,0,,,,,2.1421337,,Left Foot,,,"[47.7, 71.1]",,Ground Pass,,13.314653,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,"['52a51ad7-5314-4edd-b54d-b92050979c1e', 'e06a38e3-cf80-4662-9303-94d948d984a2']",27,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.170,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,2.134789,,,,,,,,,,,,6a156ca6-e7df-49fa-9f9b-adc6f0808419,33,,"[49.9, 67.5]",69254,0,,,,,-1.9916365,,Right Foot,,,"[38.8, 42.7]",,Ground Pass,,27.170755,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['f5f5a301-5efb-41bf-abac-0f1f8156d52b'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.288,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.106112,,,,,,,,,,,,5de2af7c-f29c-473f-b611-3f0fa1b6a7b5,36,,"[42.2, 38.9]",69254,0,,,,,-1.1246908,,Right Foot,,,"[49.9, 22.8]",,Ground Pass,,17.84657,,,,,Seydou Kéita,20169.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['95958a96-9a34-49a4-8d5e-e8c49876ed25'],34,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.167,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.577104,,,,,,,,,,,,c5b15010-b380-4d5a-93fb-3057f66fb5df,40,,"[57.5, 16.2]",69254,0,,,,,2.48751,,Left Foot,,,"[42.5, 27.7]",,Ground Pass,,18.901058,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Left Center Midfield,2,Barcelona,217,"['5bf4cf77-c23e-4553-a99d-172ec660a31a', '8b4fd53a-6af3-4034-8d65-e645f913100f']",38,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.436,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,1.499096,,,,,,,,,,,,59c32b44-f745-4a58-bf91-ce92a7d5a584,43,,"[46.5, 30.6]",69254,0,,,,,1.4449146,,Right Foot,,,"[51.6, 70.9]",,Ground Pass,,40.62142,,,,,Gerard Piqué Bernabéu,5213.0,,True,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['be983e28-a621-4434-ac35-9a4421c5a3c5'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.258,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,0.892,,,,,,,,,,,,4dc570a4-ba1a-401b-a082-b6e49dc4a9c0,47,,"[69.4, 73.5]",69254,0,,,,,0.44899663,,Right Foot,,,"[80.4, 78.8]",,Ground Pass,,12.210241,,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['1fc127fd-957a-4167-abcc-35ae58e9b203'],47,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.386,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,4.210979,,,,,,,,,,,,69a7d715-c56e-45c8-b25b-3a87f0a7d082,51,,"[79.8, 80.5]",69254,0,,,,,-2.9263082,,Right Foot,,,"[39.1, 71.6]",,Ground Pass,,41.66173,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,"['32f2d3f2-db9f-405e-9c27-0033cefd573e', '5319b437-d9d6-48c6-a6c2-a724dbd4ecf1']",49,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.107,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,0.78422,,,,,,,,,,,,1f2882f6-ffc0-4376-b075-072a14cc0de0,54,,"[43.1, 70.9]",69254,0,,,,,0.051425207,,Right Foot,,,"[56.7, 71.6]",,Ground Pass,,13.618003,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['abc2496e-9221-4321-a788-4bb51e3de484'],56,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.890,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.902307,,,,,,,,,,,,9beedce2-3d6b-4083-9c02-71fc522e0cfd,57,,"[57.5, 66.7]",69254,1,,,,,-2.07435,,Right Foot,,,"[45.6, 45.1]",,Ground Pass,,24.661102,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['78696065-24ac-4442-9b58-09afaf3086fc'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.681,Pass,,2009/2010
