bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,2.200281,,,,,,,,,,,,,300ed72e-99e8-496d-8001-01cfe9e18244,18,,,"[27.3, 24.4]",69274,0,,,,,2.4006097,,Right Foot,,,,"[8.5, 41.6]",,Ground Pass,,25.480974,,,Vicente Guaita Panadero,6625.0,,,,,,1,From Kick Off,Ángel Dealbert Ibáñez,26645.0,Left Center Back,2,Valencia,207,"['c81a97cc-2ba6-40a6-9a3f-ab879a7dd52e', 'd4c78189-8c63-4414-8da3-8ba0163919da']",8,,,,,,,,,,,,,,,,,,Valencia,207,00:00:08.529,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,3.105456,,,,,,,,,,,,,fe0d994d-a6fb-4acd-95b0-b8fdd0050a27,21,,,"[6.8, 43.9]",69274,0,,,,,0.891251,,Right Foot,,,,"[35.4, 79.3]",,High Pass,,45.50956,Out,,Marius Stankevičius,26681.0,,,,,,1,From Kick Off,Vicente Guaita Panadero,6625.0,Goalkeeper,2,Valencia,207,"['3d7a52b4-49bd-46e7-bcfd-66af6e9f278a', 'd4c78189-8c63-4414-8da3-8ba0163919da']",11,,,,,,,,,,,,,,,,,,Valencia,207,00:00:11.914,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,1.465036,,,,,,,,,,,,,72a89a8b-bb8f-4b87-b766-9b10201d453d,23,,,"[84.9, 1.0]",69274,0,,,,,1.3930795,,,,,,"[88.6, 21.6]",,Low Pass,,20.929644,,,David Villa Sánchez,12737.0,,,,,Throw-in,1,From Throw In,Adriano Correia Claro,22102.0,Left Wing Back,3,Barcelona,217,['a35c3a12-6585-4be0-9c13-26ffd6bdbe6b'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.092,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.186497,,,,,,,,,,,,,c0b3a10b-694c-4c75-8b13-0d189acd0eba,32,,,"[28.0, 56.4]",69274,0,,,,,0.6602282,,Right Foot,,,,"[36.5, 63.0]",,Ground Pass,,10.761505,,,Marius Stankevičius,26681.0,,,,,,1,From Throw In,Ángel Dealbert Ibáñez,26645.0,Left Center Back,3,Barcelona,217,"['5c248e2a-bd5c-4cfd-8385-68c89a337825', '6dc0412d-c2dd-4959-80eb-51469768739f']",26,,,,,,,,,,,,,,,,,,Valencia,207,00:00:26.063,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,4.224043,,,,,,,,,,,,,fbf8c68b-fb66-4131-a992-08688eda3fd6,36,,,"[32.2, 63.5]",69274,0,,,,,0.29968283,,Right Foot,,,,"[85.6, 80.0]",,High Pass,,55.891056,Out,,Juan Manuel Mata García,3294.0,,,,,,1,From Throw In,Marius Stankevičius,26681.0,Right Back,3,Barcelona,217,"['360284ad-1de2-4227-b2b4-ba10237f83be', '55cb0f27-8b45-4ab3-9e29-eb965dd47dcd']",28,,,,,,,,,,,,,,,,,,Valencia,207,00:00:28.054,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,1.21842,,,,,,,,,,,,,602f752c-da38-4be3-b117-5efe99534d61,38,,,"[35.6, 1.0]",69274,0,,,,,2.4950795,,,,,,"[25.0, 9.0]",,Low Pass,,13.28006,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,Throw-in,1,From Throw In,Adriano Correia Claro,22102.0,Left Wing Back,4,Barcelona,217,['0eeb088b-05ba-438f-bbbe-245907ddd595'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.273,Pass,,2010/2011
,,,,,,,,,,,,,,,,,2.749801,,,,,,,,,,,,,3ecef5ff-3bd3-48f3-8797-bedf73a98e61,42,,,"[26.2, 9.9]",69274,0,,,,,2.4282346,,Left Foot,,,,"[5.4, 27.9]",,Ground Pass,,27.50709,,,José Manuel Pinto Colorado,26005.0,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,4,Barcelona,217,"['2b73151d-cb6b-42ac-84e5-dbe030eca496', 'e8ac3ba4-f61d-4ad9-90ef-15c93738b393']",43,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.656,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,1.823024,,,,,,,,,,,,,7fb6bb39-e693-4be6-9443-f1a41ebddc3a,45,,,"[13.1, 35.4]",69274,0,,,,,-1.859899,,Right Foot,,,,"[7.3, 15.9]",,Ground Pass,,20.344286,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Throw In,José Manuel Pinto Colorado,26005.0,Goalkeeper,4,Barcelona,217,['a19df552-68ca-456b-9099-f148e26cdc19'],51,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.817,Pass,,2010/2011
,,,,,,,,,,,,,,,,,2.4324,,,,,,,,,,,,,d0bf04e3-6ddb-4af5-86ee-2c2c62e31534,48,,,"[13.1, 16.4]",69274,0,,,,,0.7102078,,Left Foot,,,,"[49.5, 47.7]",,High Pass,,48.00677,Incomplete,,Xavier Hernández Creus,20131.0,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,4,Barcelona,217,"['2f07a267-964b-41d9-b4e1-9a13d121a5c4', 'e7f3d42f-23cc-48db-9fec-71a7a348b29c']",56,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.943,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.754199,,,,,,,,,,,,,e7f3d42f-23cc-48db-9fec-71a7a348b29c,50,,,"[71.5, 33.3]",69274,0,,,,,-0.53439546,,Head,,,,"[86.2, 24.6]",,High Pass,,17.08157,Incomplete,,Jordi Alba Ramos,5211.0,,,,,Recovery,1,From Throw In,Alberto Facundo Costa,26728.0,Right Center Midfield,4,Barcelona,217,"['8dfe0d85-ad86-4647-84c9-0552a780b0d2', 'ce901aff-3fe2-4fdf-814e-16280fd856b4', 'd0bf04e3-6ddb-4af5-86ee-2c2c62e31534']",59,,,,,,,,,,,,,,,,,,Valencia,207,00:00:59.376,Pass,,2010/2011
,,,,,,,,,,,,,,,,,2.184231,,,,,,,,,,,,,c74c19a9-4d3a-40f3-aef5-4b6e2db8e295,61,,,"[84.0, 39.1]",69274,1,,,,,0.9446799,,Right Foot,,,,"[104.9, 68.0]",,High Pass,,35.66539,,,Pablo Hernández Domínguez,4711.0,,,,,,1,From Throw In,Joaquín Sánchez Rodríguez,6651.0,Right Wing,4,Barcelona,217,"['40541ac7-5ec0-43a7-b12d-25986dad64bb', 'f1babe17-7a2c-47c2-900e-106a741583d0']",6,,,,,,,,,,,,,,,,,,Valencia,207,00:01:06.498,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,1.012886,,,,,,,,,,,,,7289deb5-d384-4e4f-ac21-bda7b537ef5c,69,,,"[21.5, 23.6]",69274,1,,,,,-2.5599391,,Right Foot,,,,"[14.2, 18.8]",,Ground Pass,,8.736704,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,4,Barcelona,217,"['0cae4081-ffe7-40ae-94bf-4dde380f4901', 'b7360e36-005b-4fc7-b4e4-0b6c887cb737']",14,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.239,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,2.392116,,,,,,,,,,,,,39e087f7-47c7-4d38-97e6-5eb7aded1791,73,,,"[14.0, 17.8]",69274,1,,,,,0.1125037,,Left Foot,,,,"[55.6, 22.5]",,High Pass,,41.864662,,,David Villa Sánchez,12737.0,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,4,Barcelona,217,"['097c135a-202e-4f9c-b11e-b759d0142c62', '916f7a01-b0d0-4704-b64b-e6385202a300']",15,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.332,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,1.259982,,,,,,,,,,,,,dabb08ce-1f97-492f-b739-eebb8925fe95,83,,,"[62.9, 54.7]",69274,1,,,,,-1.6784862,,Right Foot,,,,"[62.5, 51.0]",,Ground Pass,,3.7215588,,,Alberto Facundo Costa,26728.0,,,,,,1,Regular Play,Éver Maximiliano David Banega,5504.0,Left Center Midfield,5,Valencia,207,['3a819d19-2d28-40df-a481-429926a156ca'],21,,,,,,,,,,,,,,,,,,Valencia,207,00:01:21.799,Pass,,2010/2011
