ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.2819,,,,,,,,,,,,,1d2d18a3-8f6b-4f1a-8923-0115e73442ce,20,,"[59.1, 10.5]",68321,0,,,,,2.6011732,,Left Foot,,,,"[55.6, 12.6]",,Ground Pass,,4.0816665,,,Incomplete,,Enzo Maresca,25954.0,,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Midfield,2,Sevilla,213,"['17a76cc1-eb6f-4aa4-898c-85bdc18298b4', '2553c285-e4bf-42aa-a44a-4de191f4e967', '36cbbb28-09cf-4ce0-8d6f-f727a2e49983']",7,,,,,,,,,,,,,,,,,Sevilla,213,00:00:07.081,Pass,True,2005/2006
,,,,,,,,,,,,,,,,1.00068,,,,,,,,,,,,,737a7ae8-42e9-40f9-a6e0-2211913dc0f8,25,,"[67.2, 73.9]",68321,0,,,,,-2.191672,,Left Foot,,,,"[56.4, 58.8]",,Ground Pass,,18.56475,,,,,José Edmílson Gomes de Moraes,25910.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,['720a6bf5-56df-4010-86f3-059e0054d958'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.688,Pass,,2005/2006
,,,,,,,,,,,,,,,,2.174778,,,,,,,,,,,,,c7212b60-de6f-49a7-b582-6598cfe30f90,28,,"[56.4, 58.2]",68321,0,,,,,-2.271847,,Right Foot,,,,"[40.7, 39.6]",,Ground Pass,,24.340296,,,,,Oleguer Presas Renom,25873.0,,,,,,,1,Regular Play,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,3,Barcelona,217,['a411f382-0911-475d-9e4b-23d3d879b960'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.220,Pass,,2005/2006
,,,,,,,,,,,,,,,,2.262989,,,,,,,,,,,,,a6eb8572-f900-42ba-b688-657746b5cb82,31,,"[43.3, 41.5]",68321,0,,,,,1.5939806,,Left Foot,,,,"[42.5, 76.0]",,Ground Pass,,34.509274,,,,,Juliano Haus Belletti,25863.0,,,,,,,1,Regular Play,Oleguer Presas Renom,25873.0,Left Center Back,3,Barcelona,217,['0e20df3b-9427-4b13-bb2a-a05dd302834c'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.776,Pass,,2005/2006
,,,,,,,,,,,,,,,,2.059933,,,,,,,,,,,,,9a1592e9-2dda-47d6-ba1f-8873400766a5,34,,"[43.3, 76.0]",68321,0,,,,,-0.07919907,,Right Foot,,,,"[87.4, 72.5]",,High Pass,,44.23867,,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,1,Regular Play,Juliano Haus Belletti,25863.0,Right Back,3,Barcelona,217,['c6495e40-c84f-4dc3-a0c9-1ee8a7781b0a'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.920,Pass,,2005/2006
,,,,,,,,,,,,,,,,0.7966,,,,,,,,,,,,,5de74a9d-27da-4f1b-93d9-a359f5a8c24a,37,,"[88.2, 75.6]",68321,0,,,,,-2.9959643,,Right Foot,,,,"[80.7, 74.5]",,Ground Pass,,7.5802374,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Ronaldo de Assis Moreira,25879.0,Left Wing,3,Barcelona,217,['6a76b6ca-a72d-4dee-998f-32f58d43822d'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.538,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.079615,,,,,,,,,,,,,6af1fff0-69f7-4245-87a4-53146fd6ea8c,42,,"[37.9, 1.0]",68321,0,,,,,0.22178097,,,,,,"[58.3, 5.6]",,High Pass,,20.912197,,,,,Frédéric Oumar Kanouté,25960.0,,,,,,Throw-in,1,From Throw In,David Castedo Escudero,25956.0,Left Back,4,Sevilla,213,['ea59c411-3cc7-40b2-8e0a-ebca4568159a'],32,,,,,,,,,,,,,,,,,Sevilla,213,00:00:32.769,Pass,,2005/2006
,,,,,,,,,,,,,,,,3.139356,,,,,,,,,,,,,c97402d5-607e-4bb0-b2f7-cb20ae591e4b,47,,"[48.0, 74.3]",68321,0,,,,,-2.4685018,,Left Foot,,,,"[18.4, 50.7]",,Ground Pass,,37.85657,,,,,Víctor Valdés Arribas,20176.0,,,,,,Recovery,1,Regular Play,Juliano Haus Belletti,25863.0,Right Back,5,Barcelona,217,['1f26a9ee-c2a2-4dd1-83e3-9e3a3e43cce7'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.046,Pass,,2005/2006
,,,,,,,,,,,,,,,,2.171,,,,,,,,,,,,,88fbe943-f495-4dae-bb2c-f7a43c590b9b,50,,"[18.0, 50.5]",68321,0,,,,,1.0132552,,Right Foot,,,,"[33.9, 76.0]",,Ground Pass,,30.050957,,,,,Juliano Haus Belletti,25863.0,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,5,Barcelona,217,['52d90a1a-d8d0-482c-899a-64a55752e415'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.662,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.480537,,,,,,,,,,,,,ec2135f2-4ae9-445f-948d-0e331c3cd36b,53,,"[33.9, 76.0]",68321,0,,,,,-0.02739041,,Left Foot,,,,"[55.8, 75.4]",,Ground Pass,,21.908218,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Juliano Haus Belletti,25863.0,Right Back,5,Barcelona,217,['5f02c9ec-7bd3-40cc-9d94-ead0b6b4e5fc'],45,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.992,Pass,,2005/2006
