50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.466673,,,,,,,,,,,,,,9ca9c491-f4bf-4dd8-87bf-217780792fb3,1140,,"[97.5, 78.5]",303487,26,,,,,-0.7853982,,Left Foot,,,"[101.2, 74.8]",Ground Pass,,5.23259,,,Incomplete,,Hugo Mallo Novegil,6805.0,,,,,,,1,Regular Play,Iago Aspas Juncal,5217.0,Right Center Forward,51,Celta Vigo,209,"['5d60ffb8-c4dc-4612-ade7-a15b484efce1', '9f61c79a-27f9-4e79-9a56-bfcd6bde15dc']",3,,,,,,,,,,,,,,,,Celta Vigo,209,00:26:03.643,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.969516,,,,,,,,,,,,,,fd989057-b6de-496f-ae2b-70e62db03ce4,1143,,"[110.4, 80.0]",303487,26,,,,,-1.2939981,,,,,"[112.9, 71.2]",Low Pass,,9.148224,,,,,Stanislav Lobotka,6798.0,,,,,,Throw-in,1,From Throw In,Hugo Mallo Novegil,6805.0,Right Wing Back,52,Celta Vigo,209,['97b6eaa2-e43f-49ac-9dfb-81f849017cf4'],19,,,,,,,,,,,,,,,,Celta Vigo,209,00:26:19.223,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.247989,,,,,,,,,,,,,,6bc57fb1-afd1-4b0d-ae3b-0da98f860e07,1147,,"[112.5, 71.8]",303487,26,,,,,-2.175576,,Right Foot,,,"[107.8, 65.0]",Low Pass,,8.266196,,,Incomplete,,Iago Aspas Juncal,5217.0,,,,,,,1,From Throw In,Stanislav Lobotka,6798.0,Right Center Midfield,52,Celta Vigo,209,"['987893e8-bb7e-4083-ba45-63166ed39809', '9e471ab4-3ab8-43cc-82bb-7f966771e8d2']",20,,,,,,,,,,,,,,,,Celta Vigo,209,00:26:20.378,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.701634,,,,,,,,,,,,,,9e471ab4-3ab8-43cc-82bb-7f966771e8d2,1149,,"[12.3, 15.1]",303487,26,,,,,-1.0460006,,Right Foot,,,"[14.5, 11.3]",Low Pass,,4.3908997,,,,,Héctor Junior Firpo Adames,17304.0,,,,,,Recovery,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,52,Celta Vigo,209,"['63244aa3-6e37-4898-ba64-2b3054151994', '6bc57fb1-afd1-4b0d-ae3b-0da98f860e07']",21,,,,,,,,,,,,,,,,Barcelona,217,00:26:21.626,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.894517,,,,,,,,,,,,,,c19fd04c-0eb6-4f7f-a753-2040f281127e,1154,,"[103.9, 73.7]",303487,26,,,,,-2.3561945,,Left Foot,,,"[94.3, 64.1]",Ground Pass,,13.57645,,,,,Francisco José Beltrán Peinado,11389.0,,,,,,Recovery,1,From Throw In,Hugo Mallo Novegil,6805.0,Right Wing Back,52,Celta Vigo,209,"['12b059ee-929e-4922-827a-0d52c9a85fc8', '7db77649-730b-4e35-95b7-1eabbbc5d8c8']",23,,,,,,,,,,,,,,,,Celta Vigo,209,00:26:23.147,Pass,True,2019/2020
,,,,,,,,,,,,,,,,0.37188,,,,,,,,,,,,,,624b4ac4-d874-4230-9ac7-bf7c817ba134,1161,,"[101.8, 67.8]",303487,26,,,,,-0.48603192,,Right Foot,,,"[107.1, 65.0]",Ground Pass,,5.994164,,,,,Stanislav Lobotka,6798.0,,,,,,,1,From Throw In,Francisco José Beltrán Peinado,11389.0,Center Defensive Midfield,52,Celta Vigo,209,['0800b678-4989-48dd-ad71-330d2e413a91'],26,,,,,,,,,,,,,,,,Celta Vigo,209,00:26:26.460,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.805878,,,,,,,,,,,,,,40f24494-f5b1-4bba-bd60-095b77bcdcfc,1167,,"[110.6, 74.2]",303487,26,,,,,-2.9195108,,Left Foot,,,"[98.2, 71.4]",Ground Pass,,12.712199,,,,,Hugo Mallo Novegil,6805.0,,,,,,,1,From Throw In,Francisco José Beltrán Peinado,11389.0,Center Defensive Midfield,52,Celta Vigo,209,['4705c882-f9aa-43c3-9c9c-b9cf3446f66c'],29,,,,,,,,,,,,,,,,Celta Vigo,209,00:26:29.438,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.741816,,,,,,,,,,,,,,f70bab18-d87f-4168-b505-13289241f9ec,1169,,"[98.2, 71.4]",303487,26,,,,,-1.1277379,,Right Foot,True,,"[113.1, 40.0]",High Pass,,34.755863,,,Incomplete,,David Juncà Reñé,6776.0,,,,,,,1,From Throw In,Hugo Mallo Novegil,6805.0,Right Wing Back,52,Celta Vigo,209,"['311a3043-390a-449f-be61-f6175e1c720c', '3dbba324-f1d4-42c4-8f6a-c03c975cbae5']",30,,,,,,,,,,,,,,,,Celta Vigo,209,00:26:30.244,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.724457,,,,,,,,,,,,,,b431c30b-fe45-4438-8cab-44b932aee07f,1173,,"[14.2, 41.9]",303487,26,,,,,-1.1581249,,Keeper Arm,,,"[23.0, 21.8]",Ground Pass,,21.941969,,,,,Samuel Yves Umtiti,5492.0,,,,,,,1,From Keeper,Marc-André ter Stegen,20055.0,Goalkeeper,53,Barcelona,217,['cbb28057-5501-4e08-b21c-3d87eee1de9a'],39,,,,,,,,,,,,,,,,Barcelona,217,00:26:39.306,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.117,,,,,,,,,,,,,,a2857db2-7323-4738-91e3-930160c27b27,1176,,"[23.0, 21.8]",303487,26,,,,,-0.907735,,Left Foot,,,"[33.7, 8.1]",Ground Pass,,17.383326,,,,,Héctor Junior Firpo Adames,17304.0,,,,,,,1,From Keeper,Samuel Yves Umtiti,5492.0,Left Center Back,53,Barcelona,217,['040dce3d-7c0c-49c3-ac4b-2fc34df6789e'],41,,,,,,,,,,,,,,,,Barcelona,217,00:26:41.906,Pass,,2019/2020
