ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3547ea73-207a-4662-821a-23ad3fd1e3a7,1,,,265963,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6998, 'name': 'Rafael Alcântara do Nascimento'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,aaea04a7-433a-4717-8f14-52890b106dd5,2,,,265963,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 24506, 'name': 'Álvaro Arroyo Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 17054, 'name': 'Emiliano Daniel Velázquez Maldonado'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6614, 'name': 'Alexis Ruano Delgado'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 27054, 'name': 'Roberto Lago Soto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 27179, 'name': 'Fredy Hinestroza Arias'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 11813, 'name': 'Emiliano Buendía'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 32}, {'player': {'id': 27112, 'name': 'Papa Babacar Diawara'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Getafe,216,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d6749041-a2ea-46ba-b634-76159d460156,3,,,265963,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['18dcd1d6-4dcd-492d-8248-3359869c4bab'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,18dcd1d6-4dcd-492d-8248-3359869c4bab,4,,,265963,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d6749041-a2ea-46ba-b634-76159d460156'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4ad59beb-a045-4977-bab1-46903ab5e93a,1956,,,265963,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Getafe,216,['b634ca8e-e4f3-4c22-9e86-f30304211bd1'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b634ca8e-e4f3-4c22-9e86-f30304211bd1,1957,,,265963,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Getafe,216,['4ad59beb-a045-4977-bab1-46903ab5e93a'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,0.4574,,,,,,,,,,,,,dc42563f-36ee-4be7-a315-cce2ca39defd,5,,"[60.0, 40.0]",265963,0,,,,-1.5195591,,Right Foot,,,,"[60.2, 36.1]",,Ground Pass,,3.905125,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['817592c5-eb20-45ba-b927-22045665a0ec'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.100,Pass,,2014/2015
,,,,,,,,,,,,,,,1.2936,,,,,,,,,,,,,471d7b01-3ce3-4d19-84a1-8318b065e6c0,7,,"[59.2, 36.3]",265963,0,,,,2.6779451,,Right Foot,,,,"[47.4, 42.2]",,Ground Pass,,13.192801,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['fbf5ca50-0f28-4faa-9691-3980b36fb430'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.557,Pass,,2014/2015
,,,,,,,,,,,,,,,2.6231,,,,,,,,,,,,,2213510b-0a1b-4445-9cc0-3518cd4cdee8,10,,"[47.4, 39.6]",265963,0,,,,-1.5122427,,Right Foot,,,,"[49.1, 10.6]",,Ground Pass,,29.049786,,,Adriano Correia Claro,22102.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['d9fc4b2a-6d55-409c-83ba-7685f3ab614f'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.024,Pass,,2014/2015
,,,,,,,,,,,,,,,1.154148,,,,,,,,,,,,,77bd53ff-209a-425e-9b8b-f35b7a09e967,13,,"[49.1, 10.6]",265963,0,,,,-0.6889244,,Right Foot,,,,"[55.9, 5.0]",,Ground Pass,,8.809086,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['d495884c-3fb3-4033-b8c2-14834ddea4a1'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.062,Pass,,2014/2015
