50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.399999,,,,,,,,,,,,,9149a9da-7fff-4672-b7dd-6eddc2638265,16,,"[52.9, 70.1]",303680,0,,,,-1.9480454,,Right Foot,,,,"[42.4, 43.6]",,Ground Pass,,28.504385,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Center Midfield,2,Barcelona,217,['507efe8b-4035-4354-9762-081facb5477b'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.669,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.239999,,,,,,,,,,,,,31c2d049-2542-41c6-9e54-399d41b5954b,19,,"[47.5, 41.5]",303680,0,,,,-1.1553042,,Right Foot,,,,"[56.5, 21.1]",,Ground Pass,,22.297085,,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['8058d021-7ba8-40b5-8748-33e4da9de2cc'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.677,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.234175,,,,,,,,,,,,,ccbc16c1-6a5e-446f-afbf-bcc0d4177097,23,,"[60.1, 19.0]",303680,0,,,,-0.92848146,,Left Foot,,,,"[70.2, 5.5]",,Ground Pass,,16.860012,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,"['48fbc859-0fbd-49ec-bad8-987ae216dbad', 'f10ec4ed-db95-484d-b344-bb08def1b12b']",12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.642,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,1.034506,,,,,,,,,,,,,45a007f2-1eb1-416b-b331-d94551a9765f,26,,"[71.1, 7.4]",303680,0,,,,1.25353,,Left Foot,,,,"[77.7, 27.5]",,Ground Pass,,21.15585,,,,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['3983b2fd-4633-4426-993f-45d79ce2d84c'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.941,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.145394,,,,,,,,,,,,,bd1b45c1-b7e2-466e-ba52-de5998ac1daa,30,,"[76.4, 26.9]",303680,0,,,,2.4196928,,Left Foot,,,,"[67.2, 35.0]",,Ground Pass,,12.25765,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Antoine Griezmann,5487.0,Left Center Forward,2,Barcelona,217,"['0ca26572-49f6-46aa-bcec-56dfdb4e6418', '8f7a97a6-1050-43cf-aa74-7286831fc5a1']",16,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.465,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,0.724384,,,,,,,,,,,,,c6849826-5367-4dbb-8bb9-9fbdff0677b5,34,,"[67.4, 35.7]",303680,0,,,,1.3473197,,Right Foot,,,,"[68.9, 42.3]",,Ground Pass,,6.7683086,,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,"['799fa4ac-577d-45e7-ac39-1475c3c11998', '913bbf02-0037-4fd5-b2d8-3e5c43602634', 'c31b586d-58ac-4aeb-9211-81451aa33e59']",17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.610,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,0.749218,,,,,,,,,,,,,7d0ae5ee-3fe0-4b22-857c-3220a3bda082,37,,"[69.8, 45.9]",303680,0,,,,0.96850896,a532ec75-35e6-45c8-b082-9692cc6ebcd0,Right Foot,,,,"[75.3, 53.9]",,Ground Pass,,9.708244,,,,,Lionel Andrés Messi Cuccittini,5503.0,True,,,,,1,From Kick Off,Arturo Erasmo Vidal Pardo,8206.0,Center Attacking Midfield,2,Barcelona,217,['de81a9de-8cd8-477c-9f75-004bc28d01b3'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.964,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.440077,,,,,,,,,,,,,a12e9236-ff32-45be-8210-0667e1f81d7d,51,,"[34.5, 41.0]",303680,0,,,,2.482635,,Left Foot,,,,"[21.2, 51.3]",,Ground Pass,,16.82201,,,,,Javier Moyano Lujano,11297.0,,,,,,1,Regular Play,Sergio Guardiola Navarro,17027.0,Right Center Forward,3,Real Valladolid,901,"['381099f2-ae15-490b-913f-5332f1503199', '441a45aa-4575-4db2-bf28-5c9f9fd3b9ba', '5fa2828a-6d8f-4052-9037-6f149f12a492']",27,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:27.462,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,0.086912,,,,,,,,,,,,,b9394d39-4891-488d-8ea6-b41c2ddaaa7f,55,,"[20.8, 51.3]",303680,0,,,,-0.06241881,,Right Foot,,,,"[24.0, 51.1]",,Low Pass,,3.206244,,,Incomplete,,,,,,,,,1,Regular Play,Javier Moyano Lujano,11297.0,Right Back,3,Real Valladolid,901,"['80b46029-53db-4a65-bdda-7b083c32b40e', '8a6bfdbe-77c1-49f1-a320-9975dcb14cec']",28,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:28.942,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,1.763624,,,,,,,,,,,,,3e62b086-e86c-4d93-8428-5abbfdd0d3ea,59,,"[8.4, 42.3]",303680,0,,,,1.1950884,,Keeper Arm,,,,"[15.5, 60.3]",,Ground Pass,,19.349676,,,,,Francisco José Olivas Alba,11304.0,,,,,,1,Regular Play,Jordi Masip López,11302.0,Goalkeeper,3,Real Valladolid,901,['708f75e3-bb0b-41e6-b6fa-38e6890efa39'],37,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:37.738,Pass,,2019/2020
