50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.6611,,,,,,,,,,,,ad1af63d-ecc0-4c47-8d3a-969c75cb7a6d,15,,"[9.5, 75.7]",69333,0,,,,,2.9476335,,Right Foot,,,"[3.9, 76.8]",,Ground Pass,,5.707013,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,3,Barcelona,217,"['6ff48c20-22bf-4559-a63e-14eea8f9f758', '7bdae55f-f29f-4636-8a8d-c9c3b0064ab3']",16,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.705,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,2.9163,,,,,,,,,,,,9697b647-622f-4cfb-b5ea-eec925104d7f,18,,"[3.2, 76.8]",69333,0,,,,,-0.4160645,,Left Foot,,,"[37.6, 61.6]",,High Pass,,37.60851,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Right Center Back,3,Barcelona,217,"['db65433c-4be4-4dc5-8e62-c8503a839d1b', 'fcf0df9a-c21e-45c7-b2ee-a6d03ff3e89f']",17,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.487,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.306567,,,,,,,,,,,,605ec5ef-92ed-48d3-85c6-63ae746deb32,23,,"[85.6, 15.7]",69333,0,,,,,-1.9129522,,Right Foot,,,"[80.4, 1.1]",,High Pass,,15.498387,Out,,Juan Francisco García García,26023.0,,,,,,1,From Throw In,Xavier Torres Buigues,24162.0,Center Defensive Midfield,3,Barcelona,217,"['26cbd943-5210-4b87-b44e-449abb5b0341', 'b0309d37-c304-477d-a8ec-dadd8d766b0c']",21,,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:21.355,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,1.853897,,,,,,,,,,,,cefaf4c8-49e6-4ec2-9c0b-2a8068446428,25,,"[38.2, 80.0]",69333,0,,True,,,-2.5155935,,,,,"[16.9, 64.6]",,Low Pass,,26.284025,,,Carles Puyol i Saforcada,20125.0,,,,,Throw-in,1,From Throw In,Javier Alejandro Mascherano,5506.0,Right Center Back,4,Barcelona,217,['11411b96-1c76-4251-8769-346dad478eea'],29,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.399,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.597306,,,,,,,,,,,,6e62f2d2-8b8b-449a-be7f-e19adca7f090,27,,"[22.0, 56.8]",69333,0,,,,,1.0405805,,Right Foot,,,"[32.2, 74.2]",,Ground Pass,,20.169283,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Center Back,4,Barcelona,217,['9ded6d84-2308-4ce3-83a1-0ef6d55c7a5f'],34,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.930,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.150009,,,,,,,,,,,,bcddd4b4-c2b8-4edd-82ce-90037487418e,30,,"[51.4, 69.9]",69333,0,,,,,-1.8356776,,Right Foot,,,"[44.7, 45.2]",,Ground Pass,,25.592577,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Right Center Back,4,Barcelona,217,['1a3a3734-c769-4abe-8046-ba677afb5bca'],40,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.638,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.270671,,,,,,,,,,,,003a53a5-b7b8-4c75-8ccd-31dd3c9678c7,34,,"[56.5, 36.7]",69333,0,,,,,-1.7106187,,Right Foot,,,"[52.7, 9.7]",,Ground Pass,,27.266096,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['e81af3dc-f221-41e2-a092-37dc9d11e168'],44,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.033,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.224967,,,,,,,,,,,,c85f30f3-1aae-4002-995d-d46076bbbafe,37,,"[52.7, 9.7]",69333,0,,,,,-0.39749822,,Left Foot,,,"[65.8, 4.2]",,Ground Pass,,14.207745,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,4,Barcelona,217,['29810f67-e922-47cb-bd9b-cb5e4db885f0'],46,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.087,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.06704,,,,,,,,,,,,8698a75d-7ca3-449a-a286-291396df36de,40,,"[69.2, 18.2]",69333,0,,,,,2.5017378,,Right Foot,,,"[51.6, 31.3]",,Ground Pass,,21.940145,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Throw In,Francesc Fàbregas i Soler,3478.0,Center Attacking Midfield,4,Barcelona,217,['4e9e8ad3-3047-4dab-9b3f-476b50b3d4bc'],51,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.089,Pass,,2011/2012
,,,,,,,,,,,,,,,,,2.167973,,,,,,,,,,,,1722c48c-9198-4571-b446-bb4188de4bae,43,,"[51.6, 36.9]",69333,0,,,,,-1.3750957,,Right Foot,,,"[56.1, 14.2]",,Ground Pass,,23.141737,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Center Back,4,Barcelona,217,['39f92d7c-d5fd-4bb7-bfff-51fa7476f564'],54,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.818,Pass,,2011/2012
