ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,58310656-5008-4320-be81-2bc3f00b45da,1,,,,303421,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Deportivo Alavés,206,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6571, 'name': 'Roberto Jiménez Gago'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6618, 'name': 'Martín Aguirregabiria Padilla'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 6615, 'name': 'Víctor Laguardia Cisneros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 23263, 'name': 'Lisandro Magallán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6935, 'name': 'Adrián Marín Gómez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 26387, 'name': 'Edgar Antonio Méndez Ortega'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 6659, 'name': 'Víctor Camarasa Ferrando'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6632, 'name': 'Manuel Alejandro García Sánchez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 3513, 'name': 'Oliver Burke'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 24}, {'player': {'id': 6732, 'name': 'Lucas Pérez Martínez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 3265, 'name': 'José Luis Sanmartín Mato'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Deportivo Alavés,206,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e938206f-27dd-4e99-af66-a39076ad1ed4,2,,,,303421,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Deportivo Alavés,206,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6590, 'name': 'Norberto Murara Neto'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 32480, 'name': 'Ronald Federico Araújo da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 24841, 'name': 'Ricard Puig Martí'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 30756, 'name': 'Anssumane Fati'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 31}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d3f7bf88-139c-4b89-9cf0-529009cc9489,3,,,,303421,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Deportivo Alavés,206,['66c16a1b-d4a4-4a15-8bc0-563f7b8b8f68'],0,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,66c16a1b-d4a4-4a15-8bc0-563f7b8b8f68,4,,,,303421,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Deportivo Alavés,206,['d3f7bf88-139c-4b89-9cf0-529009cc9489'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3f0eb961-d5be-4435-bc15-5696df548ae9,1935,,,,303421,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,89,Barcelona,217,['3a42b8f8-8995-457e-9137-8b461525bede'],0,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3a42b8f8-8995-457e-9137-8b461525bede,1936,,,,303421,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,89,Barcelona,217,['3f0eb961-d5be-4435-bc15-5696df548ae9'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,1.235451,,,,,,,,,,,,22633b2e-9a82-4864-aae4-2b486c2eb2f6,5,,,"[60.0, 40.0]",303421,0,True,,,3.09995,,Right Foot,,,"[43.2, 40.7]",,Ground Pass,,16.814577,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['672c0d97-e399-4b90-bf24-32daa86c6803'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.647,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.656018,,,,,,,,,,,,01d5c872-c05c-4b6f-a9d7-4a9e80b140b8,7,,,"[43.8, 40.4]",303421,0,,,,-2.2589412,,Right Foot,,,"[36.4, 31.4]",,Ground Pass,,11.651609,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['a9cb18d0-98ab-4875-b7bb-d50ff0ec2b35'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.401,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.512557,,,,,,,,,,,,14bd1f5d-bd40-4393-b582-d6e11b62463f,10,,,"[35.6, 31.4]",303421,0,,,,1.7126933,,Left Foot,,,"[34.5, 39.1]",,Ground Pass,,7.7781744,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['795d167f-bb18-46bf-a131-a22ec94094d2'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.459,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.107334,,,,,,,,,,,,d0a6f92f-a24f-4f80-b8b4-b375cd6007ce,13,,,"[40.8, 39.8]",303421,0,,,,-1.5132682,,Right Foot,,,"[41.9, 20.7]",,Ground Pass,,19.131649,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['dde2a1aa-cc88-4b2b-bc07-f81088385dd8'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.710,Pass,,2019/2020
