bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.757198,,,,,,,,,,,,b79e4e2d-fa63-4cc5-91be-bd1b2efedbcb,1780,,,"[56.0, 2.0]",16215,38,,,,2.5748634,,Right Foot,,,,"[45.0, 9.0]",,Ground Pass,,13.038404,,,,,Sidnei Rechel da Silva Júnior,6777.0,,,,,,1,Regular Play,Cristian Tello Herrera,6658.0,Left Wing Back,78,Real Betis,218,['2c6b2934-55bc-4d75-a37b-a18b1c35f08f'],48,,,,,,,,,,,,,,,,,,,Real Betis,218,00:38:48.521,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,3.1578,,,,,,,,,,,,9175340f-b90e-4276-b3c9-9c53e82f819a,1784,,,"[57.0, 5.0]",16215,38,,,,0.5317241,,Right Foot,,,,"[91.0, 25.0]",,Low Pass,,39.446167,,,Incomplete,,Jesé Rodríguez Ruiz,3990.0,,,,,,1,Regular Play,Sidnei Rechel da Silva Júnior,6777.0,Left Center Back,78,Real Betis,218,"['15984802-37d2-4590-bcb1-a23de747b079', '9f430471-bd96-476b-b475-7a7fe5d628f2']",53,,,,,,,,,,,,,,,,,,,Real Betis,218,00:38:53.796,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.653334,,,,,,,,,,,,9f430471-bd96-476b-b475-7a7fe5d628f2,1786,,,"[30.0, 56.0]",16215,38,,,,-2.5748634,,Left Foot,,,,"[8.0, 42.0]",,Ground Pass,,26.076809,,,,,Marc-André ter Stegen,20055.0,,,,,Recovery,1,Regular Play,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,79,Barcelona,217,"['9175340f-b90e-4276-b3c9-9c53e82f819a', '96f8e66c-07a0-48e8-973e-9f8410d65b9a']",56,,,,,,,,,,,,,,,,,,,Barcelona,217,00:38:56.954,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,4.337322,,,,,,,,,,,,f846dd95-bc2b-490a-ac05-30177df10959,1789,,,"[14.0, 48.0]",16215,39,,,,-0.5012643,,Right Foot,,,,"[87.0, 8.0]",,High Pass,,83.240616,,,,,Jordi Alba Ramos,5211.0,,True,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,79,Barcelona,217,['da780b5f-d43c-484b-aee7-9fc1d04d8d25'],5,,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:05.018,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.260759,,,,,,,,,,,,c81a46ed-da2d-48fb-9068-0f162391f25a,1792,,,"[87.0, 8.0]",16215,39,,,,2.0576956,,Left Foot,,,,"[78.0, 25.0]",,Ground Pass,,19.235384,,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,79,Barcelona,217,['c48093d4-61b8-4349-9f62-b157ad018d9a'],10,,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:10.674,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.968928,,,,,,,,,,,,59d6a646-7071-424e-a513-c0c2e298a67d,1795,,,"[78.0, 25.0]",16215,39,,,,0.33473682,,Right Foot,,,,"[101.0, 33.0]",,Ground Pass,,24.351591,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Arturo Erasmo Vidal Pardo,8206.0,Left Midfield,79,Barcelona,217,['c4a298d6-4675-44b9-b25b-759e794118f9'],12,,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:12.785,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.2763,,,,,,,,,,,,e70a74cd-a927-4d18-9069-25d381594321,1798,,,"[101.0, 33.0]",16215,39,,,,1.2036225,c2cbb0e0-d439-456a-964a-91bda2e2b900,Left Foot,,,,"[106.0, 46.0]",,Ground Pass,,13.928389,,,,,Luis Alberto Suárez Díaz,5246.0,True,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Left Center Forward,79,Barcelona,217,['1fa0e81e-e062-4a5b-a68c-70be778cf55b'],15,,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:15.060,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.8842,,,,,,,,,,,,274b0277-4bc0-44ff-bb8a-8ec1129b0d1d,1802,,,"[14.0, 40.0]",16215,39,True,,,0.50959224,,Keeper Arm,,,,"[48.0, 59.0]",,High Pass,,38.948685,,,Incomplete,,,,,,,,,1,From Keeper,Pau López Sabata,6792.0,Goalkeeper,80,Real Betis,218,['2c53d13b-d534-4879-92f5-c452d0dbe6e7'],20,,,,,,,,,,,,,,,,,,,Real Betis,218,00:39:20.578,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.593169,,,,,,,,,,,,2c53d13b-d534-4879-92f5-c452d0dbe6e7,1803,,,"[73.0, 22.0]",16215,39,,,,-0.41822433,,Left Foot,,,,"[82.0, 18.0]",,Low Pass,,9.848858,,,,,Clément Lenglet,6826.0,,,,,Recovery,1,From Keeper,Arturo Erasmo Vidal Pardo,8206.0,Left Midfield,81,Barcelona,217,"['274b0277-4bc0-44ff-bb8a-8ec1129b0d1d', '94aa1701-b4f5-42f3-81b3-d818d048d87d']",22,,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:22.463,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.514197,,,,,,,,,,,,e953e27b-9c9d-469e-9716-0092817825dc,1806,,,"[95.0, 20.0]",16215,39,,,,2.9441972,,Left Foot,,,,"[90.0, 21.0]",,Ground Pass,,5.0990195,,,Incomplete,,Jordi Alba Ramos,5211.0,,,,,,1,From Keeper,Clément Lenglet,6826.0,Left Center Back,81,Barcelona,217,"['168a6b6d-5e2e-4422-8b1f-849afe0c1dff', '23e09f08-ab60-401c-87f8-0c10de17d955']",25,,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:25.327,Pass,,2018/2019
