ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.3724,,,,,,,,,,,,,291dffee-c663-41e1-87a3-d6da79b80389,16,,"[10.3, 46.9]",70297,0,,,,0.21179247,,Right Foot,,,,"[39.6, 53.2]",,Low Pass,,29.969652,,,,Mehdi Lacen,6745.0,,,,,,1,From Kick Off,Jordi Codina Rodríguez,26686.0,Goalkeeper,2,Getafe,216,['09df3657-df0c-4f07-8c8f-1914e36846c2'],10,,,,,,,,,,,,,,,,,Getafe,216,00:00:10.790,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.866899,,,,,,,,,,,,,04368916-0ad7-46ce-99d4-b3df3cbcb7ed,18,,"[39.6, 53.2]",70297,0,,,,0.1061568,,Right Foot,,,,"[51.8, 54.5]",,Low Pass,,12.269067,,,,Jaime Gavilán Martínez,24580.0,,,,,,1,From Kick Off,Mehdi Lacen,6745.0,Left Defensive Midfield,2,Getafe,216,['2b745cde-e540-4205-957d-1d23d5e77ab4'],12,,,,,,,,,,,,,,,,,Getafe,216,00:00:12.163,Pass,,2012/2013
,,,,,,,,,,,,,,,,,2.9333,,,,,,,,,,,,,70ab247b-fdb6-47c4-b180-a6d562dee1b6,26,,"[84.6, 34.2]",70297,0,,,,-1.4758446,,Right Foot,,,,"[86.8, 11.1]",,Ground Pass,,23.204525,,,,Diego Castro Giménez,26252.0,,,,,,1,From Kick Off,Jaime Gavilán Martínez,24580.0,Left Midfield,2,Getafe,216,"['4179c543-5b3e-4e8f-8f8b-f43de09e1f80', 'a2bc1538-34b0-4c2f-a21d-ed5bc35bc325']",18,,,,,,,,,,,,,,,,,Getafe,216,00:00:18.014,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,2.6387,,,,,,,,,,,,,d2d650f6-3870-40ed-9f21-5ae673f64733,30,,"[97.9, 13.7]",70297,0,,,,1.0929316,,Left Foot,True,,,"[119.6, 55.6]",,High Pass,,47.185802,,Out,,Abdelaziz Barrada,23933.0,,True,,,,1,From Kick Off,Diego Castro Giménez,26252.0,Right Midfield,2,Getafe,216,['7c1edd9c-e55a-4483-b866-ceeaaf75dbcc'],23,,,,,,,,,,,,,,,,,Getafe,216,00:00:23.129,Pass,,2012/2013
,,,,,,,,,,,,,,,,,3.570409,,,,,,,,,,,,,3ec14a8b-8315-4485-b400-14eaee310a30,32,,"[7.0, 37.0]",70297,0,,,,0.7793814,,Right Foot,,,,"[48.8, 78.3]",,High Pass,,58.76164,,Incomplete,,Adriano Correia Claro,22102.0,,True,,,Goal Kick,1,From Goal Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,3,Barcelona,217,"['01e59800-5e89-4fde-80fe-c00a9ea08877', '2318dda0-a40b-4b4a-a93e-87b7c56befba']",41,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.989,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.4465,,,,,,,,,,,,,01e59800-5e89-4fde-80fe-c00a9ea08877,35,,"[72.2, 2.7]",70297,0,,,True,3.0154011,,,,,,"[58.8, 4.4]",,High Pass,,13.507405,,,,Sergio Escudero Palomo,6718.0,,,,,Recovery,1,Regular Play,Borja Fernández Fernández,11294.0,Right Defensive Midfield,4,Getafe,216,"['3ec14a8b-8315-4485-b400-14eaee310a30', '5b68ab31-8e75-4dee-83c0-a0ae4a088093', 'd44bbd1d-a246-4681-97c3-9e2199c7ef94']",45,,,,,,,,,,,,,,,,,Getafe,216,00:00:45.559,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,1.4219,,,,,,,,,,,,,cdd3d4a4-1d14-4385-bd3e-2160eaffb803,37,,"[58.8, 4.4]",70297,0,,,,0.41221097,,Left Foot,,,,"[85.1, 15.9]",,High Pass,,28.704355,,,,Diego Castro Giménez,26252.0,,,,,,1,Regular Play,Sergio Escudero Palomo,6718.0,Left Back,4,Getafe,216,['447b7208-910f-4a02-9b92-4f9f2ec4760e'],46,,,,,,,,,,,,,,,,,Getafe,216,00:00:46.975,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.6733,,,,,,,,,,,,,1d0795d1-d4e9-407f-aaaa-4a2cadf9adfa,40,,"[85.1, 15.9]",70297,0,,,,1.7699555,,Other,,,,"[82.9, 26.8]",,Low Pass,,11.119802,,,,Mehdi Lacen,6745.0,,,,,,1,Regular Play,Diego Castro Giménez,26252.0,Right Midfield,4,Getafe,216,['33f168c9-1690-489b-a417-4dc2bf59b8cb'],48,,,,,,,,,,,,,,,,,Getafe,216,00:00:48.433,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.3356,,,,,,,,,,,,,b0442e5d-e2ea-40af-b58b-05c523dccd84,45,,"[84.3, 24.4]",70297,1,,,,0.7522977,,Right Foot,,,,"[107.7, 46.3]",,High Pass,,32.04949,,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Adrián Colunga Pérez,26652.0,Center Forward,5,Getafe,216,['3c490c9f-539c-4fa5-bed9-b7d23a37244e'],36,,,,,,,,,,,,,,,,,Getafe,216,00:01:36.072,Pass,,2012/2013
,,,,,,,,,,,,,,,,,2.3901,,,,,,,,,,,,,5eb65404-9400-4442-b811-1a5213b161c7,50,,"[64.3, 42.8]",70297,1,,,,-0.54819137,,Left Foot,,,,"[86.9, 29.0]",,Ground Pass,,26.48018,,Incomplete,,David Villa Sánchez,12737.0,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,5,Getafe,216,"['6d10ebe5-5266-4024-b23f-9ca396801556', '8568efa6-d3aa-47df-9308-8f4fbebcf613', 'ee36ffe0-6a3c-477c-9c0d-ead97c01bde4']",42,,,,,,,,,,,,,,,,,Barcelona,217,00:01:42.985,Pass,True,2012/2013
,,,,,,,,,,,True,,,,,,1.765,,,,,,,,,,,,,6d10ebe5-5266-4024-b23f-9ca396801556,52,,"[34.1, 52.0]",70297,1,,,,-2.9139032,,Left Foot,,,,"[9.5, 46.3]",,Ground Pass,,25.251732,,,,Jordi Codina Rodríguez,26686.0,,,,,Interception,1,From Free Kick,Sergio Escudero Palomo,6718.0,Left Back,5,Getafe,216,"['0c98033b-35d2-4404-9879-08e602c83750', '5eb65404-9400-4442-b811-1a5213b161c7']",45,,,,,,,,,,,,,,,,,Getafe,216,00:01:45.375,Pass,,2012/2013
,,,,,,,,,,,,,,,,,2.4655,,,,,,,,,,,,,6def920f-cc05-4bcf-9f42-88a90790193b,55,,"[10.6, 51.6]",70297,1,,,,0.347506,,Right Foot,,,,"[48.7, 65.4]",,High Pass,,40.522217,,,,Diego Castro Giménez,26252.0,,,,,,1,From Free Kick,Jordi Codina Rodríguez,26686.0,Goalkeeper,5,Getafe,216,"['bb751018-39c6-42dc-a5c9-0115348eda00', 'c094d5f7-4b2b-4b9d-90d0-7fcc8240bc8d']",47,,,,,,,,,,,,,,,,,Getafe,216,00:01:47.140,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,4.2562,,,,,,,,,,,,,9ec387de-4f3c-4281-b4f4-8ef367bce21f,57,,"[48.7, 65.4]",70297,1,,,,-0.022157038,,Head,,,,"[84.8, 64.6]",,Low Pass,,36.108864,,Incomplete,,,,,,,,,1,From Free Kick,Diego Castro Giménez,26252.0,Right Midfield,5,Getafe,216,['6347a61f-ac7c-45f1-b7aa-a6b069678095'],49,,,,,,,,,,,,,,,,,Getafe,216,00:01:49.606,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.0423,,,,,,,,,,,,,ae5d4d80-f9f9-4bf4-93a8-5971f05a3eb9,60,,"[38.1, 17.2]",70297,1,,,,1.0262446,,Right Foot,,,,"[46.7, 31.4]",,Ground Pass,,16.601204,,,,Alexandre Dimitri Song-Billong,27053.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,6,Barcelona,217,['c9df952c-8a30-4680-8979-85cb2fccca42'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:01:55.223,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.4412,,,,,,,,,,,,,a9a8c13d-d94f-44f7-a412-7e64f6a02768,63,,"[49.6, 34.3]",70297,1,,,,1.5462614,,Right Foot,,,,"[50.0, 50.6]",,Ground Pass,,16.304907,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,Regular Play,Alexandre Dimitri Song-Billong,27053.0,Center Defensive Midfield,6,Barcelona,217,['e4a33df0-35d4-4fcd-945e-3ee5c3d39529'],58,,,,,,,,,,,,,,,,,Barcelona,217,00:01:58.672,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.2078,,,,,,,,,,,,,e50af1c9-f0af-4efe-ac9d-596579cc0536,66,,"[50.8, 54.7]",70297,2,,,,1.5871882,,Right Foot,,,,"[50.6, 66.9]",,Ground Pass,,12.201639,,,,Adriano Correia Claro,22102.0,,,,,,1,Regular Play,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,6,Barcelona,217,['6692e5d3-e1e8-4899-8756-cb295d0524bc'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:02:01.127,Pass,,2012/2013
