ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,0.0,,,,,,,,,,,,ae8e3e63-7799-4c8a-8ce6-3878a62589dd,1,,,267039,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6922, 'name': 'Míchel Macedo Rocha Machado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 7692, 'name': 'Mauricio Lemos Merladet'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 27565, 'name': 'Hélder Filipe Oliveira Lopes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 24144, 'name': 'Ángel Montoro Sánchez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6934, 'name': 'Jerónimo Figueroa Cabrera'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3990, 'name': 'Jesé Rodríguez Ruiz'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 8668, 'name': 'Kevin-Prince Boateng'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Las Palmas,208,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,0.0,,,,,,,,,,,,0afe7830-3d46-4fdf-8e52-02a041b3f4f3,2,,,267039,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3362, 'name': 'Marlon Santos da Silva Barbosa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,0.0,,,,,,,,,,,,8b24652f-d972-476f-866e-50c878285a44,3,,,267039,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['56bc3485-a750-4b7d-bc40-24f861f5b03f'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,0.0,,,,,,,,,,,,56bc3485-a750-4b7d-bc40-24f861f5b03f,4,,,267039,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['8b24652f-d972-476f-866e-50c878285a44'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,0.0,,,,,,,,,,,,fd3146ee-61e9-4de3-9514-273394991e28,1874,,,267039,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Barcelona,217,['ca0ace46-d8ac-4be8-aeb5-3efac49b81d7'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,0.0,,,,,,,,,,,,ca0ace46-d8ac-4be8-aeb5-3efac49b81d7,1875,,,267039,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Barcelona,217,['fd3146ee-61e9-4de3-9514-273394991e28'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,1.774158,,,,,,,,,,,,d06c4ac2-22a4-4d10-bd88-411415f6e07e,5,,"[61.0, 40.1]",267039,0,,,,3.1192083,,Right Foot,,,,"[47.6, 40.4]",,Ground Pass,,13.4033575,,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['d9e5171b-ff87-4459-8390-012ac3ba37bb'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.281,Pass,,2016/2017
,,,,,,,,,,,,1.666231,,,,,,,,,,,,aaa14e14-74a3-4bea-bd73-498fb2f5abe1,8,,"[47.5, 45.0]",267039,0,,,,2.640713,,Left Foot,,,,"[33.8, 52.5]",,Ground Pass,,15.618579,,,,,Marlon Santos da Silva Barbosa,3362.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['3062c294-f3ca-4745-ac79-8e09e91f5162'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.566,Pass,,2016/2017
,,,,,,,,,,,,2.1252,,,,,,,,,,,,3f8f0b00-fc76-4b7d-827d-b0d2a948fa3f,11,,"[30.7, 56.8]",267039,0,,,,-1.565588,,Right Foot,,,,"[30.9, 18.4]",,Ground Pass,,38.40052,,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Marlon Santos da Silva Barbosa,3362.0,Right Center Back,2,Barcelona,217,['b546e2d8-0a1f-484a-92c1-440bd947406f'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.168,Pass,,2016/2017
,,,,,,,,,,,,1.4765,,,,,,,,,,,,17db13d7-ff88-4649-9530-e06cbca7c202,14,,"[31.3, 19.1]",267039,0,,,,-0.89979017,,Left Foot,,,,"[41.7, 6.0]",,Ground Pass,,16.726326,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['e2342b00-9c78-4ef3-bfec-ff415338bbb0'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.139,Pass,,2016/2017
