50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.545631,,,,,,,,,,,,f874e03e-d68c-49e2-af36-d94435df3122,17,,"[33.0, 26.0]",16086,0,,,,1.5707964,,Left Foot,,,,"[33.0, 43.0]",,Ground Pass,,17.0,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['8bc32ca3-4ba8-4c1d-ba8c-2a5f6cd72c6e'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.682,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.146163,,,,,,,,,,,,46713b56-d545-4b39-be66-352606b1be0a,20,,"[45.0, 56.0]",16086,0,,,,-1.9655875,,Right Foot,,,,"[40.0, 44.0]",,Ground Pass,,13.0,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['b81698f9-8661-4147-a3a2-b9a56b401d96'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.285,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.7298,,,,,,,,,,,,f5d8507f-1e50-4368-8afa-2287908b9aa9,24,,"[39.0, 43.0]",16086,0,,,,-1.19029,,Left Foot,,,,"[49.0, 18.0]",,Ground Pass,,26.925823,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,"['82394b40-5a68-499d-8915-6eebb9ef77fb', 'e1b9ea62-a770-4687-842b-ce03965d70f7']",19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.353,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,0.899415,,,,,,,,,,,,d64403d0-3104-4ec4-83ad-8f9b904bdc13,27,,"[54.0, 14.0]",16086,0,,,,-0.5404195,,Left Foot,,,,"[64.0, 8.0]",,Ground Pass,,11.661903,,,Ousmane Dembélé,5477.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['facafdeb-f452-467c-bbad-366b41e45797'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.117,Pass,,2018/2019
,,,,,,,,,,,,,,,,,3.548378,,,,,,,,,,,,45b7a5e7-f986-4967-a9db-765dc553ba7e,30,,"[63.0, 10.0]",16086,0,,,,2.2489157,,Left Foot,,,,"[34.0, 46.0]",,Ground Pass,,46.227695,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Ousmane Dembélé,5477.0,Left Wing,2,Barcelona,217,['eb8e175f-49e7-4cce-b8e3-a8014e703f5b'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.236,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.047942,,,,,,,,,,,,7284eee9-5322-4477-b959-328e704b6ae0,33,,"[51.0, 47.0]",16086,0,,,,-1.1071488,,Right Foot,,,,"[57.0, 35.0]",,Ground Pass,,13.416408,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['65e798df-9d6e-4e43-81a2-fee0fe479893'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.141,Pass,,2018/2019
,,,,,,,,,,,,,,,,,2.4747,,,,,,,,,,,,0c74ea8c-5d5d-4c57-9890-3f0e8113d8e4,37,,"[67.0, 27.0]",16086,0,,,,1.1712809,,Right Foot,,,,"[86.0, 72.0]",,High Pass,,48.8467,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,True,,,,1,From Kick Off,Ivan Rakitić,5470.0,Left Center Midfield,2,Barcelona,217,"['000a675e-5ae6-40c4-8f62-ffd94e89642b', 'cbeffdae-f3ae-4336-bddf-0f741fef3e08']",41,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.297,Pass,,2018/2019
,,,,,,,,,,,,,,,,,2.7067,,,,,,,,,,,,1de2c2a1-92a6-4856-b123-434463a500cd,43,,"[56.0, 76.0]",16086,0,,,,-0.48995733,,Right Foot,,,,"[86.0, 60.0]",,High Pass,,34.0,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['03e089c2-2a6f-4e7c-985b-6e6e8eabbb53', '13db062a-8028-4396-9169-ac06f7ff95fd', 'eff9e6df-35d0-4f11-b711-6657bc8f1562']",47,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.614,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,0.503714,,,,,,,,,,,,42b5812e-7207-4a53-9959-11c9f2a98d67,47,,"[40.0, 21.0]",16086,0,,,,1.19029,,Right Foot,,,,"[42.0, 26.0]",,Ground Pass,,5.3851647,,,Marc Roca Junqué,6866.0,,,,,Recovery,1,Regular Play,Dídac Vilá Rosselló,6886.0,Left Back,3,Espanyol,214,['b4d962a5-b7d2-44a9-9f18-80393d9aaa1d'],51,,,,,,,,,,,,,,,,,Espanyol,214,00:00:51.465,Pass,,2018/2019
,,,,,,,,,,,,,,,,,0.256428,,,,,,,,,,,,70207247-4edf-4367-9844-f2f7c3c61c84,50,,"[41.0, 25.0]",16086,0,,,,-1.815775,,Right Foot,,,,"[40.0, 21.0]",,Ground Pass,,4.1231055,,,Dídac Vilá Rosselló,6886.0,,,,,,1,Regular Play,Marc Roca Junqué,6866.0,Left Center Midfield,3,Espanyol,214,['c0ad0211-dbda-4396-a81c-0a50710d78db'],52,,,,,,,,,,,,,,,,,Espanyol,214,00:00:52.042,Pass,,2018/2019
,,,,,,,,,,,,,,,,,0.593694,,,,,,,,,,,,b206bb12-9436-4774-b7cd-7a9771f5dba9,54,,"[40.0, 20.0]",16086,0,,,,-1.0516502,,Right Foot,,,,"[44.0, 13.0]",,Ground Pass,,8.062258,,,Víctor Sánchez Mata,6758.0,,,,,,1,Regular Play,Dídac Vilá Rosselló,6886.0,Left Back,3,Espanyol,214,"['239685f5-46cc-48ce-9a8f-ace6f84a6738', 'f8a1be4a-7f39-4c33-a26a-6e8a852ea841']",53,,,,,,,,,,,,,,,,,Espanyol,214,00:00:53.276,Pass,True,2018/2019
