ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,631bf849-afa1-4812-8261-fa0d4ade0232,1,,,266254,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,14e06f36-07a6-49a7-b73d-e1acaa1b4cc8,2,,,266254,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 7577, 'name': 'Carles Planas Antolínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 6796, 'name': 'Nemanja Radoja'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6600, 'name': 'Claudio Beauvue'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 27342, 'name': 'Josep Señé Escudero'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 6038, 'name': 'John Guidetti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Celta Vigo,209,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2b2f67e3-223e-4881-8953-7adbeaf11ab2,3,,,266254,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['983cd4c8-a42d-4069-9fe2-41786afb9027'],0,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,983cd4c8-a42d-4069-9fe2-41786afb9027,4,,,266254,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['2b2f67e3-223e-4881-8953-7adbeaf11ab2'],0,,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2aefbbc0-c6d2-4384-a3f1-e6ae00b6d46a,1678,,,266254,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Barcelona,217,['22770af0-5b2a-4e3f-a3a0-4373eb573ac1'],0,,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,22770af0-5b2a-4e3f-a3a0-4373eb573ac1,1679,,,266254,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Barcelona,217,['2aefbbc0-c6d2-4384-a3f1-e6ae00b6d46a'],0,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.794644,,,,,,,,,,,,,,,ca0e0071-8c23-4eee-b216-fc0a6926a386,5,,"[61.0, 40.1]",266254,0,,,,,2.3906636,,Right Foot,,,,"[58.0, 42.9]",,Ground Pass,4.103657,,,,,Daniel Wass,6797.0,,,,,Kick Off,1,From Kick Off,John Guidetti,6038.0,Center Forward,2,Celta Vigo,209,['e095b1c9-4984-48fe-bc81-ee6f582ceae8'],0,,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.285,Pass,,2015/2016
,,,,,,,,,,,,,,,,,2.631385,,,,,,,,,,,,,,,66a6dfef-b17b-4926-9edc-b509c3a9ccc6,8,,"[56.8, 43.4]",266254,0,,,,,-2.5590672,,Right Foot,,,,"[27.2, 23.9]",,Ground Pass,35.445873,,,,,Jonathan Castro Otto,6802.0,,,,,,1,From Kick Off,Daniel Wass,6797.0,Right Center Midfield,2,Celta Vigo,209,['02e9c3ed-51a0-4301-a7f0-cee94774fdbb'],1,,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:01.119,Pass,,2015/2016
,,,,,,,,,,,,,,,,,2.06535,,,,,,,,,,,,,,,a3f0ffc5-8bfa-4100-9bc6-94d3b5f7870e,11,,"[28.4, 25.3]",266254,0,,,,,1.5638999,,Right Foot,,,,"[28.7, 68.8]",,Ground Pass,43.501034,,,,,Hugo Mallo Novegil,6805.0,,True,,,,1,From Kick Off,Jonathan Castro Otto,6802.0,Left Center Back,2,Celta Vigo,209,['597afd1d-cd7f-4e3a-8bd3-32a7639c5e2c'],3,,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:03.868,Pass,,2015/2016
,,,,,,,,,,,,,,,,,2.241,,,,,,,,,,,,,,,e3c49085-6572-4a56-a496-8e79a4fe7bc4,14,,"[30.7, 71.0]",266254,0,,,,,-0.43013248,,Right Foot,,,,"[58.6, 58.2]",,High Pass,30.69609,,,,,Daniel Wass,6797.0,,,,,,1,From Kick Off,Hugo Mallo Novegil,6805.0,Right Back,2,Celta Vigo,209,['871e3a11-3f1a-40f3-b3ba-00aeae04bed8'],7,,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:07.153,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.767,,,,,,,,,,,,,,,005650a0-02fa-4688-aee0-77785748f002,17,,"[58.2, 58.5]",266254,0,,,,,-0.13067958,,Head,,,,"[75.7, 56.2]",,High Pass,17.650496,,,Incomplete,,John Guidetti,6038.0,,,,,,1,From Kick Off,Daniel Wass,6797.0,Right Center Midfield,2,Celta Vigo,209,"['5d86a9e7-fcd6-45eb-a353-3be3cc8a6a85', 'b4e42e7f-0dd3-44a0-a35d-1e92c4e260cf']",9,,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:09.434,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.0213,,,,,,,,,,,,,,,b4e42e7f-0dd3-44a0-a35d-1e92c4e260cf,19,,"[44.4, 23.9]",266254,0,,,,,-0.044415217,,Head,,,,"[57.9, 23.3]",,Low Pass,13.513327,,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,Recovery,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Celta Vigo,209,"['005650a0-02fa-4688-aee0-77785748f002', '7ace583b-e75b-45b3-a504-05de2bb39a2b', 'e1cce367-cbf1-4526-9f5e-1262c5f28104']",11,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.201,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.41138,,,,,,,,,,,,,,,e1cce367-cbf1-4526-9f5e-1262c5f28104,21,,"[62.2, 56.8]",266254,0,,,,,2.5081668,,Right Foot,,,,"[49.4, 66.2]",,Low Pass,15.880806,,,,,Hugo Mallo Novegil,6805.0,,,,,Recovery,1,From Kick Off,Daniel Wass,6797.0,Right Center Midfield,2,Celta Vigo,209,"['0cdd53cc-5e68-45b6-af4d-e9a119165f5a', 'b4e42e7f-0dd3-44a0-a35d-1e92c4e260cf']",12,,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:12.222,Pass,,2015/2016
