bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.972989,,,,,,,,,,,,cfd39f17-f38a-4094-87b5-469239a27757,2627,,"[72.3, 50.8]",68330,69,,,,1.3258177,,Left Foot,,,,"[78.8, 76.8]",,Ground Pass,,26.800186,,,Raúl González Blanco,15607.0,,,,,,2,Regular Play,José Maria Gutiérrez Hernández,25924.0,Center Attacking Midfield,156,Real Madrid,220,['023c327d-3468-43f5-9335-3c9f6f35cc8b'],31,,,,,,,,,,,,,,,,Real Madrid,220,00:24:31.490,Pass,,2006/2007
,,,,,,,,,,,,,,,0.748137,,,,,,,,,,,,bf7e6be0-158a-4972-b657-36864e896eae,2630,,"[79.0, 76.5]",68330,69,,,,-1.1358293,,Left Foot,,,,"[83.6, 66.6]",,Ground Pass,,10.916501,,,Róbson de Souza,25930.0,,,,,,2,Regular Play,Raúl González Blanco,15607.0,Right Wing,156,Real Madrid,220,['70346fba-f06e-48ab-a9a2-cd21a9ec7002'],34,,,,,,,,,,,,,,,,Real Madrid,220,00:24:34.677,Pass,,2006/2007
,,,,,,,,,,,,,,,0.682433,,,,,,,,,,,,d92e5e24-6171-4029-96e9-fd6ed3996c9b,2633,,"[83.6, 66.6]",68330,69,,,,-3.020969,,Left Foot,,,,"[77.0, 65.8]",,Ground Pass,,6.6483083,,,Raúl González Blanco,15607.0,,,,,,2,Regular Play,Róbson de Souza,25930.0,Left Wing,156,Real Madrid,220,['056389bd-00cd-4d3f-9697-33a2037f872c'],35,,,,,,,,,,,,,,,,Real Madrid,220,00:24:35.544,Pass,,2006/2007
,,,,,,,,,,,,,,,1.003104,,,,,,,,,,,,be20ddb3-c07b-426c-aa26-1c7f3efdc9e5,2636,,"[76.8, 64.4]",68330,69,,,,-1.3138319,,Left Foot,,,,"[80.4, 50.7]",,Ground Pass,,14.165098,,,José Maria Gutiérrez Hernández,25924.0,,,,,,2,Regular Play,Raúl González Blanco,15607.0,Right Wing,156,Real Madrid,220,['9833d6cb-884a-4aba-97f0-7fd82f119fce'],36,,,,,,,,,,,,,,,,Real Madrid,220,00:24:36.379,Pass,,2006/2007
,,,,,,,,,,,,,,,0.340111,,,,,,,,,,,,b56f9da5-6d10-4707-82dd-5eea622df0dc,2639,,"[80.4, 50.7]",68330,69,,,,2.2166123,,Left Foot,,,,"[75.2, 57.6]",,Ground Pass,,8.640023,,,Raúl González Blanco,15607.0,,,,,,2,Regular Play,José Maria Gutiérrez Hernández,25924.0,Center Attacking Midfield,156,Real Madrid,220,['6295c78a-fd44-4aa6-b59d-88acced9d650'],37,,,,,,,,,,,,,,,,Real Madrid,220,00:24:37.854,Pass,,2006/2007
,,,,,,,,,,,,,,,1.824178,,,,,,,,,,,,11b48f6b-1e5f-45bc-9b39-a4bfe7561193,2642,,"[77.8, 61.8]",68330,69,,,,1.2106032,,Left Foot,,,,"[83.6, 77.2]",,Ground Pass,,16.456001,,,Mahamadou Diarra,26021.0,,,,,,2,Regular Play,Raúl González Blanco,15607.0,Right Wing,156,Real Madrid,220,['acba4bde-99e2-401d-98c1-f6b49e6375e8'],39,,,,,,,,,,,,,,,,Real Madrid,220,00:24:39.524,Pass,,2006/2007
,,,,,,,,,,,,,,,1.562918,,,,,,,,,,,,064aeab7-687e-45cd-acec-eba6c119370d,2645,,"[83.7, 75.8]",68330,69,,,,-2.8952055,,Right Foot,,,,"[67.0, 71.6]",,Ground Pass,,17.220047,,,Sergio Ramos García,5201.0,,,,,,2,Regular Play,Mahamadou Diarra,26021.0,Left Defensive Midfield,156,Real Madrid,220,['89f51014-0119-45e0-8f55-0e1781925b84'],43,,,,,,,,,,,,,,,,Real Madrid,220,00:24:43.059,Pass,,2006/2007
,,,,,,,,,,,,,,,4.9629,,,,,,,,,,,,f51cee80-2202-41c9-a7b0-e11bb6eb1d4c,2648,,"[69.2, 64.9]",68330,69,,,,0.3708913,,Left Foot,,,,"[108.8, 80.3]",,High Pass,,42.489056,Out,,Raúl González Blanco,15607.0,,,,,,2,Regular Play,Sergio Ramos García,5201.0,Right Back,156,Real Madrid,220,['c0f6a33e-7808-446e-a2d1-7096088daa98'],46,,,,,,,,,,,,,,,,Real Madrid,220,00:24:46.280,Pass,,2006/2007
,,,,,,,,,,,,,,,2.447991,,,,,,,,,,,,385f6b08-f844-4f6c-a7ab-a1cbb2380ed0,2650,,"[10.2, 1.0]",68330,70,,,,0.11655788,,,,,,"[41.8, 4.7]",,High Pass,,31.815876,Incomplete,,Javier Pedro Saviola Fernández,25962.0,,,,,Throw-in,2,From Throw In,Sylvio Mendes Campos Junior,25854.0,Left Back,157,Barcelona,217,"['87e6b143-050d-44c0-b7cf-60b281a11187', 'fbc79abc-7229-44dc-b962-1fd43ac126f1']",9,,,,,,,,,,,,,,,,Barcelona,217,00:25:09.908,Pass,,2006/2007
,,,,,,,,,,,,,,,1.764571,,,,,,,,,,,,fbc79abc-7229-44dc-b962-1fd43ac126f1,2652,,"[79.2, 76.3]",68330,70,,,,0.5033994,,Head,,,,"[86.1, 80.1]",,Low Pass,,7.877182,Out,,,,,,,,Recovery,2,From Throw In,Iván Helguera Bujía,15584.0,Right Center Back,157,Barcelona,217,['385f6b08-f844-4f6c-a7ab-a1cbb2380ed0'],12,,,,,,,,,,,,,,,,Real Madrid,220,00:25:12.356,Pass,,2006/2007
,,,,,,,,,,,,,,,1.935742,,,,,,,,,,,,c0b981a0-e113-4b44-9ede-d1690c1b097f,2653,,"[36.8, 1.0]",68330,70,,,,2.9917803,,,,,,"[20.9, 3.4]",,Low Pass,,16.080112,,,Carles Puyol i Saforcada,20125.0,,,,,Throw-in,2,From Throw In,Sylvio Mendes Campos Junior,25854.0,Left Back,158,Barcelona,217,['6a31a32e-a53d-40e3-9190-0cb107cf07a0'],25,,,,,,,,,,,,,,,,Barcelona,217,00:25:25.733,Pass,,2006/2007
,,,,,,,,,,,,,,,4.576305,,,,,,,,,,,,09dd4cc0-9a61-4512-a48c-bb6c1d8bb6c6,2657,,"[21.1, 3.3]",68330,70,,,,-0.057935093,,Left Foot,,,,"[71.1, 0.4]",,High Pass,,50.08403,Out,,Andrés Iniesta Luján,5216.0,,,,,,2,From Throw In,Carles Puyol i Saforcada,20125.0,Left Center Back,158,Barcelona,217,['10b5ac9a-5edb-4408-905b-d26fb8feb797'],28,,,,,,,,,,,,,,,,Barcelona,217,00:25:28.159,Pass,,2006/2007
,,,,,,,,,,,,,,,1.449554,,,,,,,,,,,,04d61edf-466c-4ab4-a7d9-bbec22910797,2659,,"[55.1, 80.0]",68330,70,True,,,-0.16910122,,,,,,"[71.5, 77.2]",,Low Pass,,16.637308,,,Raúl González Blanco,15607.0,,,,,Throw-in,2,From Throw In,Sergio Ramos García,5201.0,Right Back,159,Real Madrid,220,['f3bb84ea-ec99-47ba-a75e-89ce67037a53'],40,,,,,,,,,,,,,,,,Real Madrid,220,00:25:40.080,Pass,,2006/2007
,,,,,,,,,,,,,,,1.278758,,,,,,,,,,,,ffb9606a-f62c-4643-981c-2e3684c0a076,2662,,"[67.4, 75.2]",68330,70,,,,-1.388117,,Left Foot,,,,"[72.0, 50.3]",,Ground Pass,,25.321335,,,José Maria Gutiérrez Hernández,25924.0,,,,,,2,From Throw In,Raúl González Blanco,15607.0,Right Wing,159,Real Madrid,220,"['14752bd0-49ca-4710-9a0a-671295af371b', '3a8cb4bb-a264-4cee-bdc9-7ccc3efd41ac']",42,,,,,,,,,,,,,,,,Real Madrid,220,00:25:42.903,Pass,True,2006/2007
,,,,,,,,,,,,,,,1.493673,,,,,,,,,,,,16b980df-1ff8-4bdc-b92d-b00d7ef3cef1,2665,,"[75.8, 46.1]",68330,70,,,,-1.0748405,,Left Foot,,,,"[87.0, 25.4]",,Ground Pass,,23.535717,,,Róbson de Souza,25930.0,,,,,,2,From Throw In,José Maria Gutiérrez Hernández,25924.0,Center Attacking Midfield,159,Real Madrid,220,['a1baa58f-a590-4626-ac30-574c684d9612'],45,,,,,,,,,,,,,,,,Real Madrid,220,00:25:45.397,Pass,,2006/2007
,,,,,,,,,,,,,,,0.865822,,,,,,,,,,,,64d1a325-60f5-4a2e-b594-f025b47be4d4,2671,,"[15.0, 72.1]",68330,70,,,,-1.826238,,Left Foot,,,,"[10.9, 56.4]",,Ground Pass,,16.226522,,,Lilian Thuram,15071.0,,,,,Recovery,2,From Throw In,Gianluca Zambrotta,15774.0,Right Back,159,Real Madrid,220,"['29d25892-3205-49d0-869d-bd131d81ce05', '92cf895a-fb8c-4154-be96-bbf0f30bcb56']",50,,,,,,,,,,,,,,,,Barcelona,217,00:25:50.694,Pass,True,2006/2007
,,,,,,,,,,,,,,,1.589538,,,,,,,,,,,,5c43a1db-2618-43dd-ac55-38b4421cb344,2675,,"[11.8, 56.8]",68330,70,,,,0.54477,,Other,,,,"[35.4, 71.1]",,High Pass,,27.594383,Incomplete,,Ludovic Giuly,25878.0,,,,,,2,From Throw In,Lilian Thuram,15071.0,Right Center Back,159,Real Madrid,220,"['537a0b3e-427a-443a-8895-9c8d6375dc32', '963585c6-107f-40c4-b19d-878dc723c438', 'a9cc6c50-dbb8-4ea5-90d1-9e66fcf3ffaa']",52,,,,,,,,,,,,,,,,Barcelona,217,00:25:52.707,Pass,True,2006/2007
,,,,,,,,,,,,,,,0.775811,,,,,,,,,,,,9f21429e-e8d9-487d-bddc-eb265b72e15a,2679,,"[113.6, 11.7]",68330,70,,,,1.5873238,,Left Foot,True,,,"[113.2, 35.9]",,Low Pass,,24.203306,Incomplete,,Róbson de Souza,25930.0,,,,,,2,From Throw In,Roberto Carlos da Silva,25926.0,Left Back,159,Real Madrid,220,"['10e92c0a-3f57-4f72-a693-8c8a40264bc8', '3345a0b5-bca4-4fbf-babf-b97511607be2']",58,,,,,,,,,,,,,,,,Real Madrid,220,00:25:58.802,Pass,,2006/2007
,,,,,,,,,,,,,,,0.805532,,,,,,,,,,,,0a5ef9e6-bc2e-4257-a973-2fa9083a76da,2682,,"[22.7, 47.5]",68330,71,,,,1.8610612,,Right Foot,,,,"[20.4, 55.2]",,Low Pass,,8.036168,,,Xavier Hernández Creus,20131.0,,,,,Recovery,2,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,160,Barcelona,217,['3da8a8cd-b351-4c84-b303-c32258a3d624'],1,,,,,,,,,,,,,,,,Barcelona,217,00:26:01.135,Pass,,2006/2007
,,,,,,,,,,,,,,,1.161995,,,,,,,,,,,,304b7495-52c4-4c15-b43c-9e19dee8765e,2686,,"[28.1, 57.2]",68330,71,,,,-0.49972537,,Right Foot,,,,"[46.6, 47.1]",,Ground Pass,,21.077477,,,Javier Pedro Saviola Fernández,25962.0,,,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Center Defensive Midfield,160,Barcelona,217,"['0401ebbf-9fec-421d-a79a-3ddf26d46808', '06f059a8-eb37-498e-8339-2904a0e421e9']",3,,,,,,,,,,,,,,,,Barcelona,217,00:26:03.307,Pass,True,2006/2007
