ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.056787,,,,,,,,,,,,,,6b915a89-4c04-4711-9c89-cc5b947e4d91,17,,,"[52.0, 15.0]",16029,0,,,,-0.7853982,,Right Foot,,,,"[63.0, 4.0]",,Ground Pass,,15.556349,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['756cb017-7f79-40fb-b37d-bf595f9b36df'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.958,Pass,,2018/2019
,,,,,,,,,,,,,,,0.924085,,,,,,,,,,,,,,4764f06a-3533-4a84-a399-93456bdb3274,20,,,"[62.0, 3.0]",16029,0,,,,2.5213432,,Right Foot,,,,"[55.0, 8.0]",,Ground Pass,,8.602325,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Left Wing,2,Barcelona,217,['edaef80a-bc7e-4914-95c2-a5562017f399'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.052,Pass,,2018/2019
,,,,,,,,,,,,,,,1.103362,,,,,,,,,,,,,,03c2ea6b-0799-4b5d-96ef-cf6b796bcdc7,23,,,"[55.0, 8.0]",16029,0,,,,2.6098685,,Left Foot,,,,"[38.0, 18.0]",,Low Pass,,19.723083,,,Clément Lenglet,6826.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['8af43f5f-7927-4c5f-8872-a46a65110124'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.862,Pass,,2018/2019
,,,,,,,,,,,,,,,1.578461,,,,,,,,,,,,,,d0f884a6-a26d-433c-811a-04e6226c1635,26,,,"[36.0, 23.0]",16029,0,,,,1.3876855,,Right Foot,,,,"[41.0, 50.0]",,Ground Pass,,27.45906,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['30ad83d0-ae8a-4d04-929e-44d6c6a2280a'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.665,Pass,,2018/2019
,,,,,,,,,,,,,,,0.995506,,,,,,,,,,,,,,ee02cdc9-a64f-4b47-8842-e6ce6b3f3810,29,,,"[41.0, 50.0]",16029,0,,,,1.0882831,,Right Foot,,,,"[52.0, 71.0]",,Ground Pass,,23.70654,,,Nélson Cabral Semedo,6374.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['1b27a286-d03e-4a9d-a69d-8352214fa3db'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.505,Pass,,2018/2019
,,,,,,,,,,,,,,,0.969753,,,,,,,,,,,,,,eeb5c2d5-18dd-46f1-a12e-574f1274cb5f,32,,,"[54.0, 72.0]",16029,0,,,,0.348771,,Right Foot,,,,"[65.0, 76.0]",,Ground Pass,,11.7046995,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,Right Back,2,Barcelona,217,['4c1cf0e3-d917-442b-92fc-7016e7b227dc'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.669,Pass,,2018/2019
,,,,,,,,,,,,,,,0.564526,,,,,,,,,,,,,,9325667b-275d-496f-982b-50217b873558,35,,,"[65.0, 76.0]",16029,0,,,,3.1415927,,Left Foot,,,,"[53.0, 76.0]",,Ground Pass,,12.0,,,Nélson Cabral Semedo,6374.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['4801bf52-fd8c-4c6e-9239-8bb30211fbf0'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.799,Pass,,2018/2019
,,,,,,,,,,,,,,,1.247426,,,,,,,,,,,,,,62baefca-f2ef-45b1-b856-b2fdcb7f419e,38,,,"[53.0, 76.0]",16029,0,,,,-2.55359,,Right Foot,,,,"[38.0, 66.0]",,Ground Pass,,18.027756,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,Right Back,2,Barcelona,217,['c16d49dc-2566-4757-a412-2cd3ef208763'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.360,Pass,,2018/2019
,,,,,,,,,,,,,,,1.259555,,,,,,,,,,,,,,6cdcc0ae-5e29-460b-aa75-538acea49053,41,,,"[49.0, 55.0]",16029,0,,,,-1.5337762,,Right Foot,,,,"[50.0, 28.0]",,Ground Pass,,27.018513,,,Clément Lenglet,6826.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['98877ea2-9f91-49d2-b798-407a8767825c'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.173,Pass,,2018/2019
,,,,,,,,,,,,,,,1.35561,,,,,,,,,,,,,,4c0d9a3d-40ba-42a0-a0aa-947732d10ced,44,,,"[57.0, 17.0]",16029,0,,,,-1.152572,,Left Foot,,,,"[61.0, 8.0]",,Ground Pass,,9.848858,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['38d92096-8dee-4e0a-b7e4-f26c79de4082'],34,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.150,Pass,,2018/2019
