50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cd2509f6-7215-4a2d-9f53-867a7893680a,1,,,267492,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6998, 'name': 'Rafael Alcântara do Nascimento'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 12}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 19}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,471fc984-292e-4cee-8fa8-b9f7c99dcad4,2,,,267492,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 27305, 'name': 'Germán Darío Lux'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23800, 'name': 'Laureano Sanabria Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 6727, 'name': 'Raúl Albentosa Redal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5582, 'name': 'Celso Borges Mora'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 6733, 'name': 'Pedro Mosquera Parada'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 6729, 'name': 'Guilherme dos Santos Torres'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 6868, 'name': 'Bruno Alexandre Vilela Gama'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 6779, 'name': 'Emre Çolak'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 8}, {'player': {'id': 6731, 'name': 'Florin Andone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cc919232-c289-426b-b784-08609b62b467,3,,,267492,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['b31b521f-157b-48f2-a983-a7643ec3fc46'],0,,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b31b521f-157b-48f2-a983-a7643ec3fc46,4,,,267492,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['cc919232-c289-426b-b784-08609b62b467'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,34d77546-cf9c-44dc-b0b0-5be51dc6ca2f,1961,,,267492,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,81,Barcelona,217,['c0c16fd0-7d54-4b80-9c14-f3f6ddf2b84b'],0,,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c0c16fd0-7d54-4b80-9c14-f3f6ddf2b84b,1962,,,267492,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,81,Barcelona,217,['34d77546-cf9c-44dc-b0b0-5be51dc6ca2f'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,2.0819,,,,,,,,,,,,,,b75ac5ea-6362-423f-ad39-d89349dcca3e,5,,"[61.0, 40.1]",267492,0,,,,,2.8220994,,Right Foot,,,,"[47.7, 44.5]",,Ground Pass,,14.008925,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['05a5c4ee-9a10-4c34-aa7d-e00dd1823c09'],1,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.332,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.0538,,,,,,,,,,,,,,f8428fe3-8f5c-4349-8466-f814d86bfb09,8,,"[48.0, 44.9]",267492,0,,,,,2.1077888,,Right Foot,,,,"[35.2, 66.4]",,Ground Pass,,25.02179,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Left Center Midfield,2,Barcelona,217,['71e175a0-5895-4b62-b325-31484457a225'],3,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.454,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.674674,,,,,,,,,,,,,,eab37354-dbc6-43a3-962c-9653d996a9d0,11,,"[35.8, 64.8]",267492,0,,,,,-1.8317245,,Right Foot,,,,"[30.7, 45.7]",,Ground Pass,,19.769169,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['29e56bcc-00d7-4426-b191-411d8c342bb5'],5,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.945,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.407919,,,,,,,,,,,,,,15c48686-ca0e-43b4-9f23-16a22d5d4753,14,,"[38.4, 37.8]",267492,0,,,,,-1.3108934,,Right Foot,,,,"[45.5, 11.1]",,Ground Pass,,27.627884,,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Center Back,2,Barcelona,217,['a2ed94be-55c2-4a82-b858-aff0633086ca'],10,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.842,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.3031,,,,,,,,,,,,,,591f531c-a14d-4761-8887-f830a3f7e875,17,,"[48.2, 15.3]",267492,0,,,,,1.8771635,,Left Foot,,,,"[42.0, 34.9]",,Ground Pass,,20.557238,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,['9cd5fa59-f259-421e-8092-a3bab9f5992e'],14,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.131,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.975059,,,,,,,,,,,,,,67510d7c-f6ab-4c5e-bbd1-5f477362f33e,20,,"[42.4, 39.1]",267492,0,,,,,1.3075473,,Right Foot,,,,"[50.0, 67.3]",,Ground Pass,,29.206163,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Center Back,2,Barcelona,217,['24921046-c9ca-40a8-85f3-18a7da74846f'],16,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.926,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.8546,,,,,,,,,,,,,,83396d46-bc22-4e94-85ad-26a5772970fc,24,,"[60.3, 67.4]",267492,0,,,,,0.9151007,,Left Foot,,,,"[69.3, 79.1]",,Ground Pass,,14.761098,,,,Arda Turan,11094.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['0d8c74aa-1a15-4901-9059-b3baf435875e'],20,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.886,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.4226,,,,,,,,,,,,,,78d3a39b-6176-49a2-9e98-7f34f6b0787e,28,,"[67.8, 78.2]",267492,0,,,,,0.0,,Right Foot,,,,"[77.9, 78.2]",,Low Pass,,10.1,,,,Rafael Alcântara do Nascimento,6998.0,,,,,,1,From Kick Off,Arda Turan,11094.0,Right Wing,2,Barcelona,217,['d291036c-7c12-472f-82e6-4d0bc1495ed7'],22,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.887,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.587005,,,,,,,,,,,,,,70953fff-1998-49a8-abcb-b514f1303175,32,,"[66.9, 65.5]",267492,0,,,,,-1.9766852,,Left Foot,,,,"[51.3, 29.2]",,Low Pass,,39.510124,,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Rafael Alcântara do Nascimento,6998.0,Right Wing Back,2,Barcelona,217,['75efcc27-49c4-41c6-a885-33498c211504'],27,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.054,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.5276,,,,,,,,,,,,,,fe05544e-7462-4bc0-b045-a22596c70349,35,,"[56.9, 25.7]",267492,0,,,,,-0.77390444,,Left Foot,,,,"[78.9, 4.2]",,Ground Pass,,30.761177,,,,Lucas Digne,6849.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,['bcafff19-f172-4f71-a1e7-1d4ade1e5650'],31,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.355,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.208082,,,,,,,,,,,,,,650d9110-9e59-4321-b425-ab730779c7f6,38,,"[77.5, 5.2]",267492,0,,,,,2.7610862,,Left Foot,,,,"[63.5, 10.8]",,Ground Pass,,15.078462,,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Lucas Digne,6849.0,Left Wing Back,2,Barcelona,217,['1335bb03-d0be-4ff0-a191-077de0516331'],34,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.068,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.402183,,,,,,,,,,,,,,86f50f84-0b80-47d2-b84b-a5a1485df75e,41,,"[63.5, 16.7]",267492,0,,,,,2.0017877,,Left Foot,,,,"[53.2, 39.1]",,Ground Pass,,24.654613,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,['6ef40b94-ecc2-4f42-b308-ba769d66ef53'],36,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.919,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.210748,,,,,,,,,,,,,,8ea09d3f-f6d5-4820-8fc4-4cfba580fb8f,44,,"[53.7, 45.0]",267492,0,,,,,1.328405,,Right Foot,,,,"[58.2, 63.2]",,Ground Pass,,18.748066,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Center Back,2,Barcelona,217,['015976e9-3729-4f92-88a8-514f937b4c52'],39,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.671,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.957902,,,,,,,,,,,,,,389e79a7-94e5-403f-88c3-c365c370ac1c,47,,"[65.4, 62.6]",267492,0,,,,,-1.6154724,,Right Foot,,,,"[63.5, 20.1]",,Low Pass,,42.54245,,,,Jérémy Mathieu,10609.0,,True,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['2b9c5f00-373a-4f92-a76a-fdef76ba93a8'],45,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.105,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.163388,,,,,,,,,,,,,,5bd9ba53-ea61-4003-b72e-ed320248447d,50,,"[68.5, 14.3]",267492,0,,,,,-0.8430266,,Left Foot,,,,"[78.3, 3.3]",,Ground Pass,,14.732278,,,,Lucas Digne,6849.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,['dcde1dcf-5bf7-4ee8-b84c-bf3882e30706'],48,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.587,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.047569,,,,,,,,,,,,,,1580c5d3-0615-4511-bf31-c9c0fc7e9d11,53,,"[82.7, 3.7]",267492,0,,,,,2.8053968,,Left Foot,,,,"[64.1, 10.2]",,Ground Pass,,19.703045,,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Lucas Digne,6849.0,Left Wing Back,2,Barcelona,217,['2ffefe4f-4a32-49b9-b594-5613715b5647'],51,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.339,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.805747,,,,,,,,,,,,,,24b578a7-25ed-42e9-a05a-ab3927199278,57,,"[64.9, 10.8]",267492,0,,,,,2.2472937,,Left Foot,,,,"[48.2, 31.6]",,Ground Pass,,26.67452,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,"['7a24b7a6-4846-4f1e-b821-6f06299cb921', 'ebbc4013-a2f4-407c-943d-6cf80634f44c']",53,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.488,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,5.0779,,,,,,,,,,,,,,b9216ecb-bca4-44f8-b58b-b95c98122fa2,60,,"[53.2, 40.8]",267492,0,,,,,0.5911734,,Right Foot,,,,"[111.3, 79.8]",,High Pass,,69.975784,,Out,,Arda Turan,11094.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Center Back,2,Barcelona,217,['85bdffeb-adcb-4edf-9f36-2348420ccb48'],57,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.179,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.9177,,,,,,,,,,,,,,1f8c197c-de52-4caa-b0d1-4846947b8455,62,,"[20.1, 0.1]",267492,1,,,,,0.18673877,,,,,,"[41.8, 4.2]",,High Pass,,22.083931,,,,Bruno Alexandre Vilela Gama,6868.0,,,,,Throw-in,1,From Throw In,Fernando Navarro i Corbacho,6913.0,Left Back,3,RC Deportivo La Coruña,219,['15a365ff-7872-4351-a4d1-2a0e40911e6f'],20,,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:20.526,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.5545,,,,,,,,,,,,,,ff7fe217-cdd6-4176-bec1-3efc2f1cce1f,64,,"[42.0, 4.2]",267492,1,,,,True,0.10556635,,,,,,"[57.1, 5.8]",,High Pass,,15.184531,,Incomplete,,Florin Andone,6731.0,,,,,,1,From Throw In,Bruno Alexandre Vilela Gama,6868.0,Left Midfield,3,RC Deportivo La Coruña,219,"['1f51a74c-2824-41ed-8d15-b7e6036fae19', 'b34c721f-1836-45f1-ae20-fc3f851a184c', 'de2f6c10-7393-45b3-bfe3-d491cbfb49fa']",22,,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:22.444,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,2.4777,,,,,,,,,,,,,,1f51a74c-2824-41ed-8d15-b7e6036fae19,67,,"[63.0, 74.3]",267492,1,,,,,0.0,,Right Foot,,,,"[91.3, 74.3]",,High Pass,,28.3,,Incomplete,,Rafael Alcântara do Nascimento,6998.0,,,,,Recovery,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Center Back,3,RC Deportivo La Coruña,219,"['06ae82b0-9da4-47ab-a72b-cf8191f9fc8d', '8a1e224c-636b-419f-bf36-f8bf71f4e79e', 'ff7fe217-cdd6-4176-bec1-3efc2f1cce1f']",23,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.999,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.2944,,,,,,,,,,,,,,38ee0ef1-76c8-449a-a468-18aac2de2a2a,71,,"[82.3, 75.9]",267492,1,,,,,-1.3690339,,Left Foot,,,,"[84.1, 67.1]",,High Pass,,8.982204,,,,Sergio Busquets i Burgos,5203.0,,,,,Recovery,1,From Throw In,Arda Turan,11094.0,Right Wing,3,RC Deportivo La Coruña,219,['5653f47b-1957-460a-8a71-49f9a313b941'],27,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:27.419,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.1471,,,,,,,,,,,,,,57ec6773-9ee7-4576-ad3a-1a2703739f3e,80,,"[35.6, 22.7]",267492,1,,,,,3.098454,,Right Foot,,,,"[21.7, 23.3]",,Ground Pass,,13.912944,,,,Sidnei Rechel da Silva Júnior,6777.0,,,,,,1,From Throw In,Guilherme dos Santos Torres,6729.0,Left Center Midfield,3,RC Deportivo La Coruña,219,"['2cc58be1-4242-4ff0-9a89-d2ddeb32ea14', 'd0933814-2314-49c2-8ada-f179bc36a2ca']",32,,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:32.269,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,1.8318,,,,,,,,,,,,,,dffb2d53-88c3-49ed-93d8-3c9aa3382c89,83,,"[20.8, 22.7]",267492,1,,,,,2.2016299,,Right Foot,,,,"[5.9, 43.1]",,Ground Pass,,25.262028,,,,Germán Darío Lux,27305.0,,,,,,1,From Throw In,Sidnei Rechel da Silva Júnior,6777.0,Left Center Back,3,RC Deportivo La Coruña,219,"['1cdb8a15-6005-4162-9732-426b8e1eb95e', 'ca223ffd-2d4e-4111-be93-bb52d652786d']",34,,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:34.416,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,3.0924,,,,,,,,,,,,,,2f0f7769-53e7-4529-9168-7905b26a9550,85,,"[6.6, 44.5]",267492,1,,,,,-0.0125217065,,Right Foot,,,,"[62.5, 43.8]",,High Pass,,55.90438,,Incomplete,,Emre Çolak,6779.0,,,,,,1,From Throw In,Germán Darío Lux,27305.0,Goalkeeper,3,RC Deportivo La Coruña,219,"['8ae108d2-c568-4570-b452-9e01db527998', '92ec7dcb-2af4-46e4-8b78-0087c8f1ba10']",36,,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:36.248,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.5176,,,,,,,,,,,,,,8ae108d2-c568-4570-b452-9e01db527998,87,,"[57.6, 36.3]",267492,1,,,,,-0.36397895,,Head,,,,"[78.6, 28.3]",,High Pass,,22.472204,,,,Neymar da Silva Santos Junior,4320.0,,,,,Recovery,1,Regular Play,Jérémy Mathieu,10609.0,Left Center Back,4,Barcelona,217,"['2f0f7769-53e7-4529-9168-7905b26a9550', '994f197a-dd41-4694-9b9e-ef1bb0b65db8']",39,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:39.340,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.583,,,,,,,,,,,,,,f783ed69-7545-4d15-8b87-bf5484c9c6f5,92,,"[65.9, 49.4]",267492,1,,,,,-0.32942304,,Right Foot,,,,"[77.6, 45.4]",,Low Pass,,12.364869,,Incomplete,,,,,,,,Interception,1,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,4,Barcelona,217,['fa4781f9-eded-43a2-8f18-53fbb7e400bb'],44,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:44.835,Pass,,2016/2017
