ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,0.673487,,,,,,,,,,,,,252b6203-ab8b-4bcc-8310-fbf777e44299,17,,,"[55.5, 9.3]",3773665,0,,,,,0.6556956,,Left Foot,,,"[64.6, 16.3]",,Ground Pass,,11.480854,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['8305ccfd-c41a-43a4-9f59-bbaab0ecd51a'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.950,Pass,,2020/2021
,,,,,,,,,,,,,1.258947,,,,,,,,,,,,,4170e7dc-02e4-4ee3-8eb4-9f403d820d6c,20,,,"[64.8, 16.5]",3773665,0,,,,,-1.2040664,,Left Foot,,,"[70.6, 1.4]",,Ground Pass,,16.175598,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,"['81415353-1c8e-4829-b2f2-3d04e157eab8', '90b03f47-3079-411c-97f9-6fa8f9e5e7ca']",13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.623,Pass,True,2020/2021
,,,,,,,,,,,,,1.262509,,,,,,,,,,,,,2236fc40-9a1d-435a-bc6b-5cb066aeeeb1,23,,,"[70.0, 1.8]",3773665,0,,,,,0.80426383,,Left Foot,,,"[83.0, 15.3]",,Low Pass,,18.741665,,,Incomplete,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Wing Back,2,Barcelona,217,"['494471c8-dd82-4b07-9f57-268e5acb6fda', '56d5fc90-54bb-42e1-ab9f-49a33e3589ab']",15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.707,Pass,,2020/2021
,,,,,,,,,,,,,0.548884,,,,,,,,,,,,,4e18db91-69cf-4c6f-9d82-df11a152b9d4,27,,,"[39.9, 63.6]",3773665,0,,,,,0.3045109,,Left Foot,,,"[50.4, 66.9]",,Ground Pass,,11.006362,,,,,Enrique Barja Afonso,24315.0,,,,,,1,Regular Play,Aridane Hernández Umpiérrez,24212.0,Right Center Back,3,Osasuna,422,['f8316fad-0160-4c78-a78d-a1d35a7d53f4'],18,,,,,,,,,,,,,,,,,Osasuna,422,00:00:18.531,Pass,,2020/2021
,,,,,,,,,,,,,0.987951,,,,,,,,,,,,,bfff3f67-fe02-47e6-96b4-e84f322a398d,31,,,"[56.7, 68.3]",3773665,0,,,,,1.9936502,,Right Foot,,,"[52.2, 78.3]",,Ground Pass,,10.965857,,,,,Roberto Torres Morales,23947.0,,,,,,1,Regular Play,Enrique Barja Afonso,24315.0,Left Center Forward,3,Osasuna,422,"['7b84876d-6bc4-42f7-b4d0-d638a312138e', 'bd450e46-cddd-477c-9fd2-a74df05539cf']",21,,,,,,,,,,,,,,,,,Osasuna,422,00:00:21.327,Pass,True,2020/2021
,,,,,,,,,,,,,1.288613,,,,,,,,,,,,,33212bf9-d609-4863-a4a8-30b2222ebb54,34,,,"[54.8, 78.1]",3773665,0,,,,,-0.25012442,,Right Foot,,,"[68.5, 74.6]",,High Pass,,14.140014,,,Incomplete,,Enrique Barja Afonso,24315.0,,,,,,1,Regular Play,Roberto Torres Morales,23947.0,Right Midfield,3,Osasuna,422,"['7d2cb12c-2835-4cf4-89cd-6fd2cfcc6793', '904ef4c4-6374-4c32-bc98-146e2fb590a1']",23,,,,,,,,,,,,,,,,,Osasuna,422,00:00:23.014,Pass,,2020/2021
,,,,,,,,,,,,,0.919225,,,,,,,,,,,,,7d2cb12c-2835-4cf4-89cd-6fd2cfcc6793,36,,,"[51.6, 5.5]",3773665,0,,,,,-0.7968919,,Left Foot,,,"[55.9, 1.1]",,Low Pass,,6.1522355,,,,,Jordi Alba Ramos,5211.0,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,"['33212bf9-d609-4863-a4a8-30b2222ebb54', 'e7ba4c35-bf49-42fd-af39-52a0663cc9c4']",24,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.303,Pass,,2020/2021
,,,,,,,,,,,,,0.441463,,,,,,,,,,,,,fda577ee-17f5-46a9-8fb5-b8f60b2e592c,38,,,"[55.7, 1.5]",3773665,0,,,,,3.0356083,,Left Foot,,,"[51.0, 2.0]",,Ground Pass,,4.726521,,,Incomplete,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Wing Back,4,Barcelona,217,"['3154529b-1c8d-435b-8edb-fb276e366509', '5301970d-9c82-41d2-be82-b06f76f270f9']",25,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.222,Pass,,2020/2021
,,,,,,,,,,,,,1.687491,,,,,,,,,,,,,eac44107-94aa-4338-9555-6593b1a72565,41,,,"[47.5, 0.1]",3773665,0,,,,,2.9559383,,,,,"[27.8, 3.8]",,Low Pass,,20.04445,,,,,Samuel Yves Umtiti,5492.0,,,,,Throw-in,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,['e4feb2e0-c3c5-45c4-ab17-0cd88609671f'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.273,Pass,,2020/2021
,,,,,,,,,,,,,2.330857,,,,,,,,,,,,,a0754fba-700a-4914-a8e5-2f2576ba3b90,45,,,"[29.8, 4.0]",3773665,0,,,,,2.1781456,,Left Foot,,,"[11.8, 29.9]",,Ground Pass,,31.54061,,,,,Marc-André ter Stegen,20055.0,,,,,,1,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,5,Barcelona,217,['e3073f84-9323-4534-9faa-44c70ce4bb6b'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.142,Pass,,2020/2021
