ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.365544,,,,,,,,,,,,,c7e45260-c585-4994-91ba-44b2fd4de872,17,,"[26.6, 53.6]",267576,0,,,,,-1.6645379,,Right Foot,,,"[23.3, 18.5]",,Ground Pass,,35.254787,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['ad310153-a30e-4011-95f4-93650eb24488'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.477,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.566046,,,,,,,,,,,,,4e88dba9-a9df-4c14-ad5c-ad6450ba140c,21,,"[18.9, 17.3]",267576,0,,,,,1.5790154,,Right Foot,,,"[18.6, 53.8]",,Ground Pass,,36.501232,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['fdc91266-2667-430f-bc8a-bbcc07f99c5f'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.628,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.250907,,,,,,,,,,,,,55a85473-8391-4b44-8eb1-a545ef2c9109,25,,"[20.0, 53.7]",267576,0,,,,,1.2768164,,Right Foot,,,"[26.6, 75.5]",,Ground Pass,,22.777182,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['1b2ba102-fa7e-4745-b8d9-4c6ee329841b', '577c5ab5-5bcb-4f22-97d5-675a917cd2c5']",17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.988,Pass,True,2015/2016
,,,,,,,,,,,,,,,,1.617584,,,,,,,,,,,,,ff058446-c63e-4a14-b094-3349d6fc5667,28,,"[26.9, 75.5]",267576,0,,,,,-2.5777233,,Right Foot,,,"[13.3, 66.9]",,Ground Pass,,16.090992,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['39505369-e5fb-4cf6-affa-5a7d616c2c97'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.053,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.806238,,,,,,,,,,,,,88ad0fee-d9e7-4b57-9e58-29a97aec2be0,31,,"[13.3, 65.5]",267576,0,,,,,-2.0586329,,Right Foot,,,"[2.9, 45.9]",,Ground Pass,,22.188286,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['9b11684e-766a-4b6d-af34-25f7949db5be'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.707,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.8284,,,,,,,,,,,,,2fad81f5-869d-40c7-9ffa-f7b781832de4,35,,"[7.5, 45.9]",267576,0,,,,,-1.5458708,,Right Foot,,,"[8.4, 9.8]",,Ground Pass,,36.111217,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,2,Barcelona,217,['51fd473c-7330-4db8-8b8f-d421b028311d'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.068,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.057346,,,,,,,,,,,,,7cfd177b-589f-4941-bea6-89d2387d5c98,38,,"[8.4, 9.8]",267576,0,,,,,-0.41757074,,Right Foot,,,"[22.6, 3.5]",,Ground Pass,,15.5348,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['45dbe456-953d-4e19-9747-44016dba10bb'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.642,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.148,,,,,,,,,,,,,b87153e5-b684-48be-8e7a-910a5e6aaf35,42,,"[21.6, 2.5]",267576,0,,,,,0.009132166,,Left Foot,,,"[43.5, 2.7]",,High Pass,,21.900913,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['3e3cb6d1-edf9-4e22-8da6-53662fdba78b'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.513,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.674778,,,,,,,,,,,,,7b906718-6250-46a4-878b-c30140f1c39a,45,,"[42.5, 2.3]",267576,0,,,,,2.0148387,,Right Foot,,,"[37.6, 12.6]",,Ground Pass,,11.406138,,Incomplete,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,"['c86ba79a-30a5-492f-8ddc-4588be8b700c', 'd35df4e0-e42b-48a7-8c48-a5bdbfad461b']",32,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.781,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.894782,,,,,,,,,,,,,0a258d4f-ccee-4e20-9b58-6660ef0b300f,49,,"[76.4, 64.5]",267576,0,,,,,-2.1975393,,Left Foot,,,"[68.0, 52.9]",,Ground Pass,,14.322011,,,,Augusto Matías Fernández,19668.0,,,,,,1,Regular Play,Saúl Ñíguez Esclapez,6381.0,Right Midfield,3,Atlético Madrid,212,['954cf7ea-4da0-41aa-93f3-ec552b301ee7'],35,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:35.747,Pass,,2015/2016
