ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.686202,,,,,,,,,,,,,c4d45234-6edf-495f-91bc-9d9d5cdc48c6,98,,"[69.2, 68.0]",69331,1,,,,,1.434799,,Right Foot,,,,"[70.5, 77.5]",,Ground Pass,,9.588534,,,,Efraín Juárez Váldez,16268.0,,,,,,1,Regular Play,Pablo Edson Barrera Acosta,26796.0,Right Wing,4,Real Zaragoza,395,['0aaf83b7-d8e9-45d7-b96d-ef63fb4af3b5'],39,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:01:39.564,Pass,,2011/2012
,,,,,,,,,,,,,,1.015963,,,,,,,,,,,,,80138d0c-f8b8-4b87-a7d7-3b986577d406,102,,"[67.9, 75.6]",69331,1,,,,,-2.6375868,,Right Foot,,,,"[51.4, 66.5]",,Ground Pass,,18.843037,,,,Maurizio Lanzaro,26715.0,,,,,,1,Regular Play,Efraín Juárez Váldez,16268.0,Right Back,4,Real Zaragoza,395,"['22695de8-b115-4679-8c5c-5b4f63ada7ea', 'ad983e79-d159-4ba9-8bbf-feab9c9ce713']",41,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:01:41.663,Pass,True,2011/2012
,,,,,,,,,,,,,,1.376816,,,,,,,,,,,,,c1e6bdef-5423-483c-894c-e36035cb2d57,105,,"[46.1, 67.1]",69331,1,,,,,-2.1873982,,Left Foot,,,,"[33.2, 48.9]",,Ground Pass,,22.308071,,,,David Mateos Ramajo,26798.0,,,,,,1,Regular Play,Maurizio Lanzaro,26715.0,Right Center Back,4,Real Zaragoza,395,['6d3544c8-71de-47a6-b042-626df813d35e'],44,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:01:44.060,Pass,,2011/2012
,,,,,,,,,,,,,,1.513082,,,,,,,,,,,,,350d8d35-d4bc-4305-ad8a-9f0f34b91574,109,,"[37.2, 47.0]",69331,1,,,,,1.4026462,,Right Foot,,,,"[42.7, 79.4]",,Ground Pass,,32.863506,,Out,,,,,,,,,1,Regular Play,David Mateos Ramajo,26798.0,Left Center Back,4,Real Zaragoza,395,['59d669d4-e709-4ea0-aa47-f7a79bf43957'],46,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:01:46.819,Pass,True,2011/2012
,,,,,,,,,,,,,,1.1021,,,,,,,,,,,,,efc59b56-0732-4f84-8b0f-4eea5e2b0f2c,111,,"[99.5, 1.0]",69331,2,,True,,,2.6143055,,,,,,"[91.6, 5.6]",,Low Pass,,9.141663,,,,Francesc Fàbregas i Soler,3478.0,,,,,Throw-in,1,From Throw In,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,5,Barcelona,217,['a543ad4d-8baf-447d-a5a9-fd914708cb08'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:02.292,Pass,,2011/2012
,,,,,,,,,,,,,,1.4367,,,,,,,,,,,,,7ccd7584-8087-4940-974f-8316c98bc985,113,,"[93.3, 16.6]",69331,2,,,,,1.9260272,,Right Foot,,,,"[88.7, 29.0]",,Ground Pass,,13.225733,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,5,Barcelona,217,['b8d4dbf3-1a7f-4fd0-b491-a16f30b6d561'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:05.211,Pass,,2011/2012
,,,,,,,,,,,,,,4.0222,,,,,,,,,,,,,2af21cc0-081a-4615-a9e7-6af7be6b6889,116,,"[89.9, 29.4]",69331,2,,,,,0.8562471,,Right Foot,,,,"[118.7, 62.6]",,High Pass,,43.950882,,Incomplete,,Xavier Hernández Creus,20131.0,,,Through Ball,True,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,5,Barcelona,217,"['527111c1-073a-42a4-8f8e-20a296d1c7d9', '61a9ba8f-126c-4f35-ba5b-b8b081e86bed']",7,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:07.516,Pass,,2011/2012
,,,,,,,,,,,,,,2.0293,,,,,,,,,,,,,673d30cf-af6e-4f57-a404-0bf7a9c4d709,120,,"[120.0, 80.0]",69331,2,,,,,-1.7766823,,Right Foot,,,,"[111.5, 39.3]",,High Pass,,41.578117,,,True,Seydou Kéita,20169.0,,True,Outswinging,,Corner,1,From Corner,Xavier Hernández Creus,20131.0,Right Center Midfield,6,Barcelona,217,['1cc47f0d-264f-41d7-84b2-e2968127d7bb'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:29.291,Pass,,2011/2012
,,,,,,,,,,,,,,2.0738,,,,,,,,,,,,,c1c8bca1-1bce-44bf-8871-db174e5d8808,123,,"[110.7, 38.3]",69331,2,,,,True,1.5150601,,,,,,"[112.0, 61.6]",,High Pass,,23.336239,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Corner,Seydou Kéita,20169.0,Center Defensive Midfield,6,Barcelona,217,"['9b43dbb7-d0da-4793-9970-357ee17966c2', 'e13dee56-be69-460b-a48f-3953f15ad202']",31,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:31.320,Pass,True,2011/2012
,,,,,,,,,,,,,,1.005152,,,,,,,,,,,,,1693ef6d-17ac-4e26-b778-ed24ed4adc58,136,,"[8.4, 18.4]",69331,2,,,,,-2.1493206,,Right Foot,,,,"[5.2, 13.5]",,Ground Pass,,5.8523498,,,,Javier Paredes Arango,26429.0,,,,,,1,From Corner,Hélder Manuel Marques Postiga,20011.0,Center Forward,6,Barcelona,217,"['09bc8a44-3119-4235-b1e6-018f33ba2c2c', '9f1b69c5-24d0-4b5a-8c96-c502e4a6458f']",39,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:02:39.486,Pass,True,2011/2012
