ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,"[14.7, 35.1]",,,,,,,,,,,4.390754,,,,,,,,,,,,,01d20ab5-8fee-4395-9503-a1285279618d,364,,"[13.9, 34.9]",69273,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,22,Barcelona,217,"['ef82e9eb-d296-4b05-8443-80a43bbe4da9', 'fabe1fe4-c1cc-44ea-90bb-bc0d9a7b1b6d']",12,,,,,,,,,,,,,,,,Barcelona,217,00:10:12.927,Carry,,2008/2009
,,,,"[21.7, 22.9]",,,,,,,,,,,1.35085,,,,,,,,,,,,,fd3ef4d7-8403-4c86-aa3c-6e022f9782bc,367,,"[26.5, 22.4]",69273,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Left Center Back,22,Barcelona,217,"['0b376eae-6cbc-4fb2-a52e-21791eac09b2', '5f41cde5-a4b9-46f1-bd3e-fd95bb19b8ca']",18,,,,,,,,,,,,,,,,Barcelona,217,00:10:18.485,Carry,,2008/2009
,,,,"[12.5, 33.2]",,,,,,,,,,,1.668821,,,,,,,,,,,,,a1ea48ff-fa82-4ad7-a778-c0497729abe5,370,,"[11.3, 34.9]",69273,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,22,Barcelona,217,"['3b66ad42-6645-4014-a989-bbd22f94d1f8', '76f0e974-13d5-4866-a2b1-3d3a87842257']",21,,,,,,,,,,,,,,,,Barcelona,217,00:10:21.742,Carry,,2008/2009
,,,,"[23.1, 20.4]",,,,,,,,,,,4.150188,,,,,,,,,,,,,8c6cfde7-d259-41d8-9776-66bcc41039ec,373,,"[18.8, 7.9]",69273,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Left Center Back,22,Barcelona,217,"['5893b651-bdf8-40b4-b580-7c6463ab5c21', '6441abbd-043f-4f41-bdd3-dc9399b81a02']",24,,,,,,,,,,,,,,,,Barcelona,217,00:10:24.979,Carry,,2008/2009
,,,,"[27.2, 55.5]",,,,,,,,,,,3.486682,,,,,,,,,,,,,8f6f9b65-4d43-430d-98db-bad7a4c2e212,376,,"[21.0, 43.8]",69273,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Rafael Márquez Álvarez,5558.0,Right Center Back,22,Barcelona,217,"['206c1372-5538-42ca-ac65-639febde0779', 'f121d85c-7776-4790-b897-2e2d8b4b04fc']",30,,,,,,,,,,,,,,,,Barcelona,217,00:10:30.480,Carry,,2008/2009
,,,,"[14.5, 39.3]",,,,,,,,,,,0.44132,,,,,,,,,,,,,022c7607-c21c-49f2-b600-055cd9bb7d53,379,,"[11.8, 43.1]",69273,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,22,Barcelona,217,"['4639a0e0-78c3-4ffb-8d74-5a894c710806', '8c6167f6-fcd8-417f-a3f8-8b8a2c9e5f5a']",36,,,,,,,,,,,,,,,,Barcelona,217,00:10:36.032,Carry,,2008/2009
,,,,"[25.5, 18.5]",,,,,,,,,,,1.465242,,,,,,,,,,,,,9c739346-4ec4-4762-af63-7790ef6ca0ca,382,,"[21.9, 19.3]",69273,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Left Center Back,22,Barcelona,217,"['494aaf69-580f-4b72-8336-d44065cbf42f', 'd1d6c1a4-63d8-4729-a888-8c0ededde548']",38,,,,,,,,,,,,,,,,Barcelona,217,00:10:38.089,Carry,,2008/2009
,,,,"[47.7, 26.0]",,,,,,,,,,,1.976556,,,,,,,,,,,,,eb16277e-1607-43f9-82b0-36f7bdd20799,385,,"[43.6, 25.7]",69273,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,22,Barcelona,217,"['20cfbb5e-65b8-402a-b07c-c00a38bec855', '26ad21c9-58fb-43a2-9889-881a990133c7']",40,,,,,,,,,,,,,,,,Barcelona,217,00:10:40.725,Carry,,2008/2009
,,,,"[54.7, 31.1]",,,,,,,,,,,2.85863,,,,,,,,,,,,,3a3c65c9-49ad-4f7f-bea9-0c96aa072077,391,,"[54.8, 39.8]",69273,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Left Center Midfield,22,Barcelona,217,"['436e36b6-c77e-41ee-80a6-7a12a6d2f033', '6ff27e50-fbf1-444c-81f5-ade42915edb4']",45,,,,,,,,,,,,,,,,Barcelona,217,00:10:45.046,Carry,,2008/2009
,,,,"[58.6, 59.6]",,,,,,,,,,,1.4783,,,,,,,,,,,,,afc6df95-3ece-495f-9947-747fd27eb508,395,,"[54.9, 60.1]",69273,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Pedro López Muñoz,6787.0,Right Back,22,Barcelona,217,"['152f7172-84c8-49ba-96d5-612c6a291965', '17aac576-62d2-4af0-bb29-233c4ba8e104']",49,,,,,,,,,,,,,,,,Real Valladolid,901,00:10:49.175,Carry,,2008/2009
