bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,4.6898,,,,,,,,,,,,,,1ce8a906-8541-4fda-85c6-d6e3cef8252c,14,,,"[58.0, 65.0]",16275,0,,,,,0.124354996,,Head,,,"[106.0, 71.0]",,High Pass,48.373547,,,Incomplete,,Diego Alejandro Rolan Silva,6739.0,,,,,Recovery,1,From Goal Kick,Víctor Laguardia Cisneros,6615.0,Right Center Back,3,Barcelona,217,"['06be782c-167d-4c92-b922-147b19fecb84', '65f8bb93-0b1a-4ebc-9563-d6f9b8d55622', 'ae91a5d2-810f-474d-aa32-bbce55a777b4']",28,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:28.192,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.5351,,,,,,,,,,,,,,65f8bb93-0b1a-4ebc-9563-d6f9b8d55622,17,,,"[15.0, 10.0]",16275,0,,,,,2.0533097,,Right Foot,,,"[4.0, 31.0]",,Low Pass,23.70654,,,,,Marc-André ter Stegen,20055.0,,,,,Recovery,1,From Goal Kick,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,"['1ce8a906-8541-4fda-85c6-d6e3cef8252c', '52875d4e-1162-4382-8e62-389350d4ca33', 'a6c33daa-250e-4530-82cf-84afd9ee1041']",32,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.882,Pass,True,2018/2019
,,,,,,,,,,,,,,,,1.1493,,,,,,,,,,,,,,36d1d182-f792-40e7-80b1-3b30a808d5d4,20,,,"[5.0, 37.0]",16275,0,,,,,1.5120405,,Right Foot,,,"[6.0, 54.0]",,Ground Pass,17.029387,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Goal Kick,Marc-André ter Stegen,20055.0,Goalkeeper,3,Barcelona,217,['163ab78f-3dbc-4129-91e3-a7b8fbd7d627'],36,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.914,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.269014,,,,,,,,,,,,,,6147a7fe-12b3-4bef-8d10-a67377f412a2,24,,,"[4.0, 57.0]",16275,0,,,,,1.00748,,Right Foot,,,"[16.0, 76.0]",,Ground Pass,22.472204,,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Goal Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,"['60282035-b41e-4b35-bfaf-42ef564255b6', 'a65c3950-ff66-428e-8b47-46a89dde3cb9']",38,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.789,Pass,True,2018/2019
,,,,,,,,,,,,,,,,1.5713,,,,,,,,,,,,,,73bd22bc-839a-4099-ae75-c0224c11c4a3,27,,,"[18.0, 76.0]",16275,0,,,,,0.09966865,,Right Foot,,,"[38.0, 78.0]",,Ground Pass,20.09975,,,,,Ousmane Dembélé,5477.0,,,,,,1,From Goal Kick,Nélson Cabral Semedo,6374.0,Right Back,3,Barcelona,217,['7e862061-9af0-4454-95e4-8c04e89873cd'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.317,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.9668,,,,,,,,,,,,,,a7f103de-7290-45b2-acf4-1de96640e73a,31,,,"[36.0, 76.0]",16275,0,,,,,-2.158799,,Left Foot,,,"[28.0, 64.0]",,Ground Pass,14.422205,,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,1,From Goal Kick,Ousmane Dembélé,5477.0,Right Wing,3,Barcelona,217,['bb381825-2c72-4b29-aec8-042f585d2547'],43,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.543,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.0693,,,,,,,,,,,,,,3d479249-4551-44f7-b8d0-a970357cd2e5,38,,,"[88.0, 14.0]",16275,0,,,,,-0.7086263,,Left Foot,,,"[95.0, 8.0]",,Ground Pass,9.219544,,,,,Jonathan Rodríguez Menéndez,6581.0,,,,,,1,Regular Play,Tomás Pina Isla,6622.0,Left Center Midfield,4,Deportivo Alavés,206,['0c2893e0-4b70-432c-9db6-ec89fea438d6'],47,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:47.882,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.7055,,,,,,,,,,,,,,3ffdc829-875c-4f88-8256-e2a3d63a5188,48,,,"[22.0, 73.0]",16275,0,,,,,0.7853982,,Right Foot,,,"[28.0, 79.0]",,Ground Pass,8.485281,,,,,Sergio Busquets i Burgos,5203.0,,,,,Recovery,1,Regular Play,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,5,Barcelona,217,"['cf57b676-3f80-42cd-a248-d6bff1ff8888', 'd06be308-3779-44a9-b803-9dcf38322ebf']",52,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.461,Pass,True,2018/2019
,,,,,,,,,,,,,,,,0.1049,,,,,,,,,,,,,,f82d0238-4ea6-41e5-92d5-e6cbdee110af,52,,,"[30.0, 79.0]",16275,0,,,,,0.0,,Right Foot,,,"[31.0, 79.0]",,Ground Pass,1.0,,,Incomplete,,,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,['39f1198c-9253-42b9-a10f-865b7d106565'],54,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.025,Pass,,2018/2019
,,,,,,,,,,,,,,,,2.388374,,,,,,,,,,,,,,4e34c218-a7ff-45eb-97a7-dd8b0df0d1db,54,,,"[31.0, 80.0]",16275,1,,,,,-2.55359,,,,,"[16.0, 70.0]",,Low Pass,18.027756,,,,,Gerard Piqué Bernabéu,5213.0,,,,,Throw-in,1,From Throw In,Nélson Cabral Semedo,6374.0,Right Back,6,Barcelona,217,['cdbeb516-c31f-48e9-b548-21d593a9028e'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.697,Pass,,2018/2019
