bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.798901,,,,,,,,,,,,,fd0154df-43d4-4a35-8f60-49ddf142a68a,17,,"[44.6, 78.8]",69295,0,,,,,-0.17142166,,Right Foot,,"[88.5, 71.2]",,High Pass,,44.553,,Incomplete,Markus Rosenberg,16567.0,,,,,,1,From Kick Off,Francisco Jesús Pérez Malia,26615.0,Right Back,2,Racing Santander,1217,"['18951f17-5e4c-4a3b-88d6-9b6869c68b8a', '9f72d6c9-6425-4b34-bc79-541fb19ad226']",14,,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:14.942,Pass,,2010/2011
,,,,,,,,,,,,,,,,0.861285,,,,,,,,,,,,,25174ef0-d21e-4024-b756-df0523c839b5,21,,"[33.7, 2.9]",69295,0,,,,,0.76825696,,Left Foot,,"[42.6, 11.5]",,Ground Pass,,12.376186,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,3,Barcelona,217,['9f8e85bb-3224-4fec-959d-f75882954be3'],19,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.501,Pass,,2010/2011
,,,,,,,,,,,,,,,,2.710146,,,,,,,,,,,,,bab2d4a7-1c00-4b80-8ad5-266cf70919dd,24,,"[43.2, 28.7]",69295,0,,,,,1.422343,,Right Foot,,"[49.9, 73.5]",,Ground Pass,,45.298233,,,Adriano Correia Claro,22102.0,,True,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['2462b2dc-6ecc-42f8-927d-5c5c1412339f'],23,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.530,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.164759,,,,,,,,,,,,,38818954-cbd3-4273-8ae0-7d40b594b7d1,27,,"[57.3, 73.5]",69295,0,,,,,-2.3919787,,Right Foot,,"[35.6, 53.3]",,Ground Pass,,29.646753,,,Carles Puyol i Saforcada,20125.0,,,,,,1,Regular Play,Adriano Correia Claro,22102.0,Right Back,3,Barcelona,217,['635f3084-d144-417a-95ba-452c5c0bfbb0'],28,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.519,Pass,,2010/2011
,,,,,,,,,,,,,,,,3.147039,,,,,,,,,,,,,60ed1cb5-684c-4587-8c5b-14e023a7eb8a,30,,"[40.9, 57.7]",69295,0,,,,,-1.6865555,,Right Foot,,"[36.9, 23.3]",,Ground Pass,,34.63178,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,3,Barcelona,217,['cac924f5-7348-4fac-b586-8a52c9b8392c'],31,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.010,Pass,,2010/2011
,,,,,,,,,,,,,,,,2.087349,,,,,,,,,,,,,fc2590f1-9ba5-44b7-a920-c565cb7e44bd,33,,"[41.5, 23.1]",69295,0,,,,,1.5916992,,Left Foot,,"[40.9, 51.8]",,Ground Pass,,28.70627,,,Carles Puyol i Saforcada,20125.0,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,3,Barcelona,217,['cdd5b3db-c83e-4908-9c7d-9f29a8c85bb3'],37,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.060,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.208181,,,,,,,,,,,,,115ae139-4e92-4b88-8f57-62e5f597c651,36,,"[42.3, 56.0]",69295,0,,,,,-1.815775,,Right Foot,,"[39.8, 46.0]",,Ground Pass,,10.307764,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,3,Barcelona,217,['189ded98-ce9e-47db-b7ca-dca2bdaccc70'],40,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.985,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.1877,,,,,,,,,,,,,e8296816-ce90-4ea5-b8d2-bc4366690f95,39,,"[42.6, 38.0]",69295,0,,,,,-1.1621778,,Right Foot,,"[51.0, 18.6]",,Ground Pass,,21.140482,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['9e908b8d-3261-4dbe-8e41-c78ef264f667'],44,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.112,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.411,,,,,,,,,,,,,15b2783e-7950-450d-80c7-8f3071276a6b,42,,"[50.1, 16.5]",69295,0,,,,,-2.670952,,Right Foot,,"[44.4, 13.6]",,Low Pass,,6.395311,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,3,Barcelona,217,"['2d6b4ed8-665c-4d50-9985-92f34b5a4ded', '4e626b8a-632e-4b0a-b41c-41836133b044']",45,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.300,Pass,True,2010/2011
,,,,,,,,,,,,,,,,0.897234,,,,,,,,,,,,,e84ca9f4-f1ff-42fd-ae74-649036d5db33,45,,"[44.4, 13.6]",69295,0,,,,,-0.057229105,,Left Foot,,"[63.6, 12.5]",,Ground Pass,,19.231485,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,3,Barcelona,217,['f38da568-5ddf-4d48-a45a-ebf6e4724b7f'],47,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.233,Pass,,2010/2011
