50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c95bfb80-9809-410f-bf73-e0f55d890487,1,,,267597,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6998, 'name': 'Rafael Alcântara do Nascimento'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,58ef6e79-9f64-4069-be82-7917dbbed3f4,2,,,267597,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6755, 'name': 'Sergio Asenjo Andrés'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7034, 'name': 'Mateo Pablo Musacchio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 6828, 'name': 'Jaume Vicent Costa Jordá'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6357, 'name': 'Jonathan dos Santos Ramírez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 6}, {'player': {'id': 5186, 'name': 'Denis Cheryshev'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 5987, 'name': 'Giovani dos Santos Ramírez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6744, 'name': 'Luciano Vietto'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Villarreal,222,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3e22c33f-2b96-45ac-9514-69899b1ba8e8,3,,,267597,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['a10c8022-d67e-4910-aeab-c4621fe72c31'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a10c8022-d67e-4910-aeab-c4621fe72c31,4,,,267597,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['3e22c33f-2b96-45ac-9514-69899b1ba8e8'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c4a9b7b5-041c-44ef-92f8-358116e52aa4,1810,,,267597,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Barcelona,217,['7ac26c33-e6a8-4bd3-a0b2-1c024fb774aa'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7ac26c33-e6a8-4bd3-a0b2-1c024fb774aa,1811,,,267597,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Barcelona,217,['c4a9b7b5-041c-44ef-92f8-358116e52aa4'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.279587,,,,,,,,,,,,,e7f91834-0b67-49c2-baa6-9e43918306e1,5,,"[61.0, 40.1]",267597,0,,True,,,-1.735945,,Right Foot,,,,"[60.8, 38.9]",,Ground Pass,,1.2165525,,,Giovani dos Santos Ramírez,5987.0,,,,,Kick Off,1,From Kick Off,Luciano Vietto,6744.0,Left Center Forward,2,Villarreal,222,['8c9159ae-ce30-4eca-a422-8ad87af8b7de'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.140,Pass,,2014/2015
,,,,,,,,,,,,,,,,,0.877559,,,,,,,,,,,,,b537fd6a-01bc-42c0-9816-a37cd4c4154f,7,,"[60.4, 39.4]",267597,0,,,,,3.044077,,Right Foot,,,,"[51.2, 40.3]",,Ground Pass,,9.2439165,,,Bruno Soriano Llido,22819.0,,,,,,1,From Kick Off,Giovani dos Santos Ramírez,5987.0,Right Center Forward,2,Villarreal,222,['f0e1b30f-4698-4994-9186-b676aae2a4ab'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.587,Pass,,2014/2015
,,,,,,,,,,,,,,,,,0.596922,,,,,,,,,,,,,b21185a7-5147-4b51-9cb8-b3ab4a301216,10,,"[52.6, 40.8]",267597,0,,,,,1.6001996,,Left Foot,,,,"[52.4, 47.6]",,Ground Pass,,6.8029404,,,Tomás Pina Isla,6622.0,,,,,,1,From Kick Off,Bruno Soriano Llido,22819.0,Right Defensive Midfield,2,Villarreal,222,['4cab6af8-1973-4443-ac1b-5151628b1a7b'],1,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:01.867,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.717131,,,,,,,,,,,,,b8981b42-d185-4154-a778-7e038b085557,14,,"[48.7, 49.2]",267597,0,,,,,3.0323799,,Right Foot,,,,"[25.9, 51.7]",,Ground Pass,,22.936651,,,Mateo Pablo Musacchio,7034.0,,,,,,1,From Kick Off,Tomás Pina Isla,6622.0,Left Defensive Midfield,2,Villarreal,222,"['f91a5de8-d6da-47af-afa3-4b96a9d66afa', 'f975af7a-3660-47e0-97db-5124c9599039']",3,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:03.520,Pass,True,2014/2015
