ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.2574,,,,,,,,,,,,,,,1742100d-d681-4ae8-b96e-8c810d8c14c6,20,,"[71.2, 46.2]",68320,0,,,,-1.4056476,,Head,,,,"[72.6, 37.8]",,High Pass,,8.515867,,,,José María Romero Poyón,25940.0,,,,,,Recovery,1,From Kick Off,Luciano Gabriel Figueroa Herrera,25941.0,Center Forward,2,Villarreal,222,"['6399f6c3-9e1c-400b-bce5-31041b0cb0f5', '6df71d10-eb87-4033-aeff-9e628c3e4e84', 'b2c54038-7d7c-4222-8034-93ea7f76c07a']",7,,,,,,,,,,,,,,,Villarreal,222,00:00:07.999,Pass,True,2005/2006
,,,,,,,,,,,,,,,1.5733,,,,,,,,,,,,,,,ee32670e-69a9-4bcc-9cf4-aaa50cf053f0,22,,"[72.1, 38.1]",68320,0,,,,-1.0973611,,Head,,,,"[84.6, 13.7]",,Low Pass,,27.415506,,,,Juan Pablo Sorín,25938.0,,,,,,,1,From Kick Off,José María Romero Poyón,25940.0,Center Attacking Midfield,2,Villarreal,222,['a3eaff61-672e-4333-9d42-78646a45b482'],9,,,,,,,,,,,,,,,Villarreal,222,00:00:09.257,Pass,,2005/2006
,,,,,,,,,,,,,,,2.5011,,,,,,,,,,,,,,,e99355ce-64f1-4247-85fc-498b53080b78,26,,"[84.9, 11.1]",68320,0,,,,0.39109683,,Left Foot,,,,"[115.7, 23.8]",,Ground Pass,,33.315613,,,,José María Romero Poyón,25940.0,,,,,,,1,From Kick Off,Juan Pablo Sorín,25938.0,Left Wing,2,Villarreal,222,"['0451e0cb-dc10-423f-a105-c38eded591bf', '6222fd7e-0b44-4900-8a1d-2226e889f1b1']",12,,,,,,,,,,,,,,,Villarreal,222,00:00:12.125,Pass,True,2005/2006
,,,,,,,,,,,,,,,0.922819,,,,,,,,,,,,,,,b79c72bc-7009-496f-9e3a-3cf165a49bfa,30,,"[120.3, 15.2]",68320,0,,,,-2.2534647,,Right Foot,,,,"[111.6, 4.5]",,Ground Pass,,13.790577,,,,Juan Pablo Sorín,25938.0,,,,,,,1,From Kick Off,José María Romero Poyón,25940.0,Center Attacking Midfield,2,Villarreal,222,['48bd7389-9b0d-4b69-b673-8d5449b86909'],16,,,,,,,,,,,,,,,Villarreal,222,00:00:16.194,Pass,,2005/2006
,,,,,,,,,,,,,,,1.487,,,,,,,,,,,,,,,5883e1d5-a53e-4faa-970b-af73ca60dd2a,34,,"[19.7, 80.0]",68320,0,,,,-0.6192424,,,,,,"[38.5, 66.6]",,High Pass,,23.086792,,,,Anderson Luís de Souza,19757.0,,,,,,Throw-in,1,From Throw In,Oleguer Presas Renom,25873.0,Right Back,3,Barcelona,217,['31253706-6434-4c7c-8032-ef632e22e927'],29,,,,,,,,,,,,,,,Barcelona,217,00:00:29.252,Pass,,2005/2006
,,,,,,,,,,,,,,,1.1729,,,,,,,,,,,,,,,e033c9c1-95a6-47ca-95bd-13ae6245ccb0,36,,"[38.1, 66.6]",68320,0,,,,-0.6938672,,Head,,,,"[49.4, 57.2]",,Low Pass,,14.698639,,,,Samuel Eto''o Fils,19298.0,,,,,,,1,From Throw In,Anderson Luís de Souza,19757.0,Left Center Midfield,3,Barcelona,217,['254917df-246b-4602-8184-7060573f7d22'],30,,,,,,,,,,,,,,,Barcelona,217,00:00:30.779,Pass,,2005/2006
,,,,,,,,,,,,,,,0.720538,,,,,,,,,,,,,,,f32b6ce7-0296-4e28-a70f-61d04ca0bc58,40,,"[50.9, 54.1]",68320,0,,,True,-2.6260436,,,,,,"[47.9, 52.4]",,Low Pass,,3.4481878,,,,Anderson Luís de Souza,19757.0,,,,,,,1,From Throw In,Samuel Eto''o Fils,19298.0,Center Forward,3,Barcelona,217,"['98339793-b6cf-4e7b-b09a-4809af0397cb', 'd0e5e4b1-738c-4232-9414-c7944155e4f5', 'db28a058-7e01-4026-bbf9-02287db5dc98']",32,,,,,,,,,,,,,,,Barcelona,217,00:00:32.112,Pass,True,2005/2006
,,,,,,,,,,,,,,,0.4245,,,,,,,,,,,,,,,130a2a83-a045-46bc-97d9-baa7bdbde1ea,43,,"[47.7, 52.1]",68320,0,,,,-1.8233505,,Left Foot,,,,"[46.9, 49.0]",,Low Pass,,3.2015622,,,,Samuel Eto''o Fils,19298.0,,,,,,,1,From Throw In,Anderson Luís de Souza,19757.0,Left Center Midfield,3,Barcelona,217,['aa857308-1736-447c-bd17-9c2e81c9958e'],33,,,,,,,,,,,,,,,Barcelona,217,00:00:33.200,Pass,,2005/2006
,,,,,,,,,,,,,,,1.151111,,,,,,,,,,,,,,,08b63dc5-424e-44d0-b683-67004ea2720d,46,,"[46.9, 49.0]",68320,0,,,,-1.6224744,,Left Foot,,,,"[46.0, 31.6]",,Ground Pass,,17.42326,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Throw In,Samuel Eto''o Fils,19298.0,Center Forward,3,Barcelona,217,['2db80fe6-0af7-4cbb-834e-197d680e49d9'],33,,,,,,,,,,,,,,,Barcelona,217,00:00:33.733,Pass,,2005/2006
,,,,,,,,,,,,,,,1.400032,,,,,,,,,,,,,,,01d07706-6452-4dbe-a021-fd476c32dfb2,49,,"[46.9, 30.6]",68320,0,,,,-0.9465501,,Left Foot,,,,"[55.4, 18.8]",,Ground Pass,,14.542696,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Right Center Back,3,Barcelona,217,['444ea15a-5bdb-492e-a527-528453302624'],35,,,,,,,,,,,,,,,Barcelona,217,00:00:35.677,Pass,,2005/2006
,,,,,,,,,,,,,,,2.1171,,,,,,,,,,,,,,,e17afb92-1457-4dab-af87-b67b8844033b,52,,"[76.6, 12.0]",68320,0,,,,-0.2551824,,Right Foot,,,,"[99.6, 6.0]",,Ground Pass,,23.769728,,Incomplete,,Sylvio Mendes Campos Junior,25854.0,,,,,,,1,From Throw In,Ronaldo de Assis Moreira,25879.0,Left Wing,3,Barcelona,217,"['08e4faf3-0248-47f8-a1b5-6bfe81371ee1', 'a68419c3-0340-4391-b1f9-7b0013bbcd50']",39,,,,,,,,,,,,,,,Barcelona,217,00:00:39.834,Pass,,2005/2006
,,,,,,,,,,,,,,,0.791,,,,,,,,,,,,,,,eabf06a4-ba20-4830-a648-b8379e767411,56,,"[107.1, 1.0]",68320,0,,,,2.03937,,,,,,"[103.0, 9.1]",,Low Pass,,9.078547,,,,Ronaldo de Assis Moreira,25879.0,,,,,,Throw-in,1,From Throw In,Sylvio Mendes Campos Junior,25854.0,Left Back,4,Barcelona,217,['77278496-ca05-4cdd-83c7-5a26af68c035'],51,,,,,,,,,,,,,,,Barcelona,217,00:00:51.883,Pass,,2005/2006
,,,,,,,,,,,,,,,1.000763,,,,,,,,,,,,,,,a969178d-7512-4383-8518-235848767470,60,,"[100.6, 7.9]",68320,0,,,,-1.0303768,,Right Foot,,,,"[104.2, 1.9]",,Low Pass,,6.9971423,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,,1,From Throw In,Ronaldo de Assis Moreira,25879.0,Left Wing,4,Barcelona,217,"['cc63003c-513b-477a-838f-0f2eddaeabc0', 'f39f7bd5-a251-4d61-9251-fcc7ae9aa872']",52,,,,,,,,,,,,,,,Barcelona,217,00:00:52.714,Pass,True,2005/2006
